CHANNEL,RSSI,PHASE
902.75,-49.5,3.8786126088225665
903.25,-49.5,3.6907115249758315
903.75,-49.5,3.5438502085396637
904.25,-50.0,3.4087982316363656
904.75,-50.5,3.2518234338247916
905.25,-51.0,3.091950260253193
905.75,-51.0,2.9698793067006446
906.25,-51.0,2.8164812279120803
906.75,-51.0,2.696876977134022
907.25,-51.0,2.587540376654776
907.75,-51.5,2.4874230777951847
908.25,-52.0,2.375619774541449
908.75,-52.0,2.230238479769976
909.25,-51.5,2.1159068061723887
909.75,-51.5,2.0103627612089205
910.25,-51.5,1.9077787595748399
910.75,-51.5,1.7839502802954679
911.25,-51.505025125628144,1.6490833061002563
911.75,-52.0,1.5315757526805136
912.25,-51.5,1.3850536078758393
912.75,-51.5,1.2569700663104733
913.25,-51.5,1.1404491940005268
913.75,-51.5,1.002221337275073
914.25,-51.5,0.8768511687616455
914.75,-51.994974874371856,0.7334740699944449
915.25,-51.5,0.5558714702312028
915.75,-51.494974874371856,0.4422181398966003
916.25,-51.47738693467337,0.27799740268496365
916.75,-51.5,0.16110652495884373
917.25,-51.99748743718593,6.245506422299259
917.75,-51.5,6.128523043219096
918.25,-51.0,5.979996702410149
918.75,-51.0,5.825488607373065
919.25,-51.0,5.68118649506543
919.75,-51.5,5.539227750393561
920.25,-51.00251256281407,5.38095793362538
920.75,-51.0,5.236131646978168
921.25,-50.99748743718593,5.092322875225431
921.75,-50.994974874371856,4.962882647134094
922.25,-51.0,4.809052895359996
922.75,-51.5,4.689972818921516
923.25,-51.0,4.542463993007046
923.75,-51.0,4.371583158304288
924.25,-50.99748743718593,4.225153514853656
924.75,-51.0,4.078230530848127
925.25,-51.5,3.9116047584313636
925.75,-51.0,3.758299180996842
926.25,-51.0,3.579494063631037
926.75,-50.50251256281407,3.430875221468046
927.25,-51.0,3.2636019395729785
