CHANNEL,RSSI,PHASE
902.75,-47.5,3.0888668817850804
903.25,-47.5,2.9230119539853447
903.75,-47.5,2.742880983878251
904.25,-47.5,2.602124756808945
904.75,-48.0,2.4613685297396395
905.25,-48.5,2.3185156053120184
905.75,-48.5,2.1738743213728915
906.25,-48.5,2.045389940606671
906.75,-48.99748743718593,1.9323532859656911
907.25,-49.0,1.8259767288158324
907.75,-49.5,1.7068349848079911
908.25,-49.5,1.6039426453270988
908.75,-50.0,1.481100847157523
909.25,-49.5,1.3586290544041209
909.75,-49.5,1.2610709596730623
910.25,-49.5,1.1341282681408975
910.75,-49.5,1.0143698484394337
911.25,-49.5,0.9221768322428895
911.75,-50.0,0.7929524406443224
912.25,-49.5,0.6257408263186172
912.75,-49.5,0.5151400406674453
913.25,-49.0,0.35995360236737634
913.75,-49.5,0.21531231842824988
914.25,-49.5,0.09265552296676084
914.75,-49.5,6.214857640326229
915.25,-49.0,6.043236794791123
915.75,-48.505025125628144,5.935102711914441
916.25,-48.5,5.781766300695238
916.75,-49.0,5.627319873227517
917.25,-49.0,5.499544669508962
917.75,-48.5,5.3198145386027225
918.25,-48.494974874371856,5.172182377549527
918.75,-48.0,5.049679751011444
919.25,-48.494974874371856,4.892026609936885
919.75,-48.5,4.759688006085525
920.25,-48.5,4.585107117221033
920.75,-48.494974874371856,4.472841307197081
921.25,-48.00251256281407,4.287684430186965
921.75,-48.0,4.13539636764692
922.25,-48.5,3.994640140577614
922.75,-48.5,3.845342955151641
923.25,-48.0,3.6608644214045087
923.75,-48.0,3.5027796073444137
924.25,-48.0,3.3403780634289637
924.75,-48.5,3.1607712676614486
925.25,-48.0,2.976940243392621
925.75,-47.5,2.8175912441606004
926.25,-47.5,2.6550046975370636
926.75,-47.5,2.4811638195049177
927.25,-48.0,2.332236639495116
