CHANNEL,RSSI,PHASE
902.75,-48.0,3.8723841843169806
903.25,-48.0,3.6813997220021335
903.75,-48.0,3.5346309069200097
904.25,-48.0,3.380461983514418
904.75,-48.99748743718593,3.256325166388234
905.25,-49.49748743718593,3.104129605202234
905.75,-49.5,2.9682451161125454
906.25,-49.5,2.849997551860456
906.75,-49.5,2.7391192621471547
907.25,-49.5,2.5989488769867903
907.75,-50.0,2.505553343187682
908.25,-50.0,2.4021368293672114
908.75,-50.5,2.2841359353925714
909.25,-50.0,2.1666283819728287
909.75,-50.0,2.0530058854229076
910.25,-49.50251256281407,1.9432684457428069
910.75,-49.50251256281407,1.8376627332099764
911.25,-50.0,1.7048307888037184
911.75,-50.0,1.6002117573806836
912.25,-50.0,1.4567729910441207
912.75,-49.5,1.3025115662844853
913.25,-49.5,1.1768330599242465
913.75,-49.5,1.027566708282952
914.25,-49.5,0.8889071785719628
914.75,-50.0,0.7531460246209984
915.25,-49.5,0.5980520876749728
915.75,-49.00251256281407,0.44736738193834713
916.25,-49.0,0.3035586101856108
916.75,-49.5,0.1704491617172226
917.25,-49.50251256281407,0.0
917.75,-49.5,6.121862945727975
918.25,-49.0,6.000408667869048
918.75,-49.0,5.855150708236301
919.25,-49.0,5.680415650448402
919.75,-49.0,5.561613078072054
920.25,-49.0,5.414505091358437
920.75,-48.5,5.261785355832857
921.25,-48.5,5.110514808187291
921.75,-48.5,4.965750189109439
922.25,-48.505025125628144,4.82598064314993
922.75,-49.0,4.665891633085564
923.25,-48.50251256281407,4.537484336781046
923.75,-48.48994974874372,4.365447235152746
924.25,-48.00251256281407,4.213652513167599
924.75,-48.49748743718593,4.077120514599606
925.25,-48.51005025125628,3.9284400048672548
925.75,-48.5,3.7242278489242064
926.25,-48.0,3.552761172312507
926.75,-48.0,3.385796228264251
927.25,-48.5,3.220311305880688
