CHANNEL,RSSI,PHASE
902.75,-52.505025125628144,1.1990025511099707
903.25,-53.0,1.0493353602678217
903.75,-53.0,0.8810137296935966
904.25,-53.5,0.7217263980309387
904.75,-53.005025125628144,0.5170825691023558
905.25,-53.00251256281407,0.32649894598836293
905.75,-53.5,0.1883635906169524
906.25,-54.0,0.0314812941594219
906.75,-54.5,6.135152306925537
907.25,-54.0,5.977622500989702
907.75,-54.0,5.812970090792531
908.25,-54.0,5.68944994935997
908.75,-54.5,5.540646104488892
909.25,-54.50251256281407,5.362981837156289
909.75,-54.5,5.212790471974561
910.25,-54.49748743718593,5.0925387117181975
910.75,-54.50251256281407,4.936673930155144
911.25,-54.99748743718593,4.798785245061183
911.75,-55.49748743718593,4.686611936391275
912.25,-55.0,4.534632211698042
912.75,-54.99246231155779,4.373494852954517
913.25,-55.0,4.2511155615551575
913.75,-55.0,4.150319919432582
914.25,-55.49246231155779,4.005925305770904
914.75,-55.50251256281407,3.8814493170132294
915.25,-55.49748743718593,3.7251528624646406
915.75,-55.0,3.5889600355281397
916.25,-55.0,3.4390153406238615
916.75,-55.48994974874372,3.3083725949299625
917.25,-55.5,3.132990027663761
917.75,-55.00251256281407,2.9701876445474555
918.25,-54.505025125628144,2.811763658855869
918.75,-54.5,2.7174431115163284
919.25,-54.5,2.5635208583881854
919.75,-54.5,2.3745405920776106
920.25,-54.494974874371856,2.1780677160895237
920.75,-54.0,2.033303097011672
921.25,-54.0,1.902475348609687
921.75,-53.99748743718593,1.7618732904637875
922.25,-54.040201005025125,1.592472477425723
922.75,-54.00251256281407,1.4370393688482048
923.25,-53.99748743718593,1.3005382040648936
923.75,-53.50251256281407,1.1586411269623866
924.25,-53.982412060301506,1.015233194410505
924.75,-53.99748743718593,0.8679710387734834
925.25,-54.00251256281407,0.7074811895082621
925.75,-53.49748743718593,0.5468680051043162
926.25,-53.49748743718593,0.33624242194759635
926.75,-53.437185929648244,0.20550717489965423
927.25,-53.49748743718593,0.037617217310964464
