CHANNEL,RSSI,PHASE
902.75,-41.0,4.830544043282735
903.25,-41.5,4.718802407598362
903.75,-41.5,4.634317837572097
904.25,-41.0,4.510797696139538
904.75,-41.0,4.399025226670482
905.25,-41.0,4.2807776624183935
905.75,-41.0,4.178501998631124
906.25,-41.0,4.072279610404672
906.75,-41.5,3.960075467950082
907.25,-41.5,3.8408720563728775
907.75,-41.0,3.7129118499462366
908.25,-41.0,3.597254323607361
908.75,-40.5,3.472038324017339
909.25,-40.5,3.3619308789210653
909.75,-41.0,3.227618912850114
910.25,-41.0,3.0923819332387277
910.75,-40.5,2.958100800952457
911.25,-40.5,2.8278897282440947
911.75,-40.0,2.721112331893381
912.25,-40.0,2.5911787632471484
912.75,-40.0,2.469477815110774
913.25,-40.5,2.361960407927714
913.75,-40.0,2.2167332820796464
914.25,-40.0,2.0872313864189485
914.75,-39.5,1.9791589711116289
915.25,-39.5,1.8525862849956378
915.75,-40.0,1.7301453260269166
916.25,-40.0,1.6072418602879786
916.75,-40.0,1.4849859040273439
917.25,-39.5,1.337816249744366
917.75,-39.5,1.207697678390046
918.25,-39.5,1.0861508991770772
918.75,-39.5,0.964234114547935
919.25,-40.0,0.8426565015502852
919.75,-40.0,0.6982310541039265
920.25,-39.5,0.556950652695042
920.75,-39.5,0.43127214633480326
921.25,-39.5,0.29705268161789483
921.75,-39.5,0.1676124535265597
922.25,-39.5,0.01575606397205151
922.75,-39.5,6.174372881039919
923.25,-39.0,6.02470569019777
923.75,-39.0,5.880156907612687
924.25,-39.0,5.748373311885587
924.75,-39.0,5.603331188745606
925.25,-39.5,5.473705957946185
925.75,-39.0,5.322373742731255
926.25,-38.5,5.188986790200738
926.75,-38.5,5.061627842575377
927.25,-38.5,4.933405548978946
