CHANNEL,RSSI,PHASE
902.75,-49.5,4.228483563599217
903.25,-49.5,4.136352214972035
903.75,-49.99748743718593,4.030684834869843
904.25,-50.0,3.903094633859375
904.75,-49.99748743718593,3.808249912180254
905.25,-49.5,3.677699667840399
905.75,-49.5,3.578784886583371
906.25,-49.50251256281407,3.4640523737849294
906.75,-49.5,3.345897310886884
907.25,-50.0,3.237670726656158
907.75,-50.0,3.1012312294422095
908.25,-50.0,2.9729935189534378
908.75,-49.5,2.8503983910613107
909.25,-49.49748743718593,2.7352958728466956
909.75,-49.0,2.6238625750091336
910.25,-49.0,2.5114117622770946
910.75,-49.5,2.4029385077689205
911.25,-49.49748743718593,2.2589447333080974
911.75,-49.0,2.147727271963303
912.25,-49.0,2.020013735814111
912.75,-48.5,1.8960310876113335
913.25,-48.5,1.7943412657330051
913.75,-49.0,1.6788379083175358
914.25,-49.0,1.545913462557234
914.75,-49.0,1.406606423367941
915.25,-48.5,1.3053482744751481
915.75,-48.5,1.170943807050153
916.25,-48.5,1.0585546618874762
916.75,-48.5,0.9330611582353244
917.25,-49.0,0.8167252886334646
917.75,-48.5,0.6539229055171594
918.25,-48.5,0.5370320277910394
918.75,-48.0,0.4019800508877408
919.25,-48.0,0.2840716582671439
919.75,-48.0,0.14174290817910135
920.25,-48.5,0.06916017903974861
920.75,-48.0,6.193135239018379
921.25,-48.0,6.032198299875282
921.75,-47.5,5.916910778952581
922.25,-47.5,5.7690319476219365
922.75,-47.5,5.639129212760385
923.25,-47.50251256281407,5.505557257521779
923.75,-47.5,5.345221577179965
924.25,-47.0,5.22133143033123
924.75,-47.0,5.0845835952704705
925.25,-47.0,4.963221818765588
925.75,-47.0,4.816761341530276
926.25,-47.5,4.6944745514849595
926.75,-47.0,4.549370760775616
927.25,-47.0,4.412807928422943
