CHANNEL,RSSI,PHASE
902.75,-33.5,2.90799590084564
903.25,-33.5,2.7641871290929036
903.75,-33.5,2.6271926237546945
904.25,-34.0,2.4964882104914334
904.75,-34.005025125628144,2.386904939734739
905.25,-34.0,2.2166716145102843
905.75,-34.0,2.087077217495543
906.25,-34.0,1.951316063544579
906.75,-34.0,1.8243117044430524
907.25,-34.0,1.6812429435226628
907.75,-34.5,1.5349058014260744
908.25,-34.5,1.3966471109159397
908.75,-34.0,1.264431842203304
909.25,-34.0,1.1237064489186794
909.75,-34.5,0.9810693609838258
910.25,-34.50251256281407,0.8492857652567256
910.75,-35.0,0.7137404477985291
911.25,-34.5,0.5461279942719693
911.75,-34.5,0.40608094425032953
912.25,-34.51005025125628,0.26316635225334567
912.75,-35.0,0.12274929681553241
913.25,-35.5,6.260491641654283
913.75,-35.0,6.116806205040272
914.25,-35.0,5.957241369315484
914.75,-35.0,5.823546078938153
915.25,-35.0,5.696850057683439
915.75,-35.005025125628144,5.555384653566467
916.25,-35.494974874371856,5.407413320881781
916.75,-35.0,5.242853412038652
917.25,-35.0,5.136353519750068
917.75,-35.0,4.994487276432242
918.25,-35.0,4.859311964390219
918.75,-35.5,4.712789819585544
919.25,-35.5,4.580821221150358
919.75,-35.00251256281407,4.429612341074153
920.25,-35.5,4.276676769055805
920.75,-35.5,4.127842090400047
921.25,-36.0,3.9917725986022714
921.75,-36.0,3.832978607494511
922.25,-36.0,3.652446798186563
922.75,-36.0,3.512769753581096
923.25,-36.0,3.3581074896206067
923.75,-36.5,3.2151928976236226
924.25,-36.5,3.0461620900017317
924.75,-36.5,2.9102776009120435
925.25,-36.5,2.7777231605679145
925.75,-36.5,2.642825352588022
926.25,-36.5,2.502130793088078
926.75,-37.0,2.379412330057227
927.25,-37.0,2.2255517444984463
