CHANNEL,RSSI,PHASE
902.75,-47.5,4.8144488076791925
903.25,-48.0,4.715873198053656
903.75,-48.0,4.570152731650691
904.25,-48.0,4.4606311284633575
904.75,-48.0,4.352250375309227
905.25,-48.00251256281407,4.249358035828335
905.75,-48.5,4.131048804006883
906.25,-48.5,4.044960877177201
906.75,-49.0,3.9377209740562704
907.25,-48.99748743718593,3.788732126477106
907.75,-48.5,3.6906190236217875
908.25,-48.0,3.555813716995938
908.75,-48.0,3.4189733805811344
909.25,-48.0,3.246982529629856
909.75,-48.005025125628144,3.102032907843918
910.25,-47.5,2.9398780342059165
910.75,-47.01005025125628,2.792924216415706
911.25,-47.0,2.6480670959838117
911.75,-47.0,2.470310327297164
912.25,-47.005025125628144,2.343151799272232
912.75,-46.5,2.1554665519182636
913.25,-46.5,1.9779564535090652
913.75,-46.00251256281407,1.8220300043766493
914.25,-46.5,1.6530916981088015
914.75,-46.5,1.492540181274218
915.25,-46.0,1.2935081011575986
915.75,-46.0,1.1080428863006715
916.25,-46.0,0.9303169513987049
916.75,-46.5,0.7762713631318372
917.25,-46.0,0.5559331378005651
917.75,-46.0,0.4029975657822177
918.25,-46.0,0.20778887496605702
918.75,-46.505025125628144,0.01014431516008796
919.25,-46.5,6.097935928815426
919.75,-46.0,5.9274250995288424
920.25,-46.5,5.755650085070331
920.75,-46.994974874371856,5.598644453474077
921.25,-47.0,5.430261155330489
921.75,-47.0,5.262494532880523
922.25,-47.0,5.112241500129433
922.75,-47.005025125628144,4.9616184619621695
923.25,-47.994974874371856,4.826073144503973
923.75,-48.01005025125628,4.684977745803175
924.25,-48.005025125628144,4.538825606414674
924.75,-48.0,4.380524955861812
925.25,-48.5,4.280191820509453
925.75,-48.505025125628144,4.149209903184063
926.25,-49.494974874371856,4.037005760729473
926.75,-50.0,3.8720758464701697
927.25,-49.99748743718593,3.7530574376010524
