CHANNEL,RSSI,PHASE
902.75,-51.0,5.040583784530514
903.25,-51.0,4.889683242301119
903.75,-51.5,4.692377854126644
904.25,-51.5,4.569227718110257
904.75,-51.00251256281407,4.378459092288177
905.25,-51.5,4.215841711879959
905.75,-51.505025125628144,4.051713476022365
906.25,-52.0,3.9176173464441817
906.75,-52.0,3.7328304748502394
907.25,-51.5,3.582207436682975
907.75,-51.50251256281407,3.408181555942743
908.25,-52.0,3.247321701261348
908.75,-52.01005025125628,3.047796280589831
909.25,-52.0,2.8906981476395326
909.75,-51.5,2.7315958186849616
910.25,-51.5,2.5831928130147386
910.75,-52.0,2.4203287623290715
911.25,-52.00251256281407,2.2546588372374217
911.75,-51.5,2.0725545049107366
912.25,-51.5,1.943453448450894
912.75,-51.5,1.7989971672198541
913.25,-52.0,1.6320013893869167
913.75,-52.0,1.4895184703754685
914.25,-51.505025125628144,1.3177126221322766
914.75,-51.5,1.1725779976382522
915.25,-51.5,0.9835360637583151
915.75,-52.0,0.8240020618182086
916.25,-51.5,0.6244149735773291
916.75,-51.5,0.4862487844212374
917.25,-51.5,0.29825519922045846
917.75,-51.5,0.13665533370671681
918.25,-51.994974874371856,6.256606584784461
918.75,-51.5,6.052980270750356
919.25,-51.0,5.894710453982175
919.75,-51.0,5.729194697813932
920.25,-51.5,5.551653765620052
920.75,-51.5,5.397546509783822
921.25,-51.0,5.181987521078123
921.75,-51.0,5.063585787902628
922.25,-51.00251256281407,4.878336409538468
922.75,-51.5,4.694258714992192
923.25,-51.49748743718593,4.541353976758526
923.75,-51.01005025125628,4.389189249357206
924.25,-51.00251256281407,4.208379935987128
924.75,-51.5,4.039287460795874
925.25,-51.51005025125628,3.862579040788385
925.75,-51.5,3.681245553078728
926.25,-51.494974874371856,3.48887357045323
926.75,-51.5,3.3374488538842573
927.25,-51.5,3.140513471125954
