CHANNEL,RSSI,PHASE
902.75,-61.53517587939699,2.87629877019345
903.25,-61.5,2.7084088126047603
903.75,-61.5,2.5860603549900825
904.25,-62.0,2.480917149227469
904.75,-62.0,2.3379717234458037
905.25,-61.994974874371856,2.189692052914306
905.75,-61.505025125628144,2.075082875254588
906.25,-61.50251256281407,1.9305649264541864
906.75,-61.5,1.8008163605160399
907.25,-61.517587939698494,1.674305341969411
907.75,-61.994974874371856,1.516220527909317
908.25,-61.5,1.3622057734271305
908.75,-61.0,1.216269470531397
909.25,-60.99748743718593,1.0773941043276396
909.75,-61.0,0.9282819216097511
910.25,-61.0,0.7557360625342123
910.75,-61.0,0.5657999488985229
911.25,-60.5,0.42507455561389845
911.75,-60.5,0.2833933150041594
912.25,-60.99748743718593,0.1230576346623436
912.75,-60.99748743718593,6.262249167381107
913.25,-60.5,6.086897433899586
913.75,-60.49748743718593,5.941855310759606
914.25,-60.5,5.773780350462828
914.75,-60.5,5.67757894225774
915.25,-60.5,5.5145298888639855
915.75,-60.5,5.38286962827561
916.25,-60.0,5.200549459456156
916.75,-59.99748743718593,5.084059420930892
917.25,-60.0,4.960970952483866
917.75,-60.494974874371856,4.817439684793261
918.25,-60.0,4.625067702167763
918.75,-59.99748743718593,4.455882725622464
919.25,-59.5,4.344881100770439
919.75,-59.5,4.158645041296484
920.25,-59.50251256281407,4.0320723551804925
920.75,-60.0,3.866433263873525
921.25,-59.5,3.725800371942944
921.75,-59.49748743718593,3.5269224607497303
922.25,-59.5,3.3580149882665635
922.75,-59.5,3.206775274405677
923.25,-59.5,3.0546413807890396
923.75,-59.0,2.854992624978797
924.25,-58.50251256281407,2.7089329869443395
924.75,-58.994974874371856,2.530898714195562
925.25,-59.0,2.3898033154947638
925.75,-59.0,2.218675810514557
926.25,-58.5,2.0793071037559017
926.75,-58.494974874371856,1.9216231288966619
927.25,-58.00251256281407,1.7387787857376296
