CHANNEL,RSSI,PHASE
902.75,-54.0,1.5568286223343497
903.25,-54.0,1.4668556386348464
903.75,-54.0,1.2923672511243973
904.25,-53.5,1.164160374420307
904.75,-53.5,1.022787471657379
905.25,-54.0,0.8820929121574357
905.75,-54.5,0.775932191500345
906.25,-54.0,0.6304583953748283
906.75,-54.0,0.5041940471056483
907.25,-53.5,0.36676786878190354
907.75,-53.5,0.21500398058143871
908.25,-54.0,0.06419593970608854
908.75,-53.505025125628144,6.201321608851217
909.25,-53.005025125628144,6.033030812061672
909.75,-53.0,5.873003469566668
910.25,-53.0,5.717416192065745
910.75,-53.49748743718593,5.535435194877784
911.25,-53.0,5.36440019125162
911.75,-53.0,5.231321576567913
912.25,-53.0,5.094357905014384
912.75,-53.0,4.945924065559479
913.25,-53.0,4.804150323595698
913.75,-53.5,4.65836818962337
914.25,-53.0,4.538023928012964
914.75,-53.0,4.399611068579424
915.25,-53.0,4.275505085237922
915.75,-53.0,4.135458035216283
916.25,-53.5,3.9953184838405993
916.75,-53.5,3.8546855919100182
917.25,-53.0,3.6928698899035095
917.75,-52.5,3.540890165210276
918.25,-52.5,3.3901437919042894
918.75,-52.99748743718593,3.2119245164474237
919.25,-53.0,3.063336508069114
919.75,-52.5,2.882773864976485
920.25,-52.0,2.7562011788604943
920.75,-52.0,2.5964821742123005
921.25,-52.5,2.4478016644799476
921.75,-52.5,2.2925843923951974
922.25,-52.0,2.130306183618471
922.75,-51.5,1.9713888573719873
923.25,-51.5,1.8330376655078089
923.75,-52.0,1.6759703663421917
924.25,-52.00251256281407,1.5397158718363293
924.75,-52.0,1.367570851961645
925.25,-51.5,1.2215420477118681
925.75,-51.5,1.0807549868578816
926.25,-52.0,0.9207893119322392
926.75,-52.0,0.7687170858849632
927.25,-52.0,0.5880927752229715
