CHANNEL,RSSI,PHASE
902.75,-50.5,4.461771978496559
903.25,-50.0,4.306554706411808
903.75,-50.0,4.153403297900694
904.25,-50.5,4.019461337245915
904.75,-50.51005025125628,3.8778417642055394
905.25,-50.5,3.714854378381147
905.75,-50.0,3.570860603920324
906.25,-50.005025125628144,3.416691680514732
906.75,-50.5,3.2590385394401733
907.25,-51.0,3.1185906502176786
907.75,-50.5,2.9787902704734877
908.25,-50.49748743718593,2.8160187211418637
908.75,-50.0,2.666814037069932
909.25,-50.5,2.528339510067029
909.75,-50.5,2.4165362068132934
910.25,-50.51005025125628,2.27334411075418
910.75,-50.5,2.1352395891674503
911.25,-50.0,2.0079268922191127
911.75,-50.0,1.8683115151830083
912.25,-50.5,1.738408780321456
912.75,-50.5,1.6049601602215757
913.25,-50.5,1.4794049890000616
913.75,-50.0,1.3220910195569953
914.25,-50.0,1.1830306506451513
914.75,-50.0,1.037371851811548
915.25,-50.0,0.8954131071396788
915.75,-50.005025125628144,0.7475342758090349
916.25,-50.0,0.582234356133559
916.75,-49.5,0.4222378474232356
917.25,-49.5,0.2863533583335467
917.75,-50.0,0.12194761841382333
918.25,-50.0,6.245506422299259
918.75,-49.50251256281407,6.089302469104712
919.25,-49.5,5.9547746665409935
919.75,-49.5,5.7994340593175195
920.25,-49.5,5.662347052625267
920.75,-50.0,5.5240883621151315
921.25,-49.5,5.366496888609936
921.75,-49.5,5.224846481784878
922.25,-49.0,5.098242961884205
922.75,-49.0,4.978330373259335
923.25,-49.5,4.83674163400364
923.75,-49.5,4.689448644581937
924.25,-49.0,4.545485703905796
924.75,-49.0,4.383238328913751
925.25,-48.5,4.23350947050224
925.75,-49.0,4.086648154066072
926.25,-49.0,3.9425618782512055
926.75,-48.505025125628144,3.7389663980017813
927.25,-48.5,3.570367263365426
