CHANNEL,RSSI,PHASE
902.75,-53.5,2.9592108172009777
903.25,-53.49748743718593,2.7936950610327345
903.75,-53.005025125628144,2.644490376960802
904.25,-53.5,2.501884122810629
904.75,-54.0,2.363810435008581
905.25,-53.5,2.205663953379125
905.75,-53.5,2.050261678586288
906.25,-53.49748743718593,1.9100604596412423
906.75,-53.5,1.7678858784766054
907.25,-53.5,1.5825748325430837
907.75,-53.5,1.4423427798133572
908.25,-53.494974874371856,1.2697969207378188
908.75,-53.0,1.1158438338249943
909.25,-53.5,0.9570498427172345
909.75,-54.0,0.7983791867481992
910.25,-53.5,0.6061305392614258
910.75,-53.5,0.4427731480208605
911.25,-53.5,0.2902384152033677
911.75,-54.0,0.14787883133064395
912.25,-54.5,6.277049384028044
912.75,-54.0,6.136108154250652
913.25,-53.99748743718593,5.963161455974258
913.75,-53.5,5.828541152056496
914.25,-54.0,5.692502494043401
914.75,-54.0,5.5440069870191335
915.25,-54.0,5.404329942413668
915.75,-53.5,5.237087494303281
916.25,-53.5,5.091552030608403
916.75,-53.5,4.932603870577237
917.25,-53.5,4.779791633697615
917.75,-53.505025125628144,4.632776148338042
918.25,-53.005025125628144,4.442840034702353
918.75,-53.0,4.2867285828618495
919.25,-53.494974874371856,4.105857601922409
919.75,-53.50251256281407,3.9515961771627737
920.25,-53.5,3.768721000219061
920.75,-53.0,3.5962368087128844
921.25,-53.5,3.4139474736781126
921.75,-53.5,3.226663065524999
922.25,-54.0,3.067098229800211
922.75,-53.5,2.891345657117836
923.25,-53.49748743718593,2.7491402421685183
923.75,-53.0,2.5828844751679276
924.25,-53.5,2.422147955625257
924.75,-53.5,2.2723882634290646
925.25,-53.0,2.0817121389610285
925.75,-53.0,1.9459201512253828
926.25,-53.0,1.7797568855788362
926.75,-53.5,1.6165844970463574
927.25,-53.5,1.4589621897564802
