CHANNEL,RSSI,PHASE
902.75,-42.0,5.873311807413479
903.25,-42.0,5.745752440187692
903.75,-42.5,5.594790230388936
904.25,-42.50251256281407,5.464640825249936
904.75,-42.5,5.300975096162559
905.25,-42.5,5.190497645650112
905.75,-42.5,5.050203925351023
906.25,-42.5,4.928903816415502
906.75,-43.0,4.808867892651909
907.25,-43.0,4.674185921164784
907.75,-43.0,4.566730181551087
908.25,-42.5,4.433034891173757
908.75,-42.5,4.303409660374335
909.25,-42.5,4.160279231884583
909.75,-43.0,4.025967265813631
910.25,-43.0,3.917401509951413
910.75,-42.99748743718593,3.749172380731231
911.25,-42.5,3.6107595212976906
911.75,-42.5,3.4663649076360135
912.25,-42.5,3.328753726604182
912.75,-42.5,3.1760956586479647
913.25,-42.5,3.0247634434330353
913.75,-42.0,2.8518167451566425
914.25,-41.994974874371856,2.7037837449025925
914.75,-41.5,2.54850480524848
915.25,-42.0,2.39273252503947
915.75,-41.99748743718593,2.22234503089161
916.25,-41.5,2.0574151166323076
916.75,-41.5,1.9072237514505797
917.25,-41.5,1.7452538805206645
917.75,-42.0,1.578535606749857
918.25,-41.5,1.4246133536217143
918.75,-41.5,1.2314396925945075
919.25,-41.5,1.1004577752691163
919.75,-42.0,0.927757747270172
920.25,-42.49748743718593,0.7778747199352553
920.75,-42.0,0.5955853849004834
921.25,-42.0,0.4359897153910144
921.75,-42.0,0.3014927466119759
922.25,-42.5,0.14704631914425373
922.75,-43.0,6.277049384028044
923.25,-42.5,6.118502063197732
923.75,-42.5,5.9939952406553765
924.25,-42.5,5.855243209590344
924.75,-42.5,5.7365331385680385
925.25,-42.5,5.606167896936269
925.75,-43.0,5.472780944405752
926.25,-42.5,5.323082919778921
926.75,-42.5,5.201751977058721
927.25,-42.0,5.095868760463759
