DISTANCE,CHANNEL,RSSI,PHASE
0.0,902.75,-31.0,0.3002593952247312
0.0,903.25,-31.5,0.16582409401505485
0.0,903.75,-31.5,0.0393439092531071
0.0,904.25,-31.5,-0.07538860354533483
0.0,904.75,-31.00251256281407,-0.22650498226749605
0.0,905.25,-31.0,-0.35492769546435365
0.0,905.75,-31.0,-0.46636099330191705
0.0,906.25,-31.0,-0.5952770470536715
0.0,906.75,-31.0,-0.7130004369661824
0.0,907.25,-31.49748743718593,-0.8231078820624562
0.0,907.75,-31.0,-0.950173908733345
0.0,908.25,-30.5,-1.0606205254611112
0.0,908.75,-30.5,-1.1719921557293098
0.0,909.25,-30.5,-1.2868171698817958
0.0,909.75,-30.5,-1.398003797441909
0.0,910.25,-31.0,-1.5168988711723008
0.0,910.75,-31.0,-1.6107569117416247
0.0,911.25,-30.5,-1.7381004424746447
0.0,911.75,-30.5,-1.8520621106560586
0.0,912.25,-30.5,-1.9667946234544988
0.0,912.75,-30.5,-2.081033795698044
0.0,913.25,-30.5,-2.2018097302939843
0.0,913.75,-31.0,-2.3172514201400927
0.0,914.25,-31.0,-2.439831131139879
0.0,914.75,-30.5,-2.57936942371428
0.0,915.25,-30.5,-2.6998370204634092
0.0,915.75,-30.5,-2.82252464970958
0.0,916.25,-30.5,-2.947894818223008
0.0,916.75,-30.50502512562814,-3.074035831353463
0.0,917.25,-30.99497487437186,-3.1858699683918785
0.0,917.75,-30.5,-3.337911360654474
0.0,918.25,-30.0,-3.4612464993789476
0.0,918.75,-30.0,-3.576225682454838
0.0,919.25,-30.0,-3.6913898682388155
0.0,919.75,-30.0,-3.8220942815020766
0.0,920.25,-30.5,-3.9269599832025612
0.0,920.75,-30.0,-4.050850130051295
0.0,921.25,-29.99497487437186,-4.16626098611272
0.0,921.75,-29.5,-4.282720190853304
0.0,922.25,-29.5,-4.393906818413417
0.0,922.75,-29.5,-4.502349239136912
0.0,923.25,-30.0,-4.620103462834102
0.0,923.75,-30.0,-4.741249402846217
0.0,924.25,-29.5,-4.846762614025003
0.0,924.75,-29.5,-4.972256117677156
0.0,925.25,-29.5,-5.110699810895378
0.0,925.75,-29.00502512562814,-5.2243531412299795
0.0,926.25,-29.5,-5.350000813805537
