DISTANCE,CHANNEL,RSSI,PHASE
0,902.75,-31.0,0.30025939522473116
0,903.25,-31.5,0.16582409401505485
0,903.75,-31.5,0.0393439092531071
0,904.25,-31.5,6.207796703634251
0,904.75,-31.002512562814072,6.05668032491209
0,905.25,-31.0,5.928257611715233
0,905.75,-31.0,5.81682431387767
0,906.25,-31.0,5.687908260125915
0,906.75,-31.0,5.570184870213404
0,907.25,-31.497487437185928,5.46007742511713
0,907.75,-31.0,5.333011398446241
0,908.25,-30.5,5.222564781718475
0,908.75,-30.5,5.1111931514502755
0,909.25,-30.5,4.99636813729779
0,909.75,-30.5,4.885181509737677
0,910.25,-31.0,4.766286436007285
0,910.75,-31.0,4.672428395437961
0,911.25,-30.5,4.545084864704941
0,911.75,-30.5,4.431123196523527
0,912.25,-30.5,4.3163906837250865
0,912.75,-30.5,4.202151511481542
0,913.25,-30.5,4.081375576885602
0,913.75,-31.0,3.9659338870394936
0,914.25,-31.0,3.8433541760397074
0,914.75,-30.5,3.7038158834653068
0,915.25,-30.5,3.583348286716177
0,915.75,-30.5,3.4606606574700063
0,916.25,-30.5,3.335290488956579
0,916.75,-30.50502512562814,3.2091494758261234
0,917.25,-30.99497487437186,3.0973153387877073
0,917.75,-30.5,2.9452739465251123
0,918.25,-30.0,2.8219388078006387
0,918.75,-30.0,2.7069596247247483
0,919.25,-30.0,2.5917954389407707
0,919.75,-30.0,2.4610910256775096
0,920.25,-30.5,2.3562253239770254
0,920.75,-30.0,2.232335177128292
0,921.25,-29.99497487437186,2.116924321066866
0,921.75,-29.5,2.0004651163262817
0,922.25,-29.5,1.8892784887661689
0,922.75,-29.5,1.780836068042675
0,923.25,-30.0,1.663081844345484
0,923.75,-30.0,1.5419359043333698
0,924.25,-29.5,1.4364226931545825
0,924.75,-29.5,1.3109291895024304
0,925.25,-29.5,1.1724854962842088
0,925.75,-29.00502512562814,1.0588321659496063
0,926.25,-29.5,0.9331844933740489
0,926.75,-29.5,0.8113293763142689
0,927.25,-29.5,0.690306771440879
2,902.75,-34.0,0.15305890715707182
2,903.25,-34.5,0.02454369260617026
2,903.75,-34.5,6.195786944500956
2,904.25,-34.0,6.036792533792768
2,904.75,-33.99748743718593,5.918144130339825
2,905.25,-33.5,5.8001740701498665
2,905.75,-33.50251256281407,5.680384816663721
2,906.25,-34.0,5.560102222622678
2,906.75,-34.0,5.436489579836075
2,907.25,-33.5,5.311489416738821
2,907.75,-33.5,5.201227802719141
2,908.25,-33.5,5.0867111264134675
2,908.75,-33.5,4.970066918964796
2,909.25,-33.5,4.864738710494096
2,909.75,-33.50251256281407,4.749235353078627
2,910.25,-33.5,4.649888898836063
2,910.75,-33.5,4.516594447659588
2,911.25,-33.5,4.405438653884156
2,911.75,-33.00251256281407,4.277940954227732
2,912.25,-33.5,4.16845018482508
2,912.75,-33.5,4.04190833249377
2,913.25,-34.0,3.927021650771922
2,913.75,-33.5,3.7914763333137267
2,914.25,-33.5,3.6684495324360635
2,914.75,-33.494974874371856,3.538608465143874
2,915.25,-33.5,3.4233517780058538
2,915.75,-33.5,3.2914140133553476
2,916.25,-33.50251256281407,3.1657971745644717
2,916.75,-33.5,3.057878928180557
2,917.25,-33.0,2.894336534231905
2,917.75,-33.0,2.7708009759070045
2,918.25,-33.0,2.6445520445301645
2,918.75,-33.0,2.5306520439181126
2,919.25,-33.0,2.4219321191324887
2,919.75,-33.49748743718593,2.3065520968557442
2,920.25,-33.0,2.1701742672111575
2,920.75,-32.5,2.061423508640853
2,921.25,-32.5,1.9464134917802813
2,921.75,-32.5,1.834702689880589
2,922.25,-32.5,1.7194768365272495
2,922.75,-33.0,1.6020001168921885
2,923.25,-33.0,1.5010194720615255
2,923.75,-32.5,1.358413217911353
2,924.25,-32.5,1.2439582091750414
2,924.75,-32.5,1.127992344989355
2,925.25,-32.5,0.9992921277303667
2,925.75,-32.5,0.87256527269097
2,926.25,-33.0,0.7629511681495941
2,926.75,-32.5,0.6119889583508383
2,927.25,-32.00251256281407,0.49189136701788205
5,902.75,-36.0,5.892274584992367
5,903.25,-35.50251256281407,5.7661644056465935
5,903.75,-36.0,5.645665975112783
5,904.25,-36.0,5.529422606864966
5,904.75,-36.0,5.404730781614523
5,905.25,-35.5,5.270973823667831
5,905.75,-35.5,5.154946291912782
5,906.25,-35.5,5.044129669768843
5,906.75,-35.5,4.927762966382302
5,907.25,-35.5,4.814787979310684
5,907.75,-36.0,4.694135379853467
5,908.25,-36.0,4.582208741461008
5,908.75,-35.5,4.467537896231927
5,909.25,-35.5,4.338899346542303
5,909.75,-35.5,4.219695934965098
5,910.25,-35.5,4.096884970580204
5,910.75,-36.0,3.984557492986889
5,911.25,-36.0,3.8697633126190856
5,911.75,-36.0,3.730548774783836
5,912.25,-35.5,3.6031127426967733
5,912.75,-35.5,3.4846801757365977
5,913.25,-35.5,3.3555174517073927
5,913.75,-36.0,3.2216063248372957
5,914.25,-36.017587939698494,3.082823459987582
5,914.75,-36.0,2.9584708063686307
5,915.25,-35.5,2.833809814902869
5,915.75,-35.5,2.70535626792133
5,916.25,-35.5,2.594292975499941
5,916.75,-35.5,2.466086098795851
5,917.25,-35.5,2.35963245718429
5,917.75,-35.5,2.225089237728229
5,918.25,-35.5,2.1129159290583206
5,918.75,-35.0,2.0001567784794707
5,919.25,-35.0,1.8839442440163354
5,919.75,-35.0,1.7610716120620782
5,920.25,-35.5,1.6452290830151164
5,920.75,-35.5,1.527505693102606
5,921.25,-35.5,1.4031530394836558
5,921.75,-35.0,1.2959748039320882
5,922.25,-35.0,1.178713920789795
5,922.75,-35.0,1.0583696591793896
5,923.25,-35.0,0.9389195773247369
5,923.75,-35.5,0.8360580716285259
5,924.25,-35.5,0.6958568526834804
5,924.75,-35.0,0.5659541178219285
5,925.25,-35.0,0.44258814531277374
5,925.75,-35.0,0.30682699136180935
5,926.25,-35.0,0.18142598906370075
5,926.75,-35.005025125628144,0.042704791783349
5,927.25,-35.0,6.205114164366995
8,902.75,-37.5,5.14193443477735
8,903.25,-37.5,5.022854358338871
8,903.75,-37.5,4.908646019880008
8,904.25,-38.0,4.78904176910195
8,904.75,-38.0,4.6766834577239536
8,905.25,-38.0,4.547736570187517
8,905.75,-37.5,4.432695719542265
8,906.25,-37.5,4.31376981202719
8,906.75,-37.5,4.191668024689962
8,907.25,-38.0,4.061426118196917
8,907.75,-38.0,3.9478961230010396
8,908.25,-38.0,3.8226184558416554
8,908.75,-38.0,3.6876898140770815
8,909.25,-38.0,3.5535936844988973
8,909.75,-38.0,3.4332494228884927
8,910.25,-38.0,3.30223667177842
8,910.75,-38.5,3.1787165303458598
8,911.25,-38.5,3.0611164755720743
8,911.75,-38.0,2.9130834753180244
8,912.25,-38.0,2.791166690688882
8,912.75,-37.99748743718593,2.669650745260595
8,913.25,-38.0,2.5544248919072556
8,913.75,-38.0,2.431552259952998
8,914.25,-38.0,2.3337166611598095
8,914.75,-38.0,2.1891370447900456
8,915.25,-37.5,2.0682377750553798
8,915.75,-37.5,1.9566194745097316
8,916.25,-37.5,1.8408077792474506
8,916.75,-37.5,1.723731898813244
8,917.25,-38.0,1.6091535549382079
8,917.75,-38.0,1.50142031126238
8,918.25,-37.505025125628144,1.3633466234603318
8,918.75,-37.5,1.2408748307069295
8,919.25,-37.5,1.1315998977970458
8,919.75,-37.5,1.019395755342456
8,920.25,-38.0,0.9043549046972031
8,920.75,-38.005025125628144,0.7902082338077028
8,921.25,-38.0,0.6450736093136783
8,921.75,-38.0,0.5320677884573795
8,922.25,-37.5,0.4102435051822805
8,922.75,-37.5,0.2839483231284195
8,923.25,-38.0,0.1633882250252465
8,923.75,-38.0,0.034163833426679203
8,924.25,-38.0,6.192256476154967
8,924.75,-37.5,6.056618657342728
8,925.25,-37.5,5.929120957686304
8,925.75,-37.0,5.806402494655452
8,926.25,-37.0,5.681834004543734
8,926.75,-37.5,5.559177209082245
8,927.25,-37.5,5.4359962392811765
11,902.75,-39.5,4.271496693229377
11,903.25,-39.5,4.150412420786625
11,903.75,-39.5,4.032689030874114
11,904.25,-40.0,3.917216507243327
11,904.75,-40.0,3.77091019893142
11,905.25,-39.5,3.650935942737188
11,905.75,-39.5,3.5231607390186332
11,906.25,-39.5,3.400133938140971
11,906.75,-40.0,3.2685970126913197
11,907.25,-40.0,3.133822539850151
11,907.75,-40.0,2.9924496370872236
11,908.25,-39.5,2.868497822669127
11,908.75,-39.5,2.7394892675633282
11,909.25,-39.5,2.6170791423792883
11,909.75,-39.5,2.4961798726446225
11,910.25,-40.0,2.38058401387511
11,910.75,-40.0,2.2652039915983644
11,911.25,-39.5,2.1301211809103844
11,911.75,-39.5,2.007248548956128
11,912.25,-39.5,1.9006561553135013
11,912.75,-39.5,1.7840119478648302
11,913.25,-39.5,1.6693719364204322
11,913.75,-40.0,1.5432309232899766
11,914.25,-39.5,1.4424044473827196
11,914.75,-39.5,1.2987190107687079
11,915.25,-39.5,1.1788680897132005
11,915.75,-39.5,1.0671881215981893
11,916.25,-39.5,0.9495880668244039
11,916.75,-40.0,0.8277946173339861
11,917.25,-40.0,0.711612916655532
11,917.75,-39.5,0.5584306743597356
11,918.25,-39.5,0.4371613992088969
11,918.75,-39.5,0.31320958479080085
11,919.25,-39.5,0.185650217565014
11,919.75,-40.0,0.060526719329035444
11,920.25,-40.0,6.221579405386712
11,920.75,-39.5,6.085078240603401
11,921.25,-39.5,5.965319820901937
11,921.75,-39.5,5.839302142910205
11,922.25,-39.5,5.718464540744902
11,922.75,-39.5,5.598829456182163
11,923.25,-39.5,5.4767276688449344
11,923.75,-39.5,5.333597240355182
11,924.25,-39.0,5.224784814215515
11,924.75,-39.0,5.116650731338833
11,925.25,-39.0,4.99470311292501
11,925.75,-39.0,4.884071493489157
11,926.25,-39.0,4.763048888615768
11,926.75,-39.0,4.6501047353288305
11,927.25,-39.0,4.517796965262152
14,902.75,-41.49748743718593,3.363534235724484
14,903.25,-41.5,3.2472291999073053
14,903.75,-42.0,3.114088917654236
14,904.25,-41.5,2.962479198377176
14,904.75,-41.005025125628144,2.8337481473335067
14,905.25,-41.0,2.716425596621851
14,905.75,-41.0,2.5987638742787036
14,906.25,-41.0,2.4857580534224044
14,906.75,-41.5,2.3679421621558507
14,907.25,-41.5,2.233630196084899
14,907.75,-41.0,2.112453422288104
14,908.25,-41.0,1.998460920322009
14,908.75,-41.0,1.871425727435801
14,909.25,-41.0,1.754997356479898
14,909.75,-41.0,1.6437182275657418
14,910.25,-41.5,1.5065387195194457
14,910.75,-41.0,1.393378729739741
14,911.25,-41.0,1.2746378249327543
14,911.75,-41.0,1.1643145433437128
14,912.25,-41.0,1.0489036872822861
14,912.75,-41.0,0.9241193606778
14,913.25,-41.5,0.8123160574240647
14,913.75,-41.5,0.6849108591216834
14,914.25,-41.0,0.556703982417593
14,914.75,-41.0,0.423902871796016
14,915.25,-41.0,0.29486348290553543
14,915.75,-41.005025125628144,0.16631743456995274
14,916.25,-41.5,0.029723768432598153
14,916.75,-41.5,6.200211592602696
14,917.25,-41.0,6.051931922071198
14,917.75,-41.0,5.920950004745807
14,918.25,-41.0,5.801469089106473
