DISTANCE,CHANNEL,RSSI,PHASE
0.0,902.75,-27.0,6.271005962230544
0.0,903.25,-27.0,6.1604051765793715
0.0,903.75,-26.5,6.0176139197211125
0.0,904.25,-26.5,5.890578726834905
0.0,904.75,-26.5,5.767798596234691
0.0,905.25,-26.5,5.640670901994442
0.0,905.75,-26.5,5.522361670172988
0.0,906.25,-26.5,5.4057791302936815
0.0,906.75,-26.0,5.282474825353888
0.0,907.25,-25.50251256281407,5.172151543764847
0.0,907.75,-25.5,5.062105766237935
0.0,908.25,-25.5,4.95172081707953
0.0,908.75,-26.0,4.847348455933945
0.0,909.25,-26.0,4.7307659160546365
0.0,909.75,-26.0,4.633639494309113
0.0,910.25,-25.5,4.509934350168466
0.0,910.75,-25.5,4.396342687403226
0.0,911.25,-25.5,4.282720190853305
0.0,911.75,-25.5,4.1602175643152215
0.0,912.25,-25.5,4.043450021727827
0.0,912.75,-26.0,3.927052484556604
0.0,913.25,-25.5,3.7857412493630394
0.0,913.75,-25.5,3.668665368928832
0.0,914.25,-25.5,3.5475194289167167
0.0,914.75,-25.5,3.416506677806645
0.0,915.25,-25.5,3.289378983566394
0.0,915.75,-25.5,3.1613262757857092
0.0,916.25,-25.5,3.046562929202586
0.0,916.75,-25.0,2.8890639570514334
0.0,917.25,-25.0,2.773375596927877
0.0,917.75,-24.5,2.652013820422995
0.0,918.25,-24.5,2.540241350953941
0.0,918.75,-25.0,2.419280413649913
0.0,919.25,-25.0,2.307137938764685
0.0,919.75,-24.5,2.1782218850129293
0.0,920.25,-24.5,2.0555034219820785
0.0,920.75,-24.0,1.9328157927359084
0.0,921.25,-24.0,1.8041464092616009
0.0,921.75,-24.5,1.6848504963303537
0.0,922.25,-24.5,1.5585861480611742
0.0,922.75,-24.0,1.438796894575029
0.0,923.25,-24.0,1.2833946197821922
0.0,923.75,-23.5,1.1542318957529871
0.0,924.25,-23.5,1.0301259124114854
0.0,924.75,-24.0,0.9070991115338226
0.0,925.25,-24.0,0.7669287263734583
0.0,925.75,-23.99497487437186,0.6120197921355195
0.0,926.25,-23.5,0.4731752597164432
0.0,926.75,-23.5,0.33001399744201043
0.0,927.25,-23.5,0.18404686076159585
2.0,902.75,-28.0,6.111471960290438
2.0,903.25,-27.5,5.975186631999893
2.0,903.75,-27.5,5.8586657596899485
2.0,904.25,-27.5,5.735361454750155
2.0,904.75,-27.5,5.611008801131204
2.0,905.25,-28.0,5.49787964513618
2.0,905.75,-27.5,5.3627660006635205
2.0,906.25,-27.00251256281407,5.239862534924582
2.0,906.75,-27.0,5.124112507231664
2.0,907.25,-27.0,5.020017650148208
2.0,907.75,-27.0,4.908276014463834
2.0,908.25,-27.5,4.7982610707216065
2.0,908.75,-27.5,4.6939195433607
2.0,909.25,-27.49748743718593,4.572095260085599
2.0,909.75,-27.0,4.448513451083678
2.0,910.25,-27.0,4.331961744989052
2.0,910.75,-27.0,4.212881668550571
2.0,911.25,-27.0,4.086863990558841
2.0,911.75,-27.5,3.9690480992922863
2.0,912.25,-27.5,3.83818951710562
2.0,912.75,-27.0,3.7080092781819385
2.0,913.25,-27.0,3.583348286716177
2.0,913.75,-27.0,3.4489129855065004
2.0,914.25,-27.0,3.3215694547734818
2.0,914.75,-27.0,3.1901558644625543
2.0,915.25,-27.0,3.068269913618093
2.0,915.75,-27.0,2.913761818581009
2.0,916.25,-26.5,2.7900875082250427
2.0,916.75,-26.5,2.6687565655048417
2.0,917.25,-26.5,2.545822265981223
2.0,917.75,-26.5,2.4264646854806133
2.0,918.25,-27.0,2.302266200785069
2.0,918.75,-26.5,2.172116795646068
2.0,919.25,-26.0,2.0512175259114027
2.0,919.75,-26.0,1.927234877708625
2.0,920.25,-26.0,1.8039305727688328
2.0,920.75,-26.5,1.6812121097379815
2.0,921.25,-26.5,1.5640745617344132
2.0,921.75,-26.00251256281407,1.4257233698702343
2.0,922.25,-26.0,1.28610799283413
2.0,922.75,-26.0,1.1718071530212242
2.0,923.25,-26.0,1.0489345210669674
2.0,923.75,-26.0,0.91502339419687
2.0,924.25,-26.5,0.7860456728757518
2.0,924.75,-26.0,0.6324009238097387
2.0,925.25,-26.0,0.5086341120997294
2.0,925.75,-26.0,0.3683095580159595
2.0,926.25,-26.0,0.2265666498368581
2.0,926.75,-26.0,0.0855637524901036
2.0,927.25,-26.49748743718593,-0.05519247457920162
3.0,902.75,-28.0,5.865418358535114
3.0,903.25,-28.0,5.727498839656469
3.0,903.75,-28.0,5.603362022530288
3.0,904.25,-28.0,5.4907570408748425
3.0,904.75,-28.0,5.351511669254912
3.0,905.25,-27.5,5.233973282050488
3.0,905.75,-27.5,5.11739074217118
3.0,906.25,-27.5,5.007067460582139
3.0,906.75,-27.5,4.89103992882709
3.0,907.25,-27.5,4.779174958003993
3.0,907.75,-28.0,4.684761909310408
3.0,908.25,-27.5,4.546749889077722
3.0,908.75,-27.5,4.423969758477508
3.0,909.25,-27.5,4.3014671319394235
3.0,909.75,-27.5,4.184699589352029
3.0,910.25,-27.5,4.069072896797835
3.0,910.75,-28.0,3.9391393281516023
3.0,911.25,-28.0,3.818425061125024
3.0,911.75,-27.5,3.6758188069748505
3.0,912.25,-27.5,3.5533161804367674
3.0,912.75,-27.5,3.4297960390042075
3.0,913.25,-27.5,3.3008799852524513
3.0,913.75,-27.99748743718593,3.166167179980645
3.0,914.25,-27.5,3.0518355063830573
3.0,914.75,-27.5,2.9038025061290087
3.0,915.25,-27.0,2.7753489591474683
3.0,915.75,-27.0,2.648498768969348
3.0,916.25,-27.0,2.5206002301120685
3.0,916.75,-27.5,2.398837614406332
3.0,917.25,-27.5,2.2807442190776483
3.0,917.75,-27.0,2.147542269255216
3.0,918.25,-27.0,2.025409648133306
3.0,918.75,-26.5,1.9126196637697757
3.0,919.25,-26.51005025125628,1.7893770263993451
3.0,919.75,-27.0,1.6628660078527162
3.0,920.25,-27.5,1.540270879960589
3.0,920.75,-27.0,1.431088448404749
3.0,921.25,-26.5,1.2877113496375483
3.0,921.75,-26.5,1.1673670880271432
3.0,922.25,-26.5,1.0547312725870177
3.0,922.75,-27.0,0.9295461067816768
3.0,923.25,-27.0,0.7976391759158523
