DISTANCE,CHANNEL,RSSI,PHASE
0,902.75,-27.0,6.271005962230544
0,903.25,-27.0,6.160405176579373
0,903.75,-26.5,6.017613919721113
0,904.25,-26.5,5.890578726834905
0,904.75,-26.5,5.767798596234691
0,905.25,-26.5,5.640670901994441
0,905.75,-26.5,5.522361670172989
0,906.25,-26.5,5.405779130293681
0,906.75,-26.0,5.282474825353888
0,907.25,-25.502512562814072,5.172151543764847
0,907.75,-25.5,5.062105766237935
0,908.25,-25.5,4.95172081707953
0,908.75,-26.0,4.847348455933945
0,909.25,-26.0,4.7307659160546365
0,909.75,-26.0,4.633639494309113
0,910.25,-25.5,4.509934350168466
0,910.75,-25.5,4.396342687403226
0,911.25,-25.5,4.282720190853305
0,911.75,-25.5,4.160217564315221
0,912.25,-25.5,4.043450021727827
0,912.75,-26.0,3.9270524845566035
0,913.25,-25.5,3.7857412493630385
0,913.75,-25.5,3.6686653689288318
0,914.25,-25.5,3.547519428916717
0,914.75,-25.5,3.416506677806645
0,915.25,-25.5,3.289378983566394
0,915.75,-25.5,3.161326275785709
0,916.25,-25.5,3.046562929202586
0,916.75,-25.0,2.8890639570514334
0,917.25,-25.0,2.773375596927877
0,917.75,-24.5,2.652013820422995
0,918.25,-24.5,2.540241350953941
0,918.75,-25.0,2.419280413649913
0,919.25,-25.0,2.3071379387646855
0,919.75,-24.5,2.1782218850129293
0,920.25,-24.5,2.055503421982078
0,920.75,-24.0,1.9328157927359084
0,921.25,-24.0,1.8041464092616006
0,921.75,-24.5,1.6848504963303537
0,922.25,-24.5,1.558586148061174
0,922.75,-24.0,1.4387968945750287
0,923.25,-24.0,1.283394619782192
0,923.75,-23.5,1.154231895752987
0,924.25,-23.5,1.0301259124114854
0,924.75,-24.0,0.9070991115338226
0,925.25,-24.0,0.7669287263734583
0,925.75,-23.99497487437186,0.6120197921355195
0,926.25,-23.5,0.4731752597164432
0,926.75,-23.5,0.33001399744201043
0,927.25,-23.5,0.18404686076159582
2,902.75,-28.0,6.111471960290438
2,903.25,-27.5,5.975186631999894
2,903.75,-27.5,5.8586657596899485
2,904.25,-27.5,5.735361454750155
2,904.75,-27.5,5.611008801131204
2,905.25,-28.0,5.49787964513618
2,905.75,-27.5,5.3627660006635205
2,906.25,-27.002512562814072,5.239862534924582
2,906.75,-27.0,5.124112507231664
