DISTANCE,CHANNEL,RSSI,PHASE
2.0,902.75,-23.0,2.6518596514995894
2.0,903.25,-23.0,2.5204152274039817
2.0,903.75,-23.5,2.3859490924096245
2.0,904.25,-23.49497487437186,2.238594435418559
2.0,904.75,-23.0,2.0922264595372897
2.0,905.25,-23.0,1.9451493066083556
2.0,905.75,-23.0,1.8046397498164983
2.0,906.25,-23.5,1.6626810051446297
2.0,906.75,-23.5,1.5281223687962284
2.0,907.25,-23.5,1.3530173055921573
2.0,907.75,-23.0,1.208746027069204
2.0,908.25,-23.0,1.074125723151441
2.0,908.75,-23.5,0.9285594256718812
2.0,909.25,-24.0,0.7853981633974483
2.0,909.75,-23.5,0.6179090450096131
2.0,910.25,-23.49748743718593,0.4722194123913285
2.0,910.75,-23.5,0.3246797526921769
2.0,911.25,-23.5,0.165608257522287
2.0,911.75,-24.0,0.0018500270808671046
2.0,912.25,-23.5,-0.1562964545485892
2.0,912.75,-23.5,-0.3305690055662698
2.0,913.25,-23.00502512562814,-0.4782628341888291
2.0,913.75,-23.5,-0.6320925859629263
2.0,914.25,-23.5,-0.7823764524986974
2.0,914.75,-23.5,-0.9511914236278214
2.0,915.25,-23.0,-1.098361077910801
2.0,915.75,-23.0,-1.240412323936713
2.0,916.25,-23.5,-1.3806135428817585
2.0,916.75,-23.99497487437186,-1.5224489524149023
2.0,917.25,-24.0,-1.6595667928918365
2.0,917.75,-23.5,-1.8223383422234614
2.0,918.25,-23.5,-1.970001337061336
2.0,918.75,-24.0,-2.1168318197128224
2.0,919.25,-24.5,-2.268410705205201
2.0,919.75,-24.5,-2.4267730233274256
2.0,920.25,-24.5,-2.5728018275772015
2.0,920.75,-24.5,-2.7302699659436733
2.0,921.25,-24.5,-2.87602126613132
2.0,921.75,-25.0,-3.015759978306149
2.0,922.25,-25.5,-3.172303103132186
2.0,922.75,-25.0,-3.331682936148888
2.0,923.25,-25.0,-3.4705583023526456
2.0,923.75,-25.0,-3.610636186158966
2.0,924.25,-25.0,-3.7338788235293965
2.0,924.75,-25.5,-3.862131950910509
2.0,925.25,-25.50502512562814,-3.965440546484596
2.0,925.75,-25.5,-4.135612204139689
2.0,926.25,-25.517587939698487,-4.148146137612564
2.0,926.75,-25.50251256281407,-4.387185053352933
2.0,927.25,-25.517587939698487,-4.50039129380966
8.0,902.75,-30.5,0.521029293541539
8.0,903.25,-30.5,0.3864398234084571
8.0,903.75,-30.5,0.2423227138089096
8.0,904.25,-31.0,0.09814393663999993
8.0,904.75,-31.5,-0.04810070410254497
8.0,905.25,-31.0,-0.20341047754133879
8.0,905.75,-31.0,-0.3532318373068932
8.0,906.25,-31.0,-0.48328874109184916
8.0,906.75,-31.0,-0.6258024938879796
8.0,907.25,-31.5,-0.7624578275946945
8.0,907.75,-31.0,-0.9201418024539354
8.0,908.25,-31.0,-1.0363235031323876
8.0,908.75,-31.0,-1.1646228811905228
8.0,909.25,-31.0,-1.3011240459738351
8.0,909.75,-31.49748743718593,-1.4173982480063323
8.0,910.25,-31.5,-1.565215411767614
8.0,910.75,-31.5,-1.6801945948435044
8.0,911.25,-31.5,-1.818299116430235
8.0,911.75,-31.5,-1.9445326309147326
8.0,912.25,-31.5,-2.07428119685288
8.0,912.75,-32.0,-2.202796411403779
8.0,913.25,-32.5,-2.336306699073025
8.0,913.75,-32.5,-2.492880657683743
8.0,914.25,-32.01005025125628,-2.6266992831997973
8.0,914.75,-32.494974874371856,-2.76187459524182
8.0,915.25,-32.5,-2.89806742217832
8.0,915.75,-32.99748743718593,-3.0409357634982825
8.0,916.25,-33.0,-3.175386481600299
8.0,916.75,-33.0,-3.310870131489133
8.0,917.25,-32.505025125628144,-3.4421912204460163
8.0,917.75,-32.5,-3.58152909341999
8.0,918.25,-32.99748743718593,-3.6967857805580113
8.0,918.75,-33.0,-3.816482532690113
8.0,919.25,-33.5,-3.9396635024911815
8.0,919.75,-33.0,-4.0685178886735756
8.0,920.25,-33.0,-4.196971435655114
8.0,920.75,-33.0,-4.3133998066110175
8.0,921.25,-33.0,-4.420886380009396
8.0,921.75,-33.0,-4.5354338900997515
8.0,922.25,-33.5,-4.657319840944212
8.0,922.75,-33.5,-4.762278043998739
8.0,923.25,-33.5,-4.908769355018733
8.0,923.75,-33.0,-5.024426881357608
8.0,924.25,-33.0,-5.148070357928893
8.0,924.75,-33.0,-5.260397835522207
8.0,925.25,-33.5,-5.388913050073109
8.0,925.75,-33.5,-5.502381377699624
8.0,926.25,-33.5,-5.651616895556238
8.0,926.75,-33.0,-5.785003848086756
8.0,927.25,-33.0,-5.90809231653378
14.000000000000002,902.75,-36.0,-0.8052859545167701
14.000000000000002,903.25,-35.5,-0.9440071517971207
14.000000000000002,903.75,-35.0,-1.074588229921659
14.000000000000002,904.25,-35.0,-1.2066801634955695
14.000000000000002,904.75,-35.0,-1.3270244251059742
14.000000000000002,905.25,-35.5,-1.4481086975487258
14.000000000000002,905.75,-36.0,-1.5722455146749104
14.000000000000002,906.25,-35.5,-1.6852513355312082
14.000000000000002,906.75,-35.5,-1.8193166313247113
14.000000000000002,907.25,-35.5,-1.9579144934663377
14.000000000000002,907.75,-35.5,-2.085227190414675
14.000000000000002,908.25,-35.5,-2.207637315598716
14.000000000000002,908.75,-36.0,-2.345001826353099
14.000000000000002,909.25,-36.0,-2.4955631969510006
14.000000000000002,909.75,-35.5,-2.6318793590262244
14.000000000000002,910.25,-35.5,-2.7544744869183515
14.000000000000002,910.75,-35.5,-2.8908831503476184
14.000000000000002,911.25,-36.0,-3.024239269093456
14.000000000000002,911.75,-36.5,-3.1667221881049046
14.000000000000002,912.25,-36.0,-3.3076634178822966
14.000000000000002,912.75,-35.5,-3.4427462285702766
14.000000000000002,913.25,-35.5,-3.5676230565288067
14.000000000000002,913.75,-35.5,-3.7040317199580746
14.000000000000002,914.25,-35.5,-3.8273360248978667
14.000000000000002,914.75,-36.0,-3.9377518078409515
14.000000000000002,915.25,-35.5,-4.090625712289937
14.000000000000002,915.75,-35.0,-4.2060982359207255
14.000000000000002,916.25,-35.0,-4.348519487362811
14.000000000000002,916.75,-35.0,-4.466181209705959
14.000000000000002,917.25,-35.0,-4.5957756067207
14.000000000000002,917.75,-35.5,-4.734280967508283
14.000000000000002,918.25,-35.0,-4.843710069341573
14.000000000000002,918.75,-35.0,-5.006759122735327
14.000000000000002,919.25,-34.5,-5.129662588474265
14.000000000000002,919.75,-34.5,-5.264591230238839
14.000000000000002,920.25,-35.0,-5.41321007240183
14.000000000000002,920.75,-35.0,-5.529145102802835
14.000000000000002,921.25,-34.99748743718593,-5.697374232023018
14.000000000000002,921.75,-34.5,-5.835972094164645
14.000000000000002,922.25,-34.5,-5.981199220012712
14.000000000000002,922.75,-34.5,-6.129848895960384
14.000000000000002,923.25,-35.0,-6.220099383722018
14.000000000000002,923.75,-34.5,-6.442780976689055
14.000000000000002,924.25,-34.0,-6.60277748539938
14.000000000000002,924.75,-33.99748743718593,-6.761848980569268
14.000000000000002,925.25,-34.0,-6.905287746905831
14.000000000000002,925.75,-34.0,-7.054029924207547
14.000000000000002,926.25,-33.5,-7.220933200686441
14.000000000000002,926.75,-33.5,-7.363909460252788
14.000000000000002,927.25,-33.0,-7.5103391037034175
20.0,902.75,-35.0,-2.6998986880327713
20.0,903.25,-35.0,-2.835012332505433
20.0,903.75,-35.0,-2.982027817865005
20.0,904.25,-35.5,-3.1295366437794763
20.0,904.75,-35.5,-3.2826572185059097
20.0,905.25,-35.0,-3.448666315229051
20.0,905.75,-35.0,-3.591056732886456
20.0,906.25,-35.0,-3.7237961759386713
20.0,906.75,-35.5,-3.8717675086233583
20.0,907.25,-35.5,-4.015206274959921
20.0,907.75,-35.0,-4.160217564315221
20.0,908.25,-35.0,-4.3067088753352145
20.0,908.75,-34.99748743718593,-4.442100023870006
20.0,909.25,-35.0,-4.5834729266329335
20.0,909.75,-35.5,-4.719542418430709
20.0,910.25,-35.0,-4.870689630937552
20.0,910.75,-35.0,-5.011137520160046
20.0,911.25,-35.0,-5.153589605386813
20.0,911.75,-35.0,-5.297213374431463
20.0,912.25,-35.5,-5.44327301246592
20.0,912.75,-35.5,-5.589332650500379
20.0,913.25,-35.0,-5.7601518176337745
20.0,913.75,-35.0,-5.896128808077506
20.0,914.25,-35.005025125628144,-6.05557030866357
20.0,914.75,-35.5,-6.209245891514264
20.0,915.25,-35.50251256281407,-6.359437256695994
20.0,915.75,-35.5,-6.522424642520386
20.0,916.25,-35.0,-6.673756857735314
20.0,916.75,-35.0,-6.814081411819084
20.0,917.25,-35.5,-6.959709376868006
20.0,917.75,-35.5,-7.099818094459008
20.0,918.25,-35.494974874371856,-7.264223834378731
20.0,918.75,-35.0,-7.39381823139347
20.0,919.25,-35.0,-7.52856187044996
20.0,919.75,-35.0,-7.676379034211241
20.0,920.25,-35.5,-7.813157703056681
20.0,920.75,-35.5,-7.9388362094169205
20.0,921.25,-35.5,-8.096088511290624
20.0,921.75,-35.5,-8.240544792521664
20.0,922.25,-35.5,-8.387560277881237
20.0,922.75,-36.0,-8.529950695538643
20.0,923.25,-36.0,-8.68236209321741
20.0,923.75,-36.0,-8.848463691294594
20.0,924.25,-35.5,-9.001553432236348
20.0,924.75,-35.505025125628144,-9.160254921990065
20.0,925.25,-36.0,-9.319172248236548
20.0,925.75,-36.5,-9.489744745092496
20.0,926.25,-36.0,-9.65556883910755
20.0,926.75,-35.5,-9.805020193456931
20.0,927.25,-35.5,-9.948967717240732
26.0,902.75,-38.5,-5.113320682593272
26.0,903.25,-38.5,-5.251209367687234
26.0,903.75,-39.0,-5.374513672627026
26.0,904.25,-39.5,-5.51052149685544
26.0,904.75,-39.0,-5.657259478152882
26.0,905.25,-39.0,-5.786391368397406
26.0,905.75,-39.0,-5.927240096820755
26.0,906.25,-39.0,-6.061613730461069
26.0,906.75,-39.5,-6.202986633223997
26.0,907.25,-39.5,-6.325859265178255
26.0,907.75,-39.0,-6.504294377127886
26.0,908.25,-39.0,-6.64033303514098
26.0,908.75,-39.0,-6.7671523915344185
26.0,909.25,-39.0,-6.927426404306874
26.0,909.75,-39.0,-7.058223318924178
26.0,910.25,-39.0,-7.209463032785064
26.0,910.75,-38.5,-7.339396601431298
26.0,911.25,-38.5,-7.480646169055501
26.0,911.75,-38.5,-7.61594481623625
26.0,912.25,-39.0,-7.749855943106346
26.0,912.75,-39.5,-7.885524595703267
26.0,913.25,-39.0,-8.025910817356399
26.0,913.75,-39.0,-8.167807894458907
26.0,914.25,-39.0,-8.304401560596261
26.0,914.75,-39.0,-8.439515205068922
26.0,915.25,-39.5,-8.579870592937372
26.0,915.75,-39.5,-8.718838460495174
26.0,916.25,-39.5,-8.884508385586823
26.0,916.75,-39.0,-9.016661986730096
26.0,917.25,-39.5,-9.162135782855612
26.0,917.75,-39.5,-9.319388084729315
26.0,918.25,-40.0,-9.452497533197704
26.0,918.75,-39.5,-9.613264886525055
26.0,919.25,-39.0,-9.756364481230127
26.0,919.75,-39.0,-9.90063575975308
26.0,920.25,-39.5,-10.027670952639287
26.0,920.75,-39.5,-10.170647212205633
26.0,921.25,-39.5,-10.29022062919901
26.0,921.75,-39.0,-10.442385356600331
26.0,922.25,-39.0,-10.582339905267927
26.0,922.75,-39.0,-10.715233517243547
26.0,923.25,-39.0,-10.844211238564666
26.0,923.75,-39.5,-10.978091531650081
26.0,924.25,-39.5,-11.117213568131287
26.0,924.75,-39.0,-11.270919984766664
26.0,925.25,-39.0,-11.405725291392512
26.0,925.75,-39.0,-11.539852254755377
26.0,926.25,-39.5,-11.677925942557426
26.0,926.75,-39.5,-11.81781882365566
26.0,927.25,-39.00251256281407,-11.984475429857106
32.0,902.75,-41.5,-7.1233751059553825
32.0,903.25,-41.5,-7.28269327140272
32.0,903.75,-41.00251256281407,-7.404425053323776
32.0,904.25,-41.0,-7.536640322036412
32.0,904.75,-41.5,-7.668115579916701
32.0,905.25,-41.51005025125628,-7.792560734889694
32.0,905.75,-42.0,-7.909081607199642
32.0,906.25,-41.5,-8.064483881992476
32.0,906.75,-41.5,-8.18612316255949
32.0,907.25,-41.5,-8.290649692628481
32.0,907.75,-41.5,-8.431960927822045
32.0,908.25,-42.0,-8.57703388474671
32.0,908.75,-42.005025125628144,-8.688436348799591
32.0,909.25,-42.0,-8.858823842947452
32.0,909.75,-42.0,-9.001985105221884
32.0,910.25,-42.0,-9.135063719905592
32.0,910.75,-42.0,-9.275326606419998
32.0,911.25,-42.5,-9.423883781013627
32.0,911.75,-42.06030150753769,-9.588412856072075
32.0,912.25,-42.0,-9.724852353286025
32.0,912.75,-42.0,-9.858023469323774
32.0,913.25,-41.5,-9.989652896127469
32.0,913.75,-42.0,-10.119648132343064
32.0,914.25,-42.0,-10.251555063208889
32.0,914.75,-41.50251256281407,-10.421572551940576
32.0,915.25,-41.5,-10.538062590465842
32.0,915.75,-41.5,-10.679959667568347
32.0,916.25,-41.5,-10.813315786314185
32.0,916.75,-41.505025125628144,-10.940104308922944
32.0,917.25,-42.0,-11.06874285861257
32.0,917.75,-41.5,-11.227413514581606
32.0,918.25,-41.5,-11.342670201719626
32.0,918.75,-41.494974874371856,-11.484875616668944
32.0,919.25,-41.5,-11.645735471350338
32.0,919.75,-42.0,-11.764938882927543
32.0,920.25,-41.50251256281407,-11.945008185465275
32.0,920.75,-41.5,-12.073184228384683
32.0,921.25,-41.5,-12.217116335276144
32.0,921.75,-41.5,-12.389323022720191
32.0,922.25,-42.0,-12.524806672609024
32.0,922.75,-41.5,-12.682521481252945
32.0,923.25,-41.5,-12.831510328832112
32.0,923.75,-41.0,-13.005474542002979
32.0,924.25,-41.0,-13.163189350646899
32.0,924.75,-41.49748743718593,-13.314829903708642
32.0,925.25,-41.00251256281407,-13.472205540721069
32.0,925.75,-41.0,-13.613270105637184
32.0,926.25,-41.0,-13.763399803249552
32.0,926.75,-40.50251256281407,-13.88130819587015
32.0,927.25,-41.0,-14.032270405668905
38.0,902.75,-41.5,-9.203483888112991
38.0,903.25,-42.0,-9.36989382403699
38.0,903.75,-42.0,-9.520393527065528
38.0,904.25,-41.5,-9.69250771315553
38.0,904.75,-41.5,-9.840139874208726
38.0,905.25,-41.5,-9.982345289158044
38.0,905.75,-42.0,-10.138025068013011
38.0,906.25,-42.0,-10.27443373144228
38.0,906.75,-41.5,-10.436187765879424
38.0,907.25,-41.5,-10.556717030197916
38.0,907.75,-41.5,-10.702406662816202
38.0,908.25,-42.0,-10.843317058808914
38.0,908.75,-42.0,-10.958542912162253
38.0,909.25,-42.0,-11.101118332527744
38.0,909.75,-42.0,-11.244433763725583
38.0,910.25,-42.0,-11.397030164112438
38.0,910.75,-42.0,-11.511639341772154
38.0,911.25,-42.5,-11.695747870103112
38.0,911.75,-42.5,-11.802864438085319
38.0,912.25,-42.5,-11.980806209480052
38.0,912.75,-42.49748743718593,-12.109167255107549
38.0,913.25,-42.5,-12.297099172738966
38.0,913.75,-42.5,-12.405387424539054
38.0,914.25,-43.0,-12.534827652630389
38.0,914.75,-42.994974874371856,-12.734877247641485
38.0,915.25,-42.5,-12.87945686401125
38.0,915.75,-42.5,-13.009729604288975
38.0,916.25,-42.5,-13.154740893644274
38.0,916.75,-43.0,-13.297809654564663
38.0,917.25,-43.0,-13.422285643322338
38.0,917.75,-42.5,-13.570010305729577
