DISTANCE,CHANNEL,RSSI,PHASE
2,902.75,-23.0,2.6518596514995894
2,903.25,-23.0,2.5204152274039817
2,903.75,-23.5,2.3859490924096245
2,904.25,-23.49497487437186,2.238594435418559
2,904.75,-23.0,2.0922264595372897
2,905.25,-23.0,1.9451493066083554
2,905.75,-23.0,1.8046397498164986
2,906.25,-23.5,1.6626810051446295
2,906.75,-23.5,1.5281223687962284
2,907.25,-23.5,1.3530173055921573
2,907.75,-23.0,1.208746027069204
2,908.25,-23.0,1.074125723151441
2,908.75,-23.5,0.9285594256718811
2,909.25,-24.0,0.7853981633974483
2,909.75,-23.5,0.6179090450096131
2,910.25,-23.497487437185928,0.47221941239132853
2,910.75,-23.5,0.3246797526921769
2,911.25,-23.5,0.165608257522287
2,911.75,-24.0,0.0018500270808671049
2,912.25,-23.5,6.126888852630998
2,912.75,-23.5,5.952616301613316
2,913.25,-23.00502512562814,5.804922472990758
2,913.75,-23.5,5.651092721216659
2,914.25,-23.5,5.500808854680889
2,914.75,-23.5,5.331993883551765
2,915.25,-23.0,5.184824229268785
2,915.75,-23.0,5.042772983242873
2,916.25,-23.5,4.902571764297828
2,916.75,-23.99497487437186,4.760736354764684
2,917.25,-24.0,4.62361851428775
2,917.75,-23.5,4.460846964956125
2,918.25,-23.5,4.31318397011825
2,918.75,-24.0,4.166353487466764
2,919.25,-24.5,4.014774601974385
2,919.75,-24.5,3.8564122838521606
2,920.25,-24.5,3.710383479602385
2,920.75,-24.5,3.552915341235913
2,921.25,-24.5,3.407164041048266
2,921.75,-25.0,3.267425328873437
2,922.25,-25.5,3.1108822040473996
2,922.75,-25.0,2.9515023710306982
2,923.25,-25.0,2.8126270048269406
2,923.75,-25.0,2.6725491210206203
2,924.25,-25.0,2.5493064836501897
2,924.75,-25.5,2.4210533562690775
2,925.25,-25.50502512562814,2.3177447606949904
2,925.75,-25.5,2.147573103039897
2,926.25,-25.517587939698494,2.1350391695670226
2,926.75,-25.502512562814072,1.8960002538266525
2,927.25,-25.517587939698494,1.7827940133699263
8,902.75,-30.5,0.521029293541539
8,903.25,-30.5,0.3864398234084571
8,903.75,-30.5,0.2423227138089096
8,904.25,-31.0,0.09814393663999992
8,904.75,-31.5,6.235084603077041
8,905.25,-31.0,6.079774829638248
8,905.75,-31.0,5.929953469872694
8,906.25,-31.0,5.799896566087737
8,906.75,-31.0,5.657382813291607
8,907.25,-31.5,5.520727479584891
8,907.75,-31.0,5.36304350472565
8,908.25,-31.0,5.246861804047198
8,908.75,-31.0,5.1185624259890625
8,909.25,-31.0,4.982061261205751
8,909.75,-31.497487437185928,4.865787059173254
8,910.25,-31.5,4.717969895411972
