DISTANCE,CHANNEL,RSSI,PHASE
0.0,902.75,-24.0,3.2343715116952785
0.0,903.25,-24.0,3.1172956312610713
0.0,903.75,-24.0,2.9619241902529163
0.0,904.25,-23.5,2.8209212929061622
0.0,904.75,-23.5,2.6932385905416503
0.0,905.25,-23.5,2.558741621762611
0.0,905.75,-24.0,2.435838156023673
0.0,906.25,-24.0,2.3220306567656657
0.0,906.75,-24.0,2.172116795646068
0.0,907.25,-23.5,2.0432315756789934
0.0,907.75,-23.5,1.9205439464328233
0.0,908.25,-23.5,1.7975788131245225
0.0,908.75,-24.0,1.6713144648553426
0.0,909.25,-24.5,1.5343507933018143
0.0,909.75,-24.0,1.4101523086062695
0.0,910.25,-23.5,1.2834562873515545
0.0,910.75,-23.5,1.1474792969078218
0.0,911.25,-23.5,1.0115948078181327
0.0,911.75,-24.0,0.8899246934664398
0.0,912.25,-24.49497487437186,0.7671445628662261
0.0,912.75,-24.0,0.6227191154198676
0.0,913.25,-23.5,0.4847687627565437
0.0,913.75,-23.5,0.3558218752201066
0.0,914.25,-24.0,0.21472647651930868
0.0,914.75,-24.0,0.0674951546669682
0.0,915.25,-24.0,-0.05463746645494183
0.0,915.75,-23.5,-0.21956738071424287
0.0,916.25,-23.5,-0.36837122558532176
0.0,916.75,-23.5,-0.498613132078364
0.0,917.25,-23.5,-0.6441485957732453
0.0,917.75,-24.0,-0.7788922348297325
0.0,918.25,-23.5,-0.9204193065160657
0.0,918.75,-23.5,-1.0493970278371831
0.0,919.25,-23.0,-1.1819823019659932
0.0,919.75,-23.0,-1.3022957297917177
0.0,920.25,-23.5,-1.441787771689098
0.0,920.75,-24.0,-1.5769322499464398
0.0,921.25,-23.5,-1.6846963274069484
0.0,921.75,-23.5,-1.8466661983368633
0.0,922.25,-23.5,-1.97148135872603
0.0,922.75,-23.5,-2.1036657936539855
0.0,923.25,-24.0,-2.240290293576021
0.0,923.75,-24.5,-2.3812315233534127
0.0,924.25,-24.0,-2.5386071603658413
0.0,924.75,-24.0,-2.6752316602878774
0.0,925.25,-24.0,-2.815463713017603
0.0,925.75,-24.0,-2.9573916239047917
0.0,926.25,-24.5,-3.0899768980336018
0.0,926.75,-24.5,-3.2208354802202677
0.0,927.25,-24.0,-3.385302887709353
1.0,902.75,-26.0,2.8028526950830255
1.0,903.25,-26.0,2.675262494072558
1.0,903.75,-26.0,2.5524206959029825
1.0,904.25,-26.5,2.43050391127384
1.0,904.75,-26.5,2.300385339919521
1.0,905.25,-26.5,2.160184120974475
1.0,905.75,-26.0,2.037465657943624
1.0,906.25,-26.0,1.9144080232812801
1.0,906.75,-26.0,1.7849677951899448
1.0,907.25,-26.5,1.6674910755548842
1.0,907.75,-27.0,1.5349983027801182
1.0,908.25,-26.5,1.3989288109823426
1.0,908.75,-26.06030150753769,1.2641851719258552
1.0,909.25,-26.0,1.1415283764643658
1.0,909.75,-26.5,1.0186249107254282
1.0,910.25,-26.5,0.8954131071396787
1.0,910.75,-27.0,0.7556435611801692
1.0,911.25,-26.5,0.6241991370845612
1.0,911.75,-26.5,0.478848676097769
1.0,912.25,-26.5,0.3401583126020984
1.0,912.75,-26.5,0.20855971958308495
1.0,913.25,-26.5,0.07356941024914854
1.0,913.75,-27.0,-0.05479163537834619
1.0,914.25,-26.5,-0.2097314034009674
1.0,914.75,-26.5,-0.35286183189071973
1.0,915.25,-26.00251256281407,-0.48871548719572555
