DISTANCE,CHANNEL,RSSI,PHASE
0,902.75,-24.0,3.2343715116952785
0,903.25,-24.0,3.117295631261072
0,903.75,-24.0,2.961924190252916
0,904.25,-23.5,2.820921292906162
0,904.75,-23.5,2.6932385905416503
0,905.25,-23.5,2.558741621762611
0,905.75,-24.0,2.4358381560236735
0,906.25,-24.0,2.3220306567656657
0,906.75,-24.0,2.172116795646068
0,907.25,-23.5,2.0432315756789934
0,907.75,-23.5,1.920543946432823
0,908.25,-23.5,1.7975788131245225
0,908.75,-24.0,1.6713144648553426
0,909.25,-24.5,1.5343507933018143
0,909.75,-24.0,1.4101523086062695
0,910.25,-23.5,1.2834562873515543
0,910.75,-23.5,1.1474792969078218
0,911.25,-23.5,1.0115948078181327
0,911.75,-24.0,0.8899246934664398
0,912.25,-24.49497487437186,0.7671445628662261
0,912.75,-24.0,0.6227191154198676
0,913.25,-23.5,0.4847687627565437
0,913.75,-23.5,0.3558218752201066
0,914.25,-24.0,0.21472647651930868
0,914.75,-24.0,0.0674951546669682
0,915.25,-24.0,6.228547840724645
0,915.75,-23.5,6.0636179264653425
0,916.25,-23.5,5.9148140815942645
0,916.75,-23.5,5.784572175101221
0,917.25,-23.5,5.639036711406341
0,917.75,-24.0,5.504293072349853
0,918.25,-23.5,5.3627660006635205
0,918.75,-23.5,5.233788279342403
0,919.25,-23.0,5.101203005213593
0,919.75,-23.0,4.9808895773878685
0,920.25,-23.5,4.841397535490489
0,920.75,-24.0,4.7062530572331465
0,921.25,-23.5,4.598488979772638
0,921.75,-23.5,4.436519108842724
0,922.25,-23.5,4.311703948453556
0,922.75,-23.5,4.179519513525601
0,923.25,-24.0,4.042895013603565
0,923.75,-24.5,3.9019537838261735
0,924.25,-24.0,3.744578146813745
0,924.75,-24.0,3.607953646891709
0,925.25,-24.0,3.467721594161983
0,925.75,-24.0,3.3257936832747945
0,926.25,-24.5,3.193208409145985
0,926.75,-24.5,3.062349826959318
0,927.25,-24.0,2.8978824194702333
1,902.75,-26.0,2.802852695083026
1,903.25,-26.0,2.675262494072558
1,903.75,-26.0,2.5524206959029825
1,904.25,-26.5,2.43050391127384
1,904.75,-26.5,2.300385339919521
1,905.25,-26.5,2.160184120974475
1,905.75,-26.0,2.0374656579436237
1,906.25,-26.0,1.91440802328128
1,906.75,-26.0,1.7849677951899448
1,907.25,-26.5,1.667491075554884
1,907.75,-27.0,1.5349983027801182
1,908.25,-26.5,1.3989288109823426
1,908.75,-26.060301507537687,1.2641851719258552
1,909.25,-26.0,1.1415283764643658
1,909.75,-26.5,1.0186249107254282
1,910.25,-26.5,0.8954131071396787
1,910.75,-27.0,0.755643561180169
1,911.25,-26.5,0.6241991370845612
1,911.75,-26.5,0.478848676097769
