DISTANCE,CHANNEL,RSSI,PHASE
2.0,902.75,-22.5,2.258019719767664
2.0,903.25,-22.0,2.110295057360426
2.0,903.75,-22.0,1.9683671464732373
2.0,904.25,-22.01005025125628,1.8336543412014308
2.0,904.75,-22.5,1.6989723697143058
2.0,905.25,-23.0,1.546221800404045
2.0,905.75,-22.5,1.3974796231023296
2.0,906.25,-22.5,1.2632293246007402
2.0,906.75,-22.5,1.1210239096514223
2.0,907.25,-22.5,0.9812235299072312
2.0,907.75,-23.0,0.8338380391314854
2.0,908.25,-23.0,0.6800699549267478
2.0,908.75,-22.5,0.5220159746513348
2.0,909.25,-22.5,0.3691420702023496
2.0,909.75,-22.99748743718593,0.2208623996708512
2.0,910.25,-23.0,0.06139006530010676
2.0,910.75,-23.0,-0.07736196576492738
2.0,911.25,-22.99497487437186,-0.25749293587201993
2.0,911.75,-22.5,-0.4190311338164001
2.0,912.25,-22.5,-0.5704866841700538
2.0,912.75,-23.0,-0.7239772643126612
2.0,913.25,-23.0,-0.8718560956433041
2.0,913.75,-22.5,-1.0386360369834735
2.0,914.25,-22.5,-1.1781280788808548
2.0,914.75,-22.5,-1.3253902345178767
2.0,915.25,-23.0,-1.4730223955710695
2.0,915.75,-23.5,-1.5984542316538617
2.0,916.25,-23.0,-1.764309159453596
2.0,916.75,-23.0,-1.907069582527174
2.0,917.25,-23.0,-2.06632608040515
2.0,917.75,-23.5,-2.2018405640786662
2.0,918.25,-24.0,-2.357150337517459
2.0,918.75,-24.0,-2.5284320114210725
2.0,919.25,-24.0,-2.674830821087023
2.0,919.75,-24.0,-2.816573729266124
2.0,920.25,-24.0,-2.9679676120504146
2.0,920.75,-24.5,-3.1134414081759316
2.0,921.25,-25.0,-3.2754729466752095
2.0,921.75,-24.5,-3.4165683453760076
2.0,922.25,-24.5,-3.5522678317576095
2.0,922.75,-24.5,-3.679919700337439
2.0,923.25,-25.0,-3.8190417368186464
2.0,923.75,-25.5,-3.947834455431677
2.0,924.25,-25.0,-4.076781342968115
2.0,924.75,-25.0,-4.203878203423685
2.0,925.25,-25.0,-4.328385025966042
2.0,925.75,-25.50251256281407,-4.45902777165994
2.0,926.25,-25.5,-4.594341835733028
2.0,926.75,-26.0,-4.719156996122194
2.0,927.25,-26.0,-4.840010015179839
8.0,902.75,-29.0,0.16397406693418776
8.0,903.25,-29.49748743718593,0.027781239997687692
8.0,903.75,-29.0,-0.105112371977933
8.0,904.25,-29.0,-0.26976478217510547
8.0,904.75,-29.0,-0.41200103090910467
8.0,905.25,-29.0,-0.5700858449691983
8.0,905.75,-29.0,-0.6985085581660577
8.0,906.25,-29.5,-0.8426565015502847
8.0,906.75,-29.0,-0.9955920735686323
8.0,907.25,-29.0,-1.1229356043016532
8.0,907.75,-29.0,-1.255120039229606
8.0,908.25,-29.0,-1.3866877984639379
8.0,908.75,-29.5,-1.5160046914165486
8.0,909.25,-29.5,-1.6399873396193279
8.0,909.75,-29.5,-1.7831486018937577
8.0,910.25,-29.5,-1.9150246989749018
8.0,910.75,-29.5,-2.0531908881309953
8.0,911.25,-30.0,-2.17520017411418
8.0,911.75,-30.5,-2.3138597038251696
8.0,912.25,-30.5,-2.4545234295404317
8.0,912.75,-30.5,-2.607736505620909
8.0,913.25,-30.5,-2.7422951419693096
8.0,913.75,-30.5,-2.8716120349219203
8.0,914.25,-31.0,-3.0198300378840566
8.0,914.75,-31.5,-3.174846890368379
8.0,915.25,-31.0,-3.3098680334869965
8.0,915.75,-31.0,-3.456683099246142
8.0,916.25,-31.0,-3.5726489634318286
8.0,916.75,-31.0,-3.707176765995548
8.0,917.25,-31.5,-3.8461137997686685
8.0,917.75,-31.99497487437186,-3.949776983866588
8.0,918.25,-31.5,-4.089484862256736
8.0,918.75,-31.5,-4.2163967200042185
8.0,919.25,-31.5,-4.322187435245136
8.0,919.75,-31.5,-4.451627663336471
8.0,920.25,-32.0,-4.562906792250628
8.0,920.75,-32.0,-4.687136110730854
8.0,921.25,-32.5,-4.8024852992229174
8.0,921.75,-32.0,-4.931709690821485
8.0,922.25,-32.0,-5.04930974559527
8.0,922.75,-32.0,-5.1599721988158045
8.0,923.25,-32.0,-5.279853953655993
8.0,923.75,-32.5,-5.412716731846932
8.0,924.25,-33.0,-5.531118465022427
8.0,924.75,-32.5,-5.67705476791816
8.0,925.25,-32.5,-5.797861536298782
8.0,925.75,-32.5,-5.927332598174798
8.0,926.25,-32.5,-6.061860400738518
8.0,926.75,-32.5,-6.190344781504739
8.0,927.25,-33.0,-6.3298059896174355
14.000000000000002,902.75,-33.5,-1.2767653560757513
14.000000000000002,903.25,-33.5,-1.3992063150444727
14.000000000000002,903.75,-34.0,-1.526704014700898
14.000000000000002,904.25,-34.0,-1.6396790017725147
14.000000000000002,904.75,-34.0,-1.7793868801626616
14.000000000000002,905.25,-34.0,-1.9065454081875952
14.000000000000002,905.75,-34.0,-2.0251013102864954
14.000000000000002,906.25,-34.0,-2.15401736403825
14.000000000000002,906.75,-34.5,-2.275209554727387
14.000000000000002,907.25,-34.5,-2.4020134942284863
14.000000000000002,907.75,-34.5,-2.56228750700094
14.000000000000002,908.25,-34.5,-2.6936394297425053
14.000000000000002,908.75,-34.494974874371856,-2.8225554834942614
14.000000000000002,909.25,-34.5,-2.959334152339702
14.000000000000002,909.75,-35.0,-3.0789075693330794
14.000000000000002,910.25,-35.0,-3.2149153935614927
14.000000000000002,910.75,-34.5,-3.365970104714292
14.000000000000002,911.25,-34.49748743718593,-3.5043829641478332
14.000000000000002,911.75,-34.005025125628144,-3.6405757910843324
14.000000000000002,912.25,-34.5,-3.758484183704929
14.000000000000002,912.75,-34.5,-3.89526285255037
14.000000000000002,913.25,-34.5,-4.016994634471426
14.000000000000002,913.75,-34.5,-4.16373261576887
14.000000000000002,914.25,-34.0,-4.288856114004847
14.000000000000002,914.75,-34.0,-4.413455437901247
14.000000000000002,915.25,-34.0,-4.53512555225294
14.000000000000002,915.75,-34.5,-4.660372385627643
14.000000000000002,916.25,-34.5,-4.78987428128834
14.000000000000002,916.75,-34.0,-4.943241526292224
14.000000000000002,917.25,-34.0,-5.0667308339401025
14.000000000000002,917.75,-34.0,-5.21168045572604
14.000000000000002,918.25,-34.0,-5.341120683817375
14.000000000000002,918.75,-34.5,-5.478392693217715
14.000000000000002,919.25,-34.5,-5.628121551629225
14.000000000000002,919.75,-34.5,-5.753368385003928
14.000000000000002,920.25,-34.0,-5.907999815179737
14.000000000000002,920.75,-34.0,-6.040924260940039
14.000000000000002,921.25,-34.5,-6.186305555711512
14.000000000000002,921.75,-34.5,-6.32188170695439
14.000000000000002,922.25,-34.0,-6.49091251457628
14.000000000000002,922.75,-34.0,-6.631792076784311
14.000000000000002,923.25,-34.0,-6.774645001211932
14.000000000000002,923.75,-34.0,-6.90912655309863
14.000000000000002,924.25,-34.0,-7.048449009180263
14.000000000000002,924.75,-34.0,-7.204128788035231
14.000000000000002,925.25,-33.5,-7.354659324848451
14.000000000000002,925.75,-33.5,-7.4755894283677975
14.000000000000002,926.25,-33.5,-7.632317555901922
14.000000000000002,926.75,-33.5,-7.772672943770373
14.000000000000002,927.25,-34.0,-7.90741658282686
20.0,902.75,-34.0,-3.048937130623033
20.0,903.25,-34.5,-3.216117911164056
20.0,903.75,-34.0,-3.3555174517073922
20.0,904.25,-33.505025125628144,-3.5095938737589414
20.0,904.75,-33.5,-3.650195931904841
20.0,905.25,-34.0,-3.7839220560668525
20.0,905.75,-34.0,-3.9319858901055826
20.0,906.25,-34.0,-4.080913070115384
20.0,906.75,-34.0,-4.215009199693569
20.0,907.25,-33.505025125628144,-4.350924522567938
20.0,907.75,-34.0,-4.485883998117194
20.0,908.25,-34.0,-4.626455222478413
20.0,908.75,-34.5,-4.774734893009911
20.0,909.25,-34.0,-4.919746182365211
20.0,909.75,-34.0,-5.055538170100856
20.0,910.25,-34.0,-5.201690309489358
20.0,910.75,-34.0,-5.340319005415666
20.0,911.25,-34.5,-5.475062644472153
20.0,911.75,-34.5,-5.634473311273536
20.0,912.25,-34.5,-5.785466354856973
20.0,912.75,-34.00251256281407,-5.939542776908522
20.0,913.25,-34.5,-6.087359940669804
20.0,913.75,-35.0,-6.2419297032762495
20.0,914.25,-35.0,-6.365696514986257
20.0,914.75,-34.5,-6.544039125581849
20.0,915.25,-34.5,-6.698793890896382
20.0,915.75,-34.5,-6.846271883026169
20.0,916.25,-34.5,-6.985424753292059
20.0,916.75,-35.0,-7.134536936009946
20.0,917.25,-34.5,-7.296660975863267
20.0,917.75,-34.5,-7.435752178559793
20.0,918.25,-34.5,-7.57268501632864
20.0,918.75,-35.0,-7.716401286727332
20.0,919.25,-35.0,-7.848061547315709
20.0,919.75,-35.0,-7.978673459224926
20.0,920.25,-35.0,-8.133489892108821
20.0,920.75,-35.0,-8.271902751542363
20.0,921.25,-35.0,-8.409174760942701
20.0,921.75,-35.5,-8.562264501884453
20.0,922.25,-36.0,-8.710667507554678
20.0,922.75,-35.5,-8.873747394733112
20.0,923.25,-35.5,-9.012776929860275
20.0,923.75,-35.5,-9.167100022189272
20.0,924.25,-36.0,-9.319264749590593
20.0,924.75,-36.5,-9.487833050442267
20.0,925.25,-36.0,-9.631456819486916
20.0,925.75,-35.99748743718593,-9.783112789440997
20.0,926.25,-35.51005025125628,-9.93264122825208
20.0,926.75,-36.0,-10.071670763379243
20.0,927.25,-36.5,-10.209281944411075
26.0,902.75,-36.5,-5.247663482448905
26.0,903.25,-36.99748743718593,-5.387618031116502
26.0,903.75,-37.0,-5.514899894280159
26.0,904.25,-37.0,-5.668883814977664
26.0,904.75,-37.0,-5.8038741243116005
26.0,905.25,-37.0,-5.934331867297413
26.0,905.75,-37.0,-6.080730676963363
26.0,906.25,-37.5,-6.234776265230231
26.0,906.75,-37.5,-6.362088962178569
26.0,907.25,-37.0,-6.523010484429324
26.0,907.75,-37.0,-6.669902634650173
26.0,908.25,-37.0,-6.806619635926252
26.0,908.75,-37.0,-6.955238478089243
26.0,909.25,-37.5,-7.089026269820616
26.0,909.75,-37.0,-7.245199389230481
26.0,910.25,-37.0,-7.381484717521024
26.0,910.75,-37.0,-7.522395113513736
26.0,911.25,-37.0,-7.649676976677392
26.0,911.75,-37.5,-7.786702315800282
26.0,912.25,-37.5,-7.912504157299246
26.0,912.75,-37.0,-8.074196524167029
26.0,913.25,-37.0,-8.223894548793862
26.0,913.75,-37.0,-8.369029173287885
26.0,914.25,-37.5,-8.498962741934118
26.0,914.75,-38.0,-8.639410631156613
26.0,915.25,-38.0,-8.80252135211973
26.0,915.75,-37.5,-8.948087649599287
26.0,916.25,-37.5,-9.093900617356297
26.0,916.75,-38.0,-9.243629475767808
26.0,917.25,-38.5,-9.394437516643158
26.0,917.75,-38.5,-9.554958199693061
26.0,918.25,-38.0,-9.707153760879063
26.0,918.75,-38.0,-9.856111774673543
26.0,919.25,-38.0,-9.990947915084076
26.0,919.75,-38.005025125628144,-10.130532458335498
26.0,920.25,-38.5,-10.252325907825917
26.0,920.75,-38.5,-10.413124094937949
26.0,921.25,-38.0,-10.545061859588454
