DISTANCE,CHANNEL,RSSI,PHASE
2,902.75,-22.5,2.258019719767664
2,903.25,-22.0,2.110295057360426
2,903.75,-22.0,1.9683671464732373
2,904.25,-22.01005025125628,1.833654341201431
2,904.75,-22.5,1.6989723697143058
2,905.25,-23.0,1.5462218004040453
2,905.75,-22.5,1.3974796231023296
2,906.25,-22.5,1.2632293246007402
2,906.75,-22.5,1.1210239096514223
2,907.25,-22.5,0.9812235299072313
2,907.75,-23.0,0.8338380391314854
2,908.25,-23.0,0.6800699549267478
2,908.75,-22.5,0.5220159746513348
2,909.25,-22.5,0.3691420702023496
2,909.75,-22.997487437185928,0.22086239967085122
2,910.25,-23.0,0.06139006530010676
2,910.75,-23.0,6.205823341414659
2,911.25,-22.99497487437186,6.025692371307566
2,911.75,-22.5,5.864154173363186
2,912.25,-22.5,5.712698623009533
2,912.75,-23.0,5.559208042866925
2,913.25,-23.0,5.411329211536282
2,913.75,-22.5,5.244549270196113
2,914.25,-22.5,5.105057228298732
2,914.75,-22.5,4.95779507266171
2,915.25,-23.0,4.810162911608516
2,915.75,-23.5,4.684731075525725
2,916.25,-23.0,4.51887614772599
2,916.75,-23.0,4.376115724652412
2,917.25,-23.0,4.216859226774436
2,917.75,-23.5,4.08134474310092
2,918.25,-24.0,3.9260349696621266
2,918.75,-24.0,3.754753295758514
2,919.25,-24.0,3.6083544860925634
2,919.75,-24.0,3.4666115779134623
2,920.25,-24.0,3.315217695129171
2,920.75,-24.5,3.1697438990036546
2,921.25,-25.0,3.0077123605043767
2,921.75,-24.5,2.866616961803579
2,922.25,-24.5,2.7309174754219767
2,922.75,-24.5,2.603265606842147
2,923.25,-25.0,2.46414357036094
2,923.75,-25.5,2.335350851747909
2,924.25,-25.0,2.2064039642114714
2,924.75,-25.0,2.0793071037559017
2,925.25,-25.0,1.9548002812135452
2,925.75,-25.502512562814072,1.8241575355196464
2,926.25,-25.5,1.6888434714465586
2,926.75,-26.0,1.5640283110573914
2,927.25,-26.0,1.4431752919997476
8,902.75,-29.0,0.16397406693418776
8,903.25,-29.497487437185928,0.02778123999768769
8,903.75,-29.0,6.178072935201654
8,904.25,-29.0,6.013420525004481
8,904.75,-29.0,5.8711842762704824
8,905.25,-29.0,5.713099462210388
8,905.75,-29.0,5.5846767490135285
8,906.25,-29.5,5.4405288056293015
8,906.75,-29.0,5.287593233610954
8,907.25,-29.0,5.160249702877934
8,907.75,-29.0,5.02806526794998
8,908.25,-29.0,4.8964975087156475
8,908.75,-29.5,4.767180615763037
8,909.25,-29.5,4.643197967560259
8,909.75,-29.5,4.500036705285828
8,910.25,-29.5,4.3681606082046835
8,910.75,-29.5,4.229994419048591
8,911.25,-30.0,4.107985133065406
8,911.75,-30.5,3.9693256033544166
8,912.25,-30.5,3.8286618776391546
8,912.75,-30.5,3.675448801558677
8,913.25,-30.5,3.5408901652102767
8,913.75,-30.5,3.411573272257666
8,914.25,-31.0,3.2633552692955297
8,914.75,-31.5,3.108338416811207
8,915.25,-31.0,2.9733172736925897
8,915.75,-31.0,2.8265022079334443
8,916.25,-31.0,2.7105363437477576
8,916.75,-31.0,2.5760085411840383
8,917.25,-31.5,2.437071507410918
8,917.75,-31.99497487437186,2.333408323312998
8,918.25,-31.5,2.1937004449228508
8,918.75,-31.5,2.0667885871753673
8,919.25,-31.5,1.96099787193445
8,919.75,-31.5,1.8315576438431151
8,920.25,-32.0,1.7202785149289586
8,920.75,-32.0,1.5960491964487324
8,921.25,-32.5,1.4807000079566686
8,921.75,-32.0,1.3514756163581012
8,922.25,-32.0,1.2338755615843158
8,922.75,-32.0,1.1232131083637815
8,923.25,-32.0,1.003331353523593
8,923.75,-32.5,0.870468575332654
8,924.25,-33.0,0.7520668421571592
8,924.75,-32.5,0.6061305392614258
8,925.25,-32.5,0.48532377088080386
8,925.75,-32.5,0.3558527090047877
8,926.25,-32.5,0.22132490644106798
8,926.75,-32.5,0.09284052567484755
8,927.25,-33.0,6.236564624741736
14,902.75,-33.5,5.006419951103835
14,903.25,-33.5,4.8839789921351136
14,903.75,-34.0,4.756481292478689
14,904.25,-34.0,4.643506305407071
14,904.75,-34.0,4.503798427016925
14,905.25,-34.0,4.376639898991991
14,905.75,-34.0,4.258083996893091
14,906.25,-34.0,4.1291679431413355
14,906.75,-34.5,4.007975752452199
14,907.25,-34.5,3.8811718129510995
14,907.75,-34.5,3.720897800178646
14,908.25,-34.5,3.5895458774370814
14,908.75,-34.494974874371856,3.4606298236853252
14,909.25,-34.5,3.3238511548398844
14,909.75,-35.0,3.204277737846507
14,910.25,-35.0,3.068269913618094
14,910.75,-34.5,2.9172152024652944
14,911.25,-34.49748743718593,2.7788023430317534
14,911.75,-34.005025125628144,2.642609516095254
14,912.25,-34.5,2.5247011234746575
14,912.75,-34.5,2.3879224546292157
14,913.25,-34.5,2.26619067270816
14,913.75,-34.5,2.119452691410717
