DISTANCE,CHANNEL,RSSI,PHASE
0,902.75,-21.0,3.3649834236044964
0,903.25,-21.0,3.2213904883445275
0,903.75,-21.5,3.0818984464471475
0,904.25,-21.0,2.9023224844643143
0,904.75,-21.0,2.760918747916705
0,905.25,-21.0,2.614427436896712
0,905.75,-21.0,2.4727461962869723
0,906.25,-21.5,2.3512610846433657
0,906.75,-21.0,2.184388641949153
0,907.25,-21.0,2.037157320096813
0,907.75,-21.0,1.89482857000877
0,908.25,-21.0,1.7517598090883806
0,908.75,-21.5,1.6024009560930428
0,909.25,-21.5,1.4602572087130872
0,909.75,-21.0,1.2983181715678531
0,910.25,-21.0,1.147016790137605
0,910.75,-21.0,1.019889095897354
0,911.25,-21.49497487437186,0.8668918563096443
0,911.75,-21.5,0.7169471614053654
0,912.25,-21.0,0.5575364946039831
0,912.75,-21.0,0.4214978365908888
0,913.25,-21.497487437185928,0.2533303749400689
0,913.75,-21.5,0.09111383373270493
0,914.25,-22.0,-0.08858546338885365
0,914.75,-21.49497487437186,-0.27013478759127896
0,915.25,-21.0,-0.4467507062447247
0,915.75,-21.0,-0.5767459424603185
0,916.25,-21.0,-0.7308531982965487
0,916.75,-21.0,-0.8897396907583532
0,917.25,-20.992462311557787,-1.0550087766491476
0,917.75,-20.5,-1.2028567741951095
0,918.25,-20.98994974874372,-1.3437363364031407
0,918.75,-21.0,-1.4910909933942058
0,919.25,-21.5,-1.6270679838379376
0,919.75,-21.0,-1.8082473026241894
0,920.25,-21.0,-1.9573903191267599
0,920.75,-21.0,-2.1049299788259104
0,921.25,-21.5,-2.247412897837358
0,921.75,-22.0,-2.405497711897453
0,922.25,-22.0,-2.5826994724598413
0,922.75,-21.5,-2.7368375620807517
0,923.25,-22.0,-2.8899273030225046
0,923.75,-22.0,-3.0430787115336195
0,924.25,-22.5,-3.196322621398778
0,924.75,-22.5,-3.3376955241617066
0,925.25,-22.49497487437186,-3.480795118866777
0,925.75,-22.00502512562814,-3.625374735236541
0,926.25,-22.5,-3.767364313693091
0,926.75,-23.0,-3.9075655326381367
0,927.25,-23.0,-4.057756897819866
1,902.75,-22.5,2.9321695880356367
1,903.25,-22.0,2.783643247226689
1,903.75,-22.0,2.6389094619335194
1,904.25,-22.5,2.495594030735681
1,904.75,-22.5,2.356225323977026
1,905.25,-22.5,2.2088706669859617
1,905.75,-22.5,2.067775268285163
1,906.25,-22.5,1.9213456248345318
1,906.75,-22.5,1.7851527978980315
1,907.25,-22.5,1.6396173342031528
1,907.75,-23.0,1.5153263481535646
1,908.25,-22.5,1.3471897202874261
1,908.75,-22.5,1.20174675794659
1,909.25,-22.5,1.0633030647283686
1,909.75,-22.5,0.9142217157951612
1,910.25,-23.0,0.7635986776278976
1,910.75,-22.5,0.6013204688511713
1,911.25,-22.5,0.4540891469988309
1,911.75,-22.5,0.2954493248144767
1,912.25,-23.0,0.14109539870079787
1,912.75,-23.0,-0.018839442440163445
1,913.25,-22.99748743718593,-0.19098446231484978
1,913.75,-22.5,-0.3507034669630418
1,914.25,-22.5,-0.5010181672834939
1,914.75,-22.5,-0.6626488665819164
1,915.25,-23.0,-0.8129944006870478
1,915.75,-22.5,-0.9816860366774485
1,916.25,-22.5,-1.1258956476310393
1,916.75,-22.5,-1.2799720696825876
1,917.25,-22.5,-1.4295467591706927
1,917.75,-23.0,-1.5769322499464398
1,918.25,-23.0,-1.7298678219647865
1,918.75,-22.99748743718593,-1.8763282992000994
1,919.25,-23.0,-2.0214012561247614
1,919.75,-23.0,-2.170575106412013
1,920.25,-23.5,-2.3255457082193134
1,920.75,-23.5,-2.4912156333109627
1,921.25,-23.5,-2.63810778353181
1,921.75,-23.5,-2.7859249472930925
1,922.25,-24.0,-2.9392613585122938
1,922.75,-24.5,-3.0919810940378736
1,923.25,-24.5,-3.23908908075149
1,923.75,-24.5,-3.387461252637031
1,924.25,-24.0,-3.522667398463735
1,924.75,-24.5,-3.662159440361114
1,925.25,-24.5,-3.7975197551112254
1,925.75,-25.0,-3.921286566821234
1,926.25,-25.0,-4.080388895775805
1,926.75,-24.5,-4.2031073588066565
1,927.25,-24.53517587939698,-4.33196174498905
2,902.75,-23.5,2.515944328625219
2,903.25,-23.5,2.3790731584257347
2,903.75,-23.5,2.2384711002798348
