DISTANCE,CHANNEL,RSSI,PHASE
2,902.75,-41.5,0.9984904493286576
2,903.25,-42.0,0.8820312445880734
2,903.75,-42.5,0.7782447253514287
2,904.25,-42.0,0.6217016005253907
2,904.75,-42.0,0.5002473226664652
2,905.25,-42.0,0.3865323247625005
2,905.75,-42.0,0.2620871697895065
2,906.25,-42.0,0.1326161079134903
2,906.75,-42.5,0.06308592345756828
2,907.25,-42.5,6.156273449432102
2,907.75,-42.0,6.03050244171782
2,908.25,-42.0,5.9000755325166905
2,908.75,-42.0,5.778436251949678
2,909.25,-42.0,5.651925233403049
2,909.75,-42.0,5.547213700625971
2,910.25,-42.0,5.4256977551976835
2,910.75,-41.99748743718593,5.295240012211872
2,911.25,-41.5,5.176437439835521
2,911.75,-41.5,5.061889929745167
2,912.25,-41.5,4.957702571307667
2,912.75,-41.5,4.840688358442823
2,913.25,-42.0,4.720282429263056
2,913.75,-42.0,4.621305980436666
2,914.25,-41.50251256281407,4.491403245575113
2,914.75,-41.5,4.3682222757740465
2,915.25,-41.5,4.258083996893091
2,915.75,-41.5,4.129507114772827
2,916.25,-42.0,4.009594526147958
2,916.75,-42.0,3.888386918566481
2,917.25,-42.0,3.75931669589132
2,917.75,-41.5,3.6205029972569243
2,918.25,-41.5,3.4974453625945805
2,918.75,-41.5,3.36288672624618
2,919.25,-42.0,3.234309844125916
2,919.75,-42.0,3.1047154471111758
2,920.25,-41.5,2.958193302306501
2,920.75,-41.5,2.8237888348815057
2,921.25,-41.0,2.704122916534085
2,921.75,-41.0,2.568361762583121
2,922.25,-41.0,2.4571751350230073
2,922.75,-41.5,2.343460137119043
2,923.25,-41.0,2.1878420258334383
2,923.75,-41.0,2.06796027099325
2,924.25,-40.50251256281407,1.9363616779742365
2,924.75,-40.5,1.824774211213269
2,925.25,-41.0,1.6944398033661814
2,925.75,-41.0,1.5681292044199802
2,926.25,-41.0,1.447461188070423
2,926.75,-40.530150753768844,1.3007848743423427
2,927.25,-40.5,1.1744280247191194
3,902.75,-40.0,0.5297552546062955
3,903.25,-40.0,0.40512509692521487
3,903.75,-40.0,0.28071077573690206
3,904.25,-40.5,0.1503455341051334
3,904.75,-40.5,0.02627038454831289
3,905.25,-40.5,6.191578132891983
3,905.75,-40.49748743718593,6.054121120783559
3,906.25,-40.0,5.916756610029175
3,906.75,-40.0,5.799588228240925
3,907.25,-40.0,5.681834004543734
3,907.75,-40.5,5.558190527972449
3,908.25,-40.5,5.433375367583282
3,908.75,-40.0,5.295363347350595
3,909.25,-40.0,5.1777632925768104
3,909.75,-40.0,5.074901786880599
3,910.25,-40.0,4.953971683361252
3,910.75,-40.0,4.849784324923753
3,911.25,-40.5,4.734558471570414
3,911.75,-40.5,4.636229532222328
3,912.25,-40.0,4.499666699869654
3,912.75,-40.0,4.392180126471275
3,913.25,-40.0,4.270263341842132
3,913.75,-40.0,4.16404095361568
3,914.25,-40.5,4.04415919877549
3,914.75,-40.5,3.91704692142758
3,915.25,-40.5,3.783336214157911
3,915.75,-40.0,3.6486234088861047
3,916.25,-40.0,3.531115855466362
3,916.75,-40.0,3.4115424384729853
3,917.25,-40.5,3.282688052290591
3,917.75,-40.5,3.1571637148537577
3,918.25,-40.5,3.044589566982994
3,918.75,-40.0,2.894614038294035
3,919.25,-40.0,2.767702180546551
3,919.75,-39.5,2.6479745946297686
3,920.25,-39.5,2.5176710205673625
3,920.75,-40.0,2.402876840199558
3,921.25,-40.0,2.277599173040174
3,921.75,-39.5,2.1444588907871043
3,922.25,-39.5,2.0240221278226564
