DISTANCE,CHANNEL,RSSI,PHASE
2.0,902.75,-41.5,0.9984904493286576
2.0,903.25,-42.0,0.8820312445880734
2.0,903.75,-42.5,0.7782447253514287
2.0,904.25,-42.0,0.6217016005253907
2.0,904.75,-42.0,0.5002473226664652
2.0,905.25,-42.0,0.3865323247625005
2.0,905.75,-42.0,0.2620871697895065
2.0,906.25,-42.0,0.1326161079134903
2.0,906.75,-42.5,0.06308592345756828
2.0,907.25,-42.5,-0.12691185774748348
2.0,907.75,-42.0,-0.2526828654617663
2.0,908.25,-42.0,-0.38310977466289575
2.0,908.75,-42.0,-0.504749055229909
2.0,909.25,-42.0,-0.6312600737765379
2.0,909.75,-42.0,-0.7359716065536146
2.0,910.25,-42.0,-0.8574875519819019
2.0,910.75,-41.99748743718593,-0.9879452949677141
2.0,911.25,-41.5,-1.1067478673440645
2.0,911.75,-41.5,-1.2212953774344193
2.0,912.25,-41.5,-1.325482735871919
2.0,912.75,-41.5,-1.4424969487367632
2.0,913.25,-42.0,-1.56290287791653
2.0,913.75,-42.0,-1.6618793267429206
2.0,914.25,-41.50251256281407,-1.791782061604473
2.0,914.75,-41.5,-1.9149630314055388
2.0,915.25,-41.5,-2.0251013102864954
2.0,915.75,-41.5,-2.15367819240676
2.0,916.25,-42.0,-2.2735907810316283
2.0,916.75,-42.0,-2.3947983886131046
2.0,917.25,-42.0,-2.523868611288266
2.0,917.75,-41.5,-2.6626823099226624
2.0,918.25,-41.5,-2.7857399445850057
2.0,918.75,-41.5,-2.920298580933406
2.0,919.25,-42.0,-3.0488754630536703
2.0,919.75,-42.0,-3.17846986006841
2.0,920.25,-41.5,-3.324992004873085
2.0,920.75,-41.5,-3.4593964722980806
2.0,921.25,-41.0,-3.5790623906455017
2.0,921.75,-41.0,-3.7148235445964652
2.0,922.25,-41.0,-3.8260101721565785
2.0,922.75,-41.5,-3.9397251700605436
2.0,923.25,-41.0,-4.095343281346148
2.0,923.75,-41.0,-4.215225036186336
2.0,924.25,-40.50251256281407,-4.34682362920535
2.0,924.75,-40.5,-4.4584110959663175
2.0,925.25,-41.0,-4.588745503813405
2.0,925.75,-41.0,-4.715056102759606
2.0,926.25,-41.0,-4.835724119109163
2.0,926.75,-40.53015075376885,-4.9824004328372435
2.0,927.25,-40.5,-5.108757282460466
3.0,902.75,-40.0,0.5297552546062955
3.0,903.25,-40.0,0.4051250969252149
3.0,903.75,-40.0,0.2807107757369021
3.0,904.25,-40.5,0.1503455341051334
3.0,904.75,-40.5,0.02627038454831289
3.0,905.25,-40.5,-0.09160717428760368
3.0,905.75,-40.49748743718593,-0.22906418639602677
3.0,906.25,-40.0,-0.36642869715041115
3.0,906.75,-40.0,-0.48359707893866144
3.0,907.25,-40.0,-0.6013513026358526
3.0,907.75,-40.5,-0.7249947792071367
3.0,908.25,-40.5,-0.8498099395963044
3.0,908.75,-40.0,-0.9878219598289908
3.0,909.25,-40.0,-1.1054220146027767
3.0,909.75,-40.0,-1.2082835202989877
3.0,910.25,-40.0,-1.329213623818334
3.0,910.75,-40.0,-1.433400982255833
3.0,911.25,-40.5,-1.5486268356091717
3.0,911.75,-40.5,-1.6469557749572576
3.0,912.25,-40.0,-1.783518607309933
3.0,912.75,-40.0,-1.8910051807083113
3.0,913.25,-40.0,-2.012921965337455
3.0,913.75,-40.0,-2.1191443535639056
3.0,914.25,-40.5,-2.2390261084040954
3.0,914.75,-40.5,-2.366138385752006
3.0,915.25,-40.5,-2.4998490930216755
3.0,915.75,-40.0,-2.6345618982934815
3.0,916.25,-40.0,-2.7520694517132247
3.0,916.75,-40.0,-2.871642868706601
3.0,917.25,-40.5,-3.0004972548889945
3.0,917.75,-40.5,-3.1260215923258285
3.0,918.25,-40.5,-3.2385957401965926
3.0,918.75,-40.0,-3.388571268885551
3.0,919.25,-40.0,-3.5154831266330353
3.0,919.75,-39.5,-3.6352107125498176
3.0,920.25,-39.5,-3.7655142866122238
3.0,920.75,-40.0,-3.8803084669800283
3.0,921.25,-40.0,-4.005586134139412
3.0,921.75,-39.5,-4.1387264163924815
3.0,922.25,-39.5,-4.25916317935693
3.0,922.75,-39.0,-4.3815424707562896
3.0,923.25,-39.005025125628144,-4.503798427016923
3.0,923.75,-39.5,-4.624759364320951
3.0,924.25,-39.5,-4.771620680757119
3.0,924.75,-39.5,-4.893814969448391
3.0,925.25,-39.0,-5.017396778450313
3.0,925.75,-39.0,-5.151801245875308
3.0,926.25,-39.0,-5.273255523734234
3.0,926.75,-39.5,-5.415060099482697
3.0,927.25,-39.5,-5.5337085029356405
4.0,902.75,-39.0,0.1595648357247878
4.0,903.25,-39.5,0.03061794818835058
4.0,903.75,-39.5,-0.08103118614197946
4.0,904.25,-39.0,-0.2364026271501345
4.0,904.75,-39.0,-0.3566543874064978
4.0,905.25,-39.0,-0.4862487844212371
4.0,905.75,-39.0,-0.6074872257873949
4.0,906.25,-39.0,-0.7340290781187049
4.0,906.75,-39.0,-0.8573950506278596
4.0,907.25,-39.0,-0.991614515344768
4.0,907.75,-38.5,-1.1013519550248683
4.0,908.25,-38.5,-1.222467061252301
4.0,908.75,-38.5,-1.343181328278881
4.0,909.25,-39.0,-1.455632141010919
4.0,909.75,-39.5,-1.5709504957183036
4.0,910.25,-39.0,-1.6871938639661188
4.0,910.75,-39.0,-1.8003538537458237
4.0,911.25,-39.0,-1.9275432155554348
4.0,911.75,-38.99748743718593,-2.040209864780243
4.0,912.25,-39.0,-2.165395030585584
4.0,912.75,-39.5,-2.281422562340633
4.0,913.25,-39.5,-2.411078626924734
4.0,913.75,-39.494974874371856,-2.5364179616534828
4.0,914.25,-39.0,-2.6646865059269342
4.0,914.75,-39.0,-2.789517083208443
4.0,915.25,-39.005025125628144,-2.926033664884094
4.0,915.75,-39.5,-3.0370969573054825
4.0,916.25,-39.5,-3.1676472016453383
4.0,916.75,-39.5,-3.3022983393477827
4.0,917.25,-39.0,-3.427576006507166
4.0,917.75,-39.0,-3.5416918436119857
4.0,918.25,-39.0,-3.674924627219098
4.0,918.75,-39.0,-3.78000616541235
4.0,919.25,-39.0,-3.9010287702857394
4.0,919.75,-39.0,-4.042802512249523
4.0,920.25,-38.5,-4.152447450575579
4.0,920.75,-38.5,-4.271743363506826
4.0,921.25,-38.49748743718593,-4.405469487668837
4.0,921.75,-38.5,-4.503120083753939
4.0,922.25,-38.505025125628144,-4.617359255997482
4.0,922.75,-39.0,-4.752041227484608
4.0,923.25,-38.5,-4.892458282922421
4.0,923.75,-38.02010050251256,-5.003829913190621
4.0,924.25,-38.03015075376885,-5.141533595576496
4.0,924.75,-38.00251256281407,-5.2643137261767095
4.0,925.25,-38.5,-5.385922172959041
4.0,925.75,-38.982412060301506,-5.49729380322724
4.0,926.25,-38.5,-5.696233381989816
4.0,926.75,-38.017587939698494,-5.837390448259976
4.0,927.25,-38.0,-5.939450275554478
5.0,902.75,-38.5,-0.11402333575077694
5.0,903.25,-38.5,-0.24657777609490328
5.0,903.75,-38.0,-0.38736483694889134
5.0,904.25,-38.0,-0.5031765322111719
5.0,904.75,-38.01005025125628,-0.6298725534658862
5.0,905.25,-38.5,-0.7704746116117862
5.0,905.75,-38.5,-0.8810445634782775
5.0,906.25,-38.0,-1.0131364970521899
5.0,906.75,-38.0,-1.1347449438345203
5.0,907.25,-38.0,-1.268286065288443
5.0,907.75,-38.0,-1.3658133262348215
5.0,908.25,-38.5,-1.5227572902617137
5.0,908.75,-38.5,-1.6018151141840997
5.0,909.25,-38.0,-1.7181509837859608
5.0,909.75,-38.0,-1.8462961929206898
5.0,910.25,-38.0,-1.9711730208792178
5.0,910.75,-38.0,-2.0916714514130295
5.0,911.25,-38.5,-2.2043689344225177
5.0,911.75,-38.5,-2.329153261027004
5.0,912.25,-38.5,-2.4443174468109827
5.0,912.75,-38.5,-2.5974071877527334
5.0,913.25,-38.5,-2.72934495240324
5.0,913.75,-38.5,-2.8439849638476384
5.0,914.25,-38.5,-2.9795611150905157
5.0,914.75,-39.0,-3.11476726091722
5.0,915.25,-39.0,-3.2375165577327527
5.0,915.75,-38.5,-3.36452091683428
5.0,916.25,-38.5,-3.509748042682347
5.0,916.75,-38.0,-3.624449721696107
5.0,917.25,-38.0,-3.742882288656283
5.0,917.75,-38.5,-3.863565721898181
5.0,918.25,-38.5,-3.956899588127926
5.0,918.75,-38.494974874371856,-4.098827499015114
5.0,919.25,-38.0,-4.228391062245174
5.0,919.75,-37.994974874371856,-4.342476065565312
5.0,920.25,-37.51005025125628,-4.4643003488404105
5.0,920.75,-38.0,-4.572434431717093
5.0,921.25,-38.49748743718593,-4.712974822293631
5.0,921.75,-38.0,-4.809299565637445
5.0,922.25,-38.0,-4.947527422362898
5.0,922.75,-37.55527638190955,-5.058282376937476
5.0,923.25,-37.505025125628144,-5.205174527158324
5.0,923.75,-38.0,-5.353423363905142
5.0,924.25,-38.0,-5.472040933573404
5.0,924.75,-38.02010050251256,-5.554891313011569
5.0,925.25,-37.51005025125628,-5.736255634505908
5.0,925.75,-37.5,-5.872972635781987
5.0,926.25,-37.98994974874372,-6.011354661430846
5.0,926.75,-38.0,-6.143323259866033
5.0,927.25,-38.005025125628144,-5.999576155682659
8.0,902.75,-37.51005025125628,-0.9308411257382847
8.0,903.25,-37.5,-1.055378782065322
8.0,903.75,-37.5,-1.167089583965013
8.0,904.25,-37.5,-1.2893763740103292
8.0,904.75,-37.5,-1.4125881775960787
8.0,905.25,-37.505025125628144,-1.5308665756328477
8.0,905.75,-37.505025125628144,-1.6373356341367504
8.0,906.25,-37.5,-1.7710000907293972
8.0,906.75,-37.5,-1.897418607921984
8.0,907.25,-37.5,-2.01443282078683
8.0,907.75,-37.5,-2.1479122746713886
8.0,908.25,-37.994974874371856,-2.2783700176572026
8.0,908.75,-38.0,-2.3998551293008075
8.0,909.25,-37.51005025125628,-2.5466856119522943
8.0,909.75,-37.5,-2.6809975780232467
8.0,910.25,-37.5,-2.810283637191176
8.0,910.75,-38.0,-2.943423919444245
8.0,911.25,-38.0,-3.0801717545050056
8.0,911.75,-38.5,-3.2080702933622844
8.0,912.25,-38.0,-3.3564732990325075
8.0,912.75,-37.5,-3.4843101703204247
8.0,913.25,-37.5,-3.600553538568241
8.0,913.75,-37.5,-3.7276812328084916
8.0,914.25,-38.0,-3.8530822351066005
8.0,914.75,-38.0,-3.9585029449313445
8.0,915.25,-38.0,-4.0934315866959174
8.0,915.75,-37.5,-4.214885864554844
8.0,916.25,-37.5,-4.325825821837508
8.0,916.75,-37.5,-4.4429017022717145
8.0,917.25,-37.5,-4.553471654138205
8.0,917.75,-38.0,-4.674031752241378
8.0,918.25,-38.0,-4.774765726794592
8.0,918.75,-38.0,-4.9113285591472655
8.0,919.25,-37.5,-5.013943394566027
8.0,919.75,-37.5,-5.150722063411469
8.0,920.25,-37.505025125628144,-5.267119600582691
8.0,920.75,-38.0,-5.396899000305519
8.0,921.25,-38.01005025125628,-5.50252012973069
8.0,921.75,-38.0,-5.6499210373987765
8.0,922.25,-37.99748743718593,-5.773934519386234
8.0,922.75,-37.5,-5.909973177399329
8.0,923.25,-37.5,-6.024705690197771
8.0,923.75,-38.0,-6.1605285117180975
8.0,924.25,-38.0,-6.29820136031929
8.0,924.75,-38.0,-6.446111025434618
8.0,925.25,-37.5,-6.555509293483225
8.0,925.75,-37.5,-6.696666359753384
8.0,926.25,-37.0,-6.825212408088967
8.0,926.75,-37.5,-6.955639317290096
8.0,927.25,-37.5,-7.072838532863029
11.0,902.75,-38.5,-1.7855228033142048
