DISTANCE,CHANNEL,RSSI,PHASE
2,902.75,-29.0,0.12937856052197286
2,903.25,-29.5,0.0
2,903.75,-29.5,6.14101072601495
2,904.25,-29.0,6.0177989224292
2,904.75,-29.0,5.8904245579115
2,905.25,-29.0,5.75010000382773
2,905.75,-29.0,5.644925964280436
2,906.25,-29.0,5.52652423110494
2,906.75,-29.0,5.399458204434052
2,907.25,-28.5,5.26456039645416
2,907.75,-28.5,5.1482553606369805
2,908.25,-28.5,5.032721169436829
2,908.75,-28.5,4.919252841810313
2,909.25,-29.0,4.805260339844218
2,909.75,-29.0,4.687906955347882
2,910.25,-28.5,4.584151269895918
2,910.75,-28.5,4.451596829551789
2,911.25,-28.5,4.338066834355913
2,911.75,-28.5,4.21892509034807
2,912.25,-28.5,4.099845013909591
2,912.75,-29.0,3.9742281751187147
2,913.25,-29.0,3.8448187808120604
2,913.75,-28.5,3.6999924941648477
2,914.25,-28.5,3.574190652665884
2,914.75,-28.5,3.4484196449516027
2,915.25,-28.5,3.32015110067815
2,915.75,-29.0,3.1846057832199532
2,916.25,-29.0,3.2663461464095986
2,916.75,-28.5,2.926218667592181
2,917.25,-28.5,2.7785248389696235
2,917.75,-28.0,2.6619731328749965
2,918.25,-28.0,2.538391323873074
2,918.75,-28.5,2.417707890631176
2,919.25,-28.5,2.294958593815644
2,919.75,-28.0,2.1599066169123446
2,920.25,-28.0,2.037033984958088
2,920.75,-28.0,1.914870530051497
2,921.25,-28.0,1.7917512278197911
2,921.75,-28.0,1.6607693104944001
2,922.25,-28.5,1.5393458664201556
2,922.75,-28.0,1.3973871217482867
2,923.25,-27.51005025125628,1.250895810728293
2,923.75,-27.5,1.1278690098506305
2,924.25,-28.0,0.9951604005830966
2,924.75,-28.0,0.8614342764210863
2,925.25,-28.00502512562814,0.7240080980973415
2,925.75,-28.0,0.5707641882321829
2,926.25,-28.0,0.43481803157313187
2,926.75,-28.0,0.2945243112740431
2,927.25,-28.0,0.1587323235383976
3,902.75,-28.0,6.037779214902565
3,903.25,-28.0,5.911484032848703
3,903.75,-28.0,5.784140502115685
3,904.25,-28.0,5.655471118641377
3,904.75,-28.002512562814072,5.522762509373845
3,905.25,-28.0,5.3982865206161685
3,905.75,-27.98994974874372,5.258424473302616
3,906.25,-27.5,5.1406394158207425
3,906.75,-27.5,5.028959447705732
3,907.25,-27.5,4.90815267932511
3,907.75,-28.0,4.797089386903723
3,908.25,-28.0,4.681709364626977
3,908.75,-28.0,4.5634309665902055
3,909.25,-27.51005025125628,4.441884187377238
3,909.75,-27.5,4.323235783924294
3,910.25,-27.5,4.2030148574526125
3,910.75,-28.0,4.086524818927348
3,911.25,-28.0,3.9581946070845335
3,911.75,-28.002512562814072,3.8281685370842564
3,912.25,-28.0,3.6872273073068644
3,912.75,-28.0,3.5694422498249923
3,913.25,-28.0,3.4360244635097934
3,913.75,-28.0,3.309636780101889
3,914.25,-28.5,3.172333936916868
3,914.75,-28.002512562814072,3.0556897294681966
3,915.25,-28.0,2.90744089272138
3,915.75,-27.5,2.7769060652738653
3,916.25,-27.5,2.6507188014663883
3,916.75,-27.5,2.528339510067029
3,917.25,-28.0,2.3992076198225054
3,917.75,-28.0,2.283133837390435
3,918.25,-27.5,2.160924131806822
3,918.75,-27.5,2.03706481874277
3,919.25,-27.5,1.9136680124489331
3,919.75,-27.5,1.7897778656001992
3,920.25,-27.5,1.6562059103615947
3,920.75,-28.0,1.5317915891732816
3,921.25,-27.5,1.4081481126019968
3,921.75,-27.5,1.2588200933913405
3,922.25,-27.0,1.1460301090278093
3,922.75,-27.502512562814072,1.016805717429242
3,923.25,-27.5,0.8791637026127294
3,923.75,-28.0,0.7481201177179762
3,924.25,-27.5,0.5947837064987742
3,924.75,-27.5,0.4554458335248001
3,925.25,-27.5,0.3289964825475335
3,925.75,-27.5,0.17869719911942178
3,926.25,-28.0,0.04250437218292173
3,926.75,-27.5,6.185950967187679
3,927.25,-27.5,6.026154878077784
4,902.75,-27.5,5.743254903628522
4,903.25,-27.5,5.613290501197607
4,903.75,-28.0,5.492699569309752
4,904.25,-27.5,5.356660911296659
4,904.75,-27.5,5.230859069797695
4,905.25,-27.0,5.117144071893731
4,905.75,-27.0,4.992668083136056
4,906.25,-27.5,4.874944693223546
4,906.75,-27.502512562814072,4.75537127623017
4,907.25,-27.5,4.650351405606279
4,907.75,-27.5,4.521404518069843
4,908.25,-27.5,4.403958632219462
4,908.75,-27.5,4.269461663440424
4,909.25,-27.5,4.134101348690314
4,909.75,-27.997487437185928,4.025288922550645
4,910.25,-28.0,3.902940464935969
4,910.75,-28.0,3.761043387833462
