DISTANCE,CHANNEL,RSSI,PHASE
2.0,902.75,-29.0,0.12937856052197286
2.0,903.25,-29.5,0.0
2.0,903.75,-29.5,-0.14217458116463622
2.0,904.25,-29.0,-0.2653863847503857
2.0,904.75,-29.0,-0.3927607492680867
2.0,905.25,-29.0,-0.5330853033518554
2.0,905.75,-29.0,-0.6382593428991505
2.0,906.25,-29.0,-0.7566610760746464
2.0,906.75,-29.0,-0.8837271027455351
2.0,907.25,-28.5,-1.0186249107254257
2.0,907.75,-28.5,-1.1349299465426057
2.0,908.25,-28.5,-1.2504641377427568
2.0,908.75,-28.5,-1.363932465369273
2.0,909.25,-29.0,-1.477924967335368
2.0,909.75,-29.0,-1.5952783518317046
2.0,910.25,-28.5,-1.6990340372836688
2.0,910.75,-28.5,-1.8315884776277969
2.0,911.25,-28.5,-1.9451184728236735
2.0,911.75,-28.5,-2.0642602168315163
2.0,912.25,-28.5,-2.1833402932699952
2.0,912.75,-29.0,-2.308957132060872
2.0,913.25,-29.0,-2.4383665263675254
2.0,913.75,-28.5,-2.583192813014738
2.0,914.25,-28.5,-2.7089946545137025
2.0,914.75,-28.5,-2.8347656622279835
2.0,915.25,-28.5,-2.9630342065014363
2.0,915.75,-29.0,-3.0985795239596334
2.0,916.25,-29.0,-3.016839160769988
2.0,916.75,-28.5,-3.356966639587405
2.0,917.25,-28.5,-3.5046604682099627
2.0,917.75,-28.0,-3.6212121743045897
2.0,918.25,-28.0,-3.744793983306512
2.0,918.75,-28.5,-3.8654774165484107
2.0,919.25,-28.5,-3.988226713363942
2.0,919.75,-28.0,-4.123278690267242
2.0,920.25,-28.0,-4.246151322221499
2.0,920.75,-28.0,-4.36831477712809
2.0,921.25,-28.0,-4.491434079359795
2.0,921.75,-28.0,-4.622415996685186
2.0,922.25,-28.5,-4.74383944075943
2.0,922.75,-28.0,-4.8857981854313
2.0,923.25,-27.51005025125628,-5.032289496451293
2.0,923.75,-27.5,-5.155316297328956
2.0,924.25,-28.0,-5.2880249065964895
2.0,924.75,-28.0,-5.4217510307585
2.0,925.25,-28.00502512562814,-5.559177209082245
2.0,925.75,-28.0,-5.712421118947403
2.0,926.25,-28.0,-5.848367275606455
2.0,926.75,-28.0,-5.988660995905543
2.0,927.25,-28.0,-6.124452983641189
3.0,902.75,-28.0,-0.2454060922770207
3.0,903.25,-28.0,-0.3717012743308832
3.0,903.75,-28.0,-0.49904480506390136
3.0,904.25,-28.0,-0.6277141885382083
3.0,904.75,-28.00251256281407,-0.7604227978057416
3.0,905.25,-28.0,-0.8848987865634177
3.0,905.75,-27.98994974874372,-1.0247608338769698
3.0,906.25,-27.5,-1.1425458913588429
3.0,906.75,-27.5,-1.2542258594738547
3.0,907.25,-27.5,-1.375032627854476
3.0,907.75,-28.0,-1.4860959202758632
3.0,908.25,-28.0,-1.601475942552609
3.0,908.75,-28.0,-1.7197543405893807
3.0,909.25,-27.51005025125628,-1.8413011198023481
3.0,909.75,-27.5,-1.9599495232552924
3.0,910.25,-27.5,-2.0801704497269737
3.0,910.75,-28.0,-2.1966604882522383
3.0,911.25,-28.0,-2.3249907000950527
3.0,911.75,-28.00251256281407,-2.4550167700953303
3.0,912.25,-28.0,-2.5959579998727222
3.0,912.75,-28.0,-2.713743057354594
3.0,913.25,-28.0,-2.847160843669793
3.0,913.75,-28.0,-2.9735485270776976
3.0,914.25,-28.5,-3.110851370262718
3.0,914.75,-28.00251256281407,-3.2274955777113896
3.0,915.25,-28.0,-3.375744414458206
3.0,915.75,-27.5,-3.506279241905721
3.0,916.25,-27.5,-3.632466505713198
3.0,916.75,-27.5,-3.754845797112557
3.0,917.25,-28.0,-3.883977687357081
3.0,917.75,-28.0,-4.000051469789151
3.0,918.25,-27.5,-4.122261175372764
3.0,918.75,-27.5,-4.246120488436816
3.0,919.25,-27.5,-4.369517294730653
3.0,919.75,-27.5,-4.493407441579387
3.0,920.25,-27.5,-4.626979396817991
3.0,920.75,-28.0,-4.751393718006304
3.0,921.25,-27.5,-4.875037194577589
3.0,921.75,-27.5,-5.024365213788245
3.0,922.25,-27.0,-5.137155198151778
3.0,922.75,-27.50251256281407,-5.266379589750344
3.0,923.25,-27.5,-5.404021604566857
3.0,923.75,-28.0,-5.53506518946161
3.0,924.25,-27.5,-5.6884016006808125
3.0,924.75,-27.5,-5.827739473654786
3.0,925.25,-27.5,-5.954188824632053
3.0,925.75,-27.5,-6.104488108060164
3.0,926.25,-28.0,-6.240680934996664
3.0,926.75,-27.5,-6.380419647171494
3.0,927.25,-27.5,-6.540215736281389
4.0,902.75,-27.5,-0.5399304035510637
4.0,903.25,-27.5,-0.66989480598198
4.0,903.75,-28.0,-0.790485737869834
4.0,904.25,-27.5,-0.926524395882927
4.0,904.75,-27.5,-1.052326237381891
4.0,905.25,-27.0,-1.1660412352858547
4.0,905.75,-27.0,-1.2905172240435299
4.0,906.25,-27.5,-1.40824061395604
4.0,906.75,-27.50251256281407,-1.5278140309494157
4.0,907.25,-27.5,-1.6328339015733082
4.0,907.75,-27.5,-1.7617807891097428
4.0,908.25,-27.5,-1.8792266749601243
4.0,908.75,-27.5,-2.013723643739163
4.0,909.25,-27.5,-2.149083958489273
4.0,909.75,-27.99748743718593,-2.2578963846289417
4.0,910.25,-28.0,-2.3802448422436178
4.0,910.75,-28.0,-2.5221419193461245
4.0,911.25,-27.50251256281407,-2.6443670418220777
4.0,911.75,-27.5,-2.7739614388368183
4.0,912.25,-28.0,-2.9084275738311756
4.0,912.75,-28.0,-3.0372202924442075
4.0,913.25,-28.46984924623116,-3.1665063516121363
4.0,913.75,-28.0,-3.2788646629901326
4.0,914.25,-27.5,-3.4312452268842195
4.0,914.75,-27.5,-3.5632138253194063
4.0,915.25,-27.5,-3.69179070743967
4.0,915.75,-27.5,-3.804889029650013
4.0,916.25,-28.0,-3.926374141293618
4.0,916.75,-27.51005025125628,-4.0510042989747
4.0,917.25,-27.5,-4.182078717654134
4.0,917.75,-27.5,-4.293419514137653
4.0,918.25,-27.5,-4.416446315015315
4.0,918.75,-27.5,-4.531363830521843
4.0,919.25,-27.51005025125628,-4.651461421854799
4.0,919.75,-28.0,-4.771898184819248
4.0,920.25,-27.5,-4.918944503963502
4.0,920.75,-27.5,-5.038918760157734
4.0,921.25,-27.01005025125628,-5.158800514997922
4.0,921.75,-27.5,-5.28968993096927
4.0,922.25,-27.5,-5.418081810381447
4.0,922.75,-28.0,-5.5455795100378715
4.0,923.25,-27.5,-5.6935200089378775
4.0,923.75,-27.5,-5.829651168305015
4.0,924.25,-27.5,-5.958043047717193
4.0,924.75,-27.5,-6.110855284596815
4.0,925.25,-28.0,-6.2545715549955085
4.0,925.75,-27.50251256281407,-6.376550007194012
4.0,926.25,-27.5,-6.517830408602896
4.0,926.75,-27.0,-6.663674210144587
4.0,927.25,-27.0,-6.802518742563664
5.0,902.75,-28.0,-0.8036825977133528
5.0,903.25,-28.0,-0.9390120786787808
5.0,903.75,-27.5,-1.0707648406211998
5.0,904.25,-27.5,-1.1795155991915038
5.0,904.75,-27.5,-1.3107441867943441
5.0,905.25,-27.5,-1.4173365804369702
5.0,905.75,-28.0,-1.5417200678406013
5.0,906.25,-28.0,-1.6338205826831018
5.0,906.75,-27.5,-1.773960134058787
5.0,907.25,-27.5,-1.9036778662122495
5.0,907.75,-27.5,-2.0238062913298878
5.0,908.25,-27.5,-2.1474497679011737
5.0,908.75,-28.0,-2.265142324029002
5.0,909.25,-28.49748743718593,-2.39550756566077
5.0,909.75,-28.0,-2.5395938414756376
5.0,910.25,-28.0,-2.663823159955864
5.0,910.75,-28.0,-2.797888455749366
5.0,911.25,-28.0,-2.932477925882448
5.0,911.75,-28.0,-3.0594822849839742
5.0,912.25,-28.5,-3.176774001910949
5.0,912.75,-28.0,-3.330572919900368
5.0,913.25,-28.0,-3.4445962556511436
5.0,913.75,-28.0,-3.5724022931543797
5.0,914.25,-28.0,-3.6968474481273734
5.0,914.75,-28.0,-3.8218476112246274
5.0,915.25,-28.49748743718593,-3.9258191331693584
