DISTANCE,CHANNEL,RSSI,PHASE
2,902.75,-21.5,2.386904939734739
2,903.25,-21.5,2.25074294658292
2,903.75,-21.5,2.1107575641306418
2,904.25,-21.0,1.9751505791030834
2,904.75,-21.49497487437186,1.841177784663624
2,905.25,-21.5,1.7116758890029267
2,905.75,-22.0,1.5751438904349342
2,906.25,-21.5,1.4575130018764675
2,906.75,-21.5,1.3005690378495751
2,907.25,-21.5,1.1662879055633042
2,907.75,-21.5,1.031050925951919
2,908.25,-21.5,0.8920830583941181
2,908.75,-22.0,0.754872716563141
2,909.25,-21.5,0.5954003821923965
2,909.75,-21.5,0.4602559039350545
2,910.25,-21.5,0.3190988376648945
2,910.75,-21.5,0.1722683550134086
2,911.25,-22.0,0.01831526810058434
2,911.75,-22.0,6.157969307589564
2,912.25,-21.5,5.988445159412775
2,912.75,-21.5,5.848490610745179
2,913.25,-21.5,5.702800978126895
2,913.75,-21.5,5.559547214498418
2,914.25,-21.5,5.418143477950809
2,914.75,-21.0,5.2651462383631
2,915.25,-21.0,5.123557499107403
2,915.75,-21.0,5.000715700937828
2,916.25,-21.5,4.8648003780634586
2,916.75,-22.0,4.724660826687775
2,917.25,-21.5,4.592969732314717
2,917.75,-21.5,4.434977419608666
2,918.25,-21.5,4.296533726390446
2,918.75,-21.5,4.157041684493066
2,919.25,-22.0,4.018967996691018
2,919.75,-22.49497487437186,3.8778109304208574
2,920.25,-22.0,3.7247211894791046
2,920.75,-22.0,3.5831632840080903
2,921.25,-22.0,3.4421295528766542
2,921.75,-22.5,3.298598285186048
2,922.25,-22.5,3.1596612514129285
2,922.75,-22.5,3.0323485544645905
2,923.25,-22.5,2.8712111957210653
2,923.75,-22.5,2.7506819314025743
2,924.25,-22.5,2.615013278805653
2,924.75,-22.5,2.4928498238990615
2,925.25,-23.0,2.369360516251183
2,925.75,-23.0,2.227340104009951
2,926.25,-22.5,2.111158403331497
2,926.75,-22.51005025125628,2.0294026232495113
2,927.25,-22.51005025125628,1.8750024464588106
3,902.75,-22.5,1.9893032862717168
3,903.25,-22.5,1.859184714917397
3,903.75,-22.5,1.7263219367264577
3,904.25,-23.0,1.5893274313882486
3,904.75,-23.0,1.4787883133064392
3,905.25,-22.5,1.330076969789405
3,905.75,-22.5,1.1955183334410044
3,906.25,-22.5,1.048287011588664
3,906.75,-23.0,0.9175825983254028
3,907.25,-23.0,0.7853981633974483
3,907.75,-23.0,0.6280841939543821
3,908.25,-22.5,0.4906271818459562
3,908.75,-22.5,0.3497167858532451
3,909.25,-23.0,0.2024237964315424
3,909.75,-23.0,0.05522330836388308
3,910.25,-23.0,6.203387472424852
3,910.75,-23.0,6.038056718964695
3,911.25,-22.5,5.884751141530175
3,911.75,-22.5,5.743193236059159
3,912.25,-23.0,5.596701925039166
3,912.75,-23.0,5.453879834396226
3,913.25,-22.5,5.307481024730276
3,913.75,-22.5,5.1665706287375635
3,914.25,-22.5,5.026431077361881
3,914.75,-22.5,4.902602598082509
3,915.25,-23.0,4.7670881144089945
3,915.75,-23.0,4.640762098570452
3,916.25,-23.0,4.485421491346977
3,916.75,-23.0,4.347995313023233
3,917.25,-23.0,4.210291630637358
3,917.75,-23.5,4.074468809117031
3,918.25,-24.0,3.944196068839305
3,918.75,-23.5,3.7678884880326704
3,919.25,-23.5,3.639558276189856
3,919.75,-23.5,3.504136293870383
3,920.25,-24.0,3.3667717831160013
3,920.75,-24.0,3.2268172344484043
3,921.25,-24.5,3.074128332707506
3,921.75,-24.002512562814072,2.9548478366685993
3,922.25,-24.0,2.800231823385131
3,922.75,-24.0,2.687565174160324
3,923.25,-24.0,2.55097150802297
3,923.75,-24.5,2.437225676334324
3,924.25,-25.0,2.3106838240030143
3,924.75,-24.5,2.1844503095185153
3,925.25,-24.5,2.0712903197388104
3,925.75,-24.502512562814072,1.9425438518028002
3,926.25,-24.502512562814072,1.838094406195512
3,926.75,-24.969849246231156,1.7111825484480288
3,927.25,-25.0,1.580354800046043
4,902.75,-24.0,1.5957100248172402
4,903.25,-24.0,1.4816558552817833
4,903.75,-24.0,1.3100350097466784
4,904.25,-24.0,1.1877173859166814
4,904.75,-24.0,1.0534979211997728
4,905.25,-24.0,0.9197717970377624
4,905.75,-24.5,0.7867240161387363
4,906.25,-24.5,0.6421443997689722
4,906.75,-24.0,0.5031456984264903
4,907.25,-24.0,0.3577335698703359
4,907.75,-24.0,0.2199682199150988
4,908.25,-24.5,0.0674643208822871
4,908.75,-24.5,6.209615896930437
4,909.25,-24.49497487437186,6.051346080162258
4,909.75,-24.0,5.902696404214585
4,910.25,-24.0,5.759535141940153
4,910.75,-24.5,5.614338849876765
4,911.25,-24.5,5.473798459300227
4,911.75,-24.0,5.3199378737414476
4,912.25,-24.0,5.1909909862050085
4,912.75,-24.0,5.055969843086393
4,913.25,-24.0,4.920979533752456
4,913.75,-24.5,4.7877467501453435
4,914.25,-25.0,4.663764101942565
4,914.75,-24.5,4.515916104396603
4,915.25,-24.5,4.369455627161291
4,915.75,-24.5,4.231104435297112
4,916.25,-25.0,4.1022808828994
4,916.75,-25.5,3.9563445800036665
4,917.25,-25.5,3.8309435777055576
4,917.75,-25.5,3.678439678672746
4,918.25,-25.5,3.545145227496271
4,918.75,-25.5,3.4115424384729853
4,919.25,-26.0,3.2708170451883603
4,919.75,-26.48994974874372,3.131263335721618
4,920.25,-26.0,2.9913704546233846
4,920.75,-26.0,2.85588680473455
4,921.25,-26.0,2.7315649849002805
4,921.75,-26.0,2.5966980107050683
4,922.25,-26.0,2.4790362883619204
4,922.75,-26.5,2.3500585670408016
4,923.25,-26.5,2.25900640087746
4,923.75,-26.00502512562814,2.145846411097755
4,924.25,-26.0,1.9875149267602121
4,924.75,-26.08542713567839,1.8775924843720249
4,925.25,-26.50502512562814,1.7558915362356504
4,925.75,-27.0,1.6382914814618648
4,926.25,-27.0,1.531606586465195
4,926.75,-27.0,1.3875511444350097
4,927.25,-26.502512562814072,1.258974262314746
5,902.75,-25.5,1.1776347383259558
5,903.25,-25.5,1.0333017922336403
5,903.75,-25.5,0.9155784023211303
5,904.25,-26.0,0.7757780225769393
5,904.75,-26.0,0.6240141343764745
5,905.25,-25.5,0.48470709518718147
5,905.75,-25.5,0.3412066612812564
5,906.25,-26.0,0.1961028705719131
5,906.75,-26.01005025125628,0.049179886566383876
5,907.25,-26.5,6.202986633223997
5,907.75,-26.0,6.0259082078003345
5,908.25,-26.0,5.889777048433197
5,908.75,-26.0,5.749144156502615
5,909.25,-26.0,5.608202926725222
5,909.75,-26.5,5.466860857746976
5,910.25,-26.0,5.319814538602723
5,910.75,-26.0,5.178780807471287
5,911.25,-26.0,5.056309014717884
5,911.75,-26.0,4.921966214862252
5,912.25,-26.5,4.794283512497741
5,912.75,-26.5,4.672644231930728
5,913.25,-26.5,4.515330262487662
5,913.75,-26.5,4.391902622409145
5,914.25,-26.5,4.2481863520104515
5,914.75,-27.0,4.12734874984515
5,915.25,-27.01005025125628,3.982275792920487
5,915.75,-27.5,3.8545005892019315
5,916.25,-27.5,3.6941957426447973
5,916.75,-27.5,3.565495525385809
5,917.25,-27.5,3.430566883621235
5,917.75,-27.99497487437186,3.295915745918791
5,918.25,-28.0,3.1660746786266016
5,918.75,-28.002512562814072,3.0504788198570885
5,919.25,-28.0,2.893519438937855
5,919.75,-28.0,2.7611962519788356
5,920.25,-28.0,2.6418078376935448
5,920.75,-28.00502512562814,2.5279386708661744
5,921.25,-28.530150753768844,2.594354643069303
5,921.75,-28.51005025125628,2.2959144411407584
5,922.25,-28.5,2.163390834581311
5,922.75,-28.50502512562814,2.046839128486684
5,923.25,-28.5,1.932199117042286
5,923.75,-28.5,1.8100973297050569
5,924.25,-29.0,1.7034124347083868
5,924.75,-29.5,1.5983925640844974
5,925.25,-29.017587939698494,1.4835367161473314
5,925.75,-29.0,1.337137906481381
5,926.25,-29.0,1.2216962166352738
5,926.75,-29.0,1.1065011970666154
5,927.25,-29.0,1.0015738277967694
8,902.75,-30.00502512562814,0.3521218210583723
8,903.25,-30.5,0.20788137632010037
8,903.75,-31.0,0.06650847355717242
8,904.25,-31.0,6.219482708028396
8,904.75,-30.5,6.063309588618531
8,905.25,-30.5,5.9340543632352825
8,905.75,-30.5,5.783338823713976
8,906.25,-31.0,5.638512537066762
8,906.75,-31.0,5.5218066620487285
8,907.25,-31.0,5.365541041284821
8,907.75,-31.0,5.238814186245425
8,908.25,-31.0,5.121830807165261
8,908.75,-31.0,4.989800541160712
8,909.25,-31.497487437185928,4.865910394311978
