DISTANCE,CHANNEL,RSSI,PHASE
2.0,902.75,-21.5,2.3869049397347393
2.0,903.25,-21.5,2.25074294658292
2.0,903.75,-21.5,2.1107575641306418
2.0,904.25,-21.0,1.9751505791030837
2.0,904.75,-21.49497487437186,1.8411777846636241
2.0,905.25,-21.5,1.7116758890029269
2.0,905.75,-22.0,1.5751438904349342
2.0,906.25,-21.5,1.4575130018764677
2.0,906.75,-21.5,1.3005690378495751
2.0,907.25,-21.5,1.1662879055633042
2.0,907.75,-21.5,1.0310509259519192
2.0,908.25,-21.5,0.8920830583941181
2.0,908.75,-22.0,0.754872716563141
2.0,909.25,-21.5,0.5954003821923965
2.0,909.75,-21.5,0.4602559039350545
2.0,910.25,-21.5,0.3190988376648945
2.0,910.75,-21.5,0.1722683550134086
2.0,911.25,-22.0,0.018315268100584342
2.0,911.75,-22.0,-0.12521599959002305
2.0,912.25,-21.5,-0.29474014776681123
2.0,912.75,-21.5,-0.4346946964344074
2.0,913.25,-21.5,-0.5803843290526922
2.0,913.75,-21.5,-0.7236380926811687
2.0,914.25,-21.5,-0.8650418292287769
2.0,914.75,-21.0,-1.0180390688164866
2.0,915.25,-21.0,-1.159627808072183
2.0,915.75,-21.0,-1.282469606241758
2.0,916.25,-21.5,-1.4183849291161277
2.0,916.75,-22.0,-1.558524480491811
2.0,917.25,-21.5,-1.6902155748648697
2.0,917.75,-21.5,-1.8482078875709202
2.0,918.25,-21.5,-1.9866515807891396
2.0,918.75,-21.5,-2.126143622686519
2.0,919.25,-22.0,-2.2642173104885677
2.0,919.75,-22.49497487437186,-2.405374376758729
2.0,920.25,-22.0,-2.558464117700481
2.0,920.75,-22.0,-2.700022023171496
2.0,921.25,-22.0,-2.841055754302932
2.0,921.75,-22.5,-2.984587021993538
2.0,922.25,-22.5,-3.1235240557666577
2.0,922.75,-22.5,-3.2508367527149957
2.0,923.25,-22.5,-3.411974111458521
2.0,923.75,-22.5,-3.532503375777012
2.0,924.25,-22.5,-3.6681720283739327
2.0,924.75,-22.5,-3.790335483280525
2.0,925.25,-23.0,-3.913824790928403
2.0,925.75,-23.0,-4.0558452031696355
2.0,926.25,-22.5,-4.1720269038480895
2.0,926.75,-22.51005025125628,-4.2537826839300745
2.0,927.25,-22.51005025125628,-4.408182860720776
3.0,902.75,-22.5,1.9893032862717168
3.0,903.25,-22.5,1.859184714917397
3.0,903.75,-22.5,1.7263219367264575
3.0,904.25,-23.0,1.5893274313882486
3.0,904.75,-23.0,1.4787883133064392
3.0,905.25,-22.5,1.330076969789405
3.0,905.75,-22.5,1.1955183334410044
3.0,906.25,-22.5,1.048287011588664
3.0,906.75,-23.0,0.9175825983254028
3.0,907.25,-23.0,0.7853981633974483
3.0,907.75,-23.0,0.6280841939543821
3.0,908.25,-22.5,0.4906271818459562
3.0,908.75,-22.5,0.3497167858532451
3.0,909.25,-23.0,0.2024237964315424
3.0,909.75,-23.0,0.05522330836388308
3.0,910.25,-23.0,-0.07979783475473301
3.0,910.75,-23.0,-0.24512858821489125
3.0,911.25,-22.5,-0.3984341656494106
3.0,911.75,-22.5,-0.5399920711204276
3.0,912.25,-23.0,-0.6864833821404197
3.0,912.75,-23.0,-0.8293054727833598
3.0,913.25,-22.5,-0.9757042824493096
3.0,913.75,-22.5,-1.116614678442022
3.0,914.25,-22.5,-1.2567542298177052
3.0,914.75,-22.5,-1.3805827090970775
3.0,915.25,-23.0,-1.5160971927705917
3.0,915.75,-23.0,-1.6424232086091335
3.0,916.25,-23.0,-1.7977638158326092
3.0,916.75,-23.0,-1.935189994156353
3.0,917.25,-23.0,-2.072893676542228
3.0,917.75,-23.5,-2.2087164980625555
3.0,918.25,-24.0,-2.338989238340281
3.0,918.75,-23.5,-2.515296819146916
3.0,919.25,-23.5,-2.64362703098973
3.0,919.75,-23.5,-2.7790490133092027
3.0,920.25,-24.0,-2.916413524063585
3.0,920.75,-24.0,-3.056368072731182
3.0,921.25,-24.5,-3.20905697447208
3.0,921.75,-24.00251256281407,-3.3283374705109865
3.0,922.25,-24.0,-3.4829534837944554
3.0,922.75,-24.0,-3.595620133019262
3.0,923.25,-24.0,-3.7322137991566158
3.0,923.75,-24.5,-3.845959630845262
3.0,924.25,-25.0,-3.972501483176572
3.0,924.75,-24.5,-4.0987349976610705
3.0,925.25,-24.5,-4.211894987440775
3.0,925.75,-24.50251256281407,-4.340641455376787
3.0,926.25,-24.50251256281407,-4.4450909009840744
3.0,926.75,-24.96984924623116,-4.572002758731557
3.0,927.25,-25.0,-4.702830507133543
4.0,902.75,-24.0,1.5957100248172402
4.0,903.25,-24.0,1.4816558552817831
4.0,903.75,-24.0,1.3100350097466784
4.0,904.25,-24.0,1.1877173859166814
4.0,904.75,-24.0,1.0534979211997728
4.0,905.25,-24.0,0.9197717970377624
4.0,905.75,-24.5,0.7867240161387363
4.0,906.25,-24.5,0.6421443997689722
4.0,906.75,-24.0,0.5031456984264903
4.0,907.25,-24.0,0.3577335698703359
4.0,907.75,-24.0,0.2199682199150988
4.0,908.25,-24.5,0.0674643208822871
4.0,908.75,-24.5,-0.07356941024914931
4.0,909.25,-24.49497487437186,-0.2318392270173284
4.0,909.75,-24.0,-0.38048890296500115
4.0,910.25,-24.0,-0.5236501652394336
4.0,910.75,-24.5,-0.6688464573028217
4.0,911.25,-24.5,-0.8093868478793604
4.0,911.75,-24.0,-0.9632474334381378
4.0,912.25,-24.0,-1.0921943209745777
4.0,912.75,-24.0,-1.2272154640931925
4.0,913.25,-24.0,-1.3622057734271298
4.0,913.75,-24.5,-1.4954385570342419
4.0,914.25,-25.0,-1.6194212052370212
4.0,914.75,-24.5,-1.7672692027829822
4.0,915.25,-24.5,-1.913729680018295
4.0,915.75,-24.5,-2.052080871882475
4.0,916.25,-25.0,-2.180904424280186
4.0,916.75,-25.5,-2.3268407271759197
4.0,917.25,-25.5,-2.4522417294740286
4.0,917.75,-25.5,-2.60474562850684
4.0,918.25,-25.5,-2.7380400796833144
4.0,918.75,-25.5,-2.871642868706601
4.0,919.25,-26.0,-3.012368261991226
4.0,919.75,-26.48994974874372,-3.1519219714579685
4.0,920.25,-26.0,-3.2918148525562017
4.0,920.75,-26.0,-3.4272985024450366
4.0,921.25,-26.0,-3.5516203222793057
4.0,921.75,-26.0,-3.686487296474518
4.0,922.25,-26.0,-3.804149018817666
4.0,922.75,-26.5,-3.9331267401387846
4.0,923.25,-26.5,-4.024178906302126
4.0,923.75,-26.00502512562814,-4.137338896081832
4.0,924.25,-26.0,-4.2956703804193745
4.0,924.75,-26.08542713567839,-4.405592822807561
4.0,925.25,-26.50502512562814,-4.527293770943936
4.0,925.75,-27.0,-4.6448938257177215
4.0,926.25,-27.0,-4.751578720714392
4.0,926.75,-27.0,-4.895634162744576
