DISTANCE,CHANNEL,RSSI,PHASE
2,902.75,-20.49497487437186,1.8156782447323392
2,903.25,-19.997487437185928,1.97064884653964
2,903.75,-19.50502512562814,1.9685058985043027
2,904.25,-19.502512562814072,1.841979463065333
2,904.75,-20.0,1.705817469913514
2,905.25,-20.5,1.5805089689694487
2,905.75,-20.452261306532662,1.4260933752864078
2,906.25,-20.00502512562814,1.2622118097062633
2,906.75,-20.0,1.1271289990182838
2,907.25,-20.0,1.007247244178095
2,907.75,-20.5,0.866830188740282
2,908.25,-20.5,0.7528685205588683
2,908.75,-20.00502512562814,0.5992546052775364
2,909.25,-20.00502512562814,0.4639867918814699
2,909.75,-20.492462311557787,0.32514225946239367
2,910.25,-20.5,0.17356337397001556
2,910.75,-21.0,0.006197590720904801
2,911.25,-20.99497487437186,6.114308668481102
2,911.75,-20.01005025125628,5.957827211224425
2,912.25,-20.0,5.815960967906599
2,912.75,-20.0,5.6801998139556344
2,913.25,-20.5,5.527202574367926
2,913.75,-20.0,5.368963591384425
2,914.25,-20.0,5.233973282050489
2,914.75,-19.5,5.093340390119908
2,915.25,-19.99497487437186,4.9707144284431
2,915.75,-20.5,4.846577611316917
2,916.25,-21.0,4.681462694349528
2,916.75,-21.0,4.5214353518545245
2,917.25,-20.00502512562814,4.385335026272066
2,917.75,-20.0,4.256696476582441
2,918.25,-20.5,4.114830233264615
2,918.75,-20.5,3.96994227904804
2,919.25,-21.0,3.8226184558416554
2,919.75,-20.5,3.6519534576316652
2,920.25,-20.5,3.516315638819425
2,920.75,-20.5,3.3702868345696486
2,921.25,-21.0,3.2336623346476125
2,921.75,-21.5,3.111159708109529
2,922.25,-21.0,2.9498065128732365
2,922.75,-21.0,2.8112394845162902
2,923.25,-21.0,2.681460084793463
2,923.75,-21.0,2.559019125824742
2,924.25,-21.5,2.42140794479291
2,924.75,-22.0,2.3079396171663946
2,925.25,-21.5,2.1598141155583015
2,925.75,-21.5,2.031422236146124
2,926.25,-21.5,1.9112783941361466
2,926.75,-21.50502512562814,1.7879586723040137
2,927.25,-22.00502512562814,1.6740895054766434
3,902.75,-21.5,1.7548431875564923
3,903.25,-21.5,1.6247554499868537
3,903.75,-22.0,1.5014819788317424
3,904.25,-21.5,1.3499647609087266
3,904.75,-21.5,1.209732708179
3,905.25,-21.5,1.0855958910528172
3,905.75,-21.5,0.9490330587001438
3,906.25,-22.0,0.8092326789559529
3,906.75,-22.0,0.6751365493777688
3,907.25,-21.5,0.5102683026878286
3,907.75,-21.5,0.38045806918032016
3,908.25,-22.0,0.23248673649563287
3,908.75,-22.0,0.08624209575308821
3,909.25,-22.497487437185928,6.222936091912681
3,909.75,-22.0,6.052332761272053
3,910.25,-21.5,5.897269658110709
3,910.75,-21.5,5.750007502473687
3,911.25,-21.50502512562814,5.6194572581338305
