DISTANCE,CHANNEL,RSSI,PHASE
2.0,902.75,-20.49497487437186,1.8156782447323392
2.0,903.25,-19.997487437185928,1.97064884653964
2.0,903.75,-19.50502512562814,1.968505898504303
2.0,904.25,-19.502512562814072,1.841979463065333
2.0,904.75,-20.0,1.7058174699135142
2.0,905.25,-20.5,1.5805089689694487
2.0,905.75,-20.452261306532666,1.4260933752864078
2.0,906.25,-20.00502512562814,1.2622118097062631
2.0,906.75,-20.0,1.1271289990182838
2.0,907.25,-20.0,1.007247244178095
2.0,907.75,-20.5,0.866830188740282
2.0,908.25,-20.5,0.7528685205588683
2.0,908.75,-20.00502512562814,0.5992546052775364
2.0,909.25,-20.00502512562814,0.4639867918814699
2.0,909.75,-20.492462311557787,0.3251422594623937
2.0,910.25,-20.5,0.17356337397001556
2.0,910.75,-21.0,0.0061975907209048005
2.0,911.25,-20.99497487437186,-0.16887663869848435
2.0,911.75,-20.01005025125628,-0.32535809595516163
2.0,912.25,-20.0,-0.46722433927298734
2.0,912.75,-20.0,-0.6029854932239527
2.0,913.25,-20.5,-0.7559827328116597
2.0,913.75,-20.0,-0.9142217157951613
2.0,914.25,-20.0,-1.0492120251290986
2.0,914.75,-19.5,-1.1898449170596779
2.0,915.25,-19.99497487437186,-1.3124708787364865
2.0,915.75,-20.5,-1.4366076958626692
2.0,916.25,-21.0,-1.6017226128300575
2.0,916.75,-21.0,-1.7617499553250617
2.0,917.25,-20.00502512562814,-1.8978502809075204
2.0,917.75,-20.0,-2.0264888305971445
2.0,918.25,-20.5,-2.168355073914971
2.0,918.75,-20.5,-2.3132430281315464
2.0,919.25,-21.0,-2.4605668513379304
2.0,919.75,-20.5,-2.6312318495479214
2.0,920.25,-20.5,-2.7668696683601617
2.0,920.75,-20.5,-2.9128984726099376
2.0,921.25,-21.0,-3.0495229725319737
2.0,921.75,-21.5,-3.172025599070057
2.0,922.25,-21.0,-3.3333787943063498
2.0,922.75,-21.0,-3.471945822663296
2.0,923.25,-21.0,-3.6017252223861234
2.0,923.75,-21.0,-3.7241661813548443
2.0,924.25,-21.5,-3.861777362386676
2.0,924.75,-22.0,-3.9752456900131916
2.0,925.25,-21.5,-4.123371191621285
2.0,925.75,-21.5,-4.251763071033462
2.0,926.25,-21.5,-4.37190691304344
2.0,926.75,-21.50502512562814,-4.495226634875573
2.0,927.25,-22.00502512562814,-4.609095801702943
3.0,902.75,-21.5,1.7548431875564925
3.0,903.25,-21.5,1.6247554499868535
3.0,903.75,-22.0,1.5014819788317424
3.0,904.25,-21.5,1.3499647609087266
3.0,904.75,-21.5,1.209732708179
3.0,905.25,-21.5,1.0855958910528172
3.0,905.75,-21.5,0.9490330587001438
3.0,906.25,-22.0,0.8092326789559529
3.0,906.75,-22.0,0.6751365493777688
3.0,907.25,-21.5,0.5102683026878286
3.0,907.75,-21.5,0.38045806918032016
3.0,908.25,-22.0,0.2324867364956329
3.0,908.75,-22.0,0.08624209575308821
3.0,909.25,-22.497487437185928,-0.06024921526690452
3.0,909.75,-22.0,-0.2308525459075339
3.0,910.25,-21.5,-0.38591564906887665
3.0,910.75,-21.5,-0.5331778047058995
3.0,911.25,-21.50502512562814,-0.6637280490457549
3.0,911.75,-22.0,-0.8159236102317564
3.0,912.25,-21.5,-0.9579440224729865
3.0,912.75,-21.5,-1.0992244238818714
3.0,913.25,-21.5,-1.2452840619163297
3.0,913.75,-21.5,-1.3757109711174609
3.0,914.25,-22.0,-1.5093445939254275
3.0,914.75,-22.0,-1.6365339557350413
3.0,915.25,-22.0,-1.7868178222708107
3.0,915.75,-22.0,-1.9358066698499758
3.0,916.25,-22.0,-2.0836238336112585
3.0,916.75,-22.5,-2.2228383714465085
3.0,917.25,-23.0,-2.362145410635801
3.0,917.75,-22.5,-2.5139092988362663
3.0,918.25,-22.5,-2.6637306586018203
3.0,918.75,-22.5,-2.804147714039633
3.0,919.25,-23.0,-2.945458949233198
3.0,919.75,-23.0,-3.088496876368908
3.0,920.25,-23.5,-3.2077619555154726
3.0,920.75,-23.0,-3.3677892980104778
3.0,921.25,-23.0,-3.506263825013381
3.0,921.75,-23.0,-3.6324356719285174
3.0,922.25,-23.49497487437186,-3.7611667229721863
3.0,922.75,-23.5,-3.879938461563855
3.0,923.25,-24.0,-4.0011152353606505
3.0,923.75,-23.5,-4.147884050442774
3.0,924.25,-23.5,-4.271450442552355
3.0,924.75,-23.5,-4.390607603452537
3.0,925.25,-24.00502512562814,-4.502195070213506
3.0,925.75,-24.00251256281407,-4.6393591613674605
3.0,926.25,-24.5,-4.767612288748573
3.0,926.75,-24.5,-4.884056076596817
3.0,927.25,-24.01005025125628,-4.991126393902
4.0,902.75,-23.0,1.316725941022481
4.0,903.25,-22.5,1.1698954583709948
4.0,903.75,-23.0,1.043168603331598
4.0,904.25,-23.0,0.9085482994138354
4.0,904.75,-23.5,0.7853364958280861
4.0,905.25,-23.0,0.6250624830556326
4.0,905.75,-23.0,0.4823637275514164
4.0,906.25,-23.0,0.343704197840427
4.0,906.75,-23.0,0.20245463021622356
4.0,907.25,-23.5,0.04991989739873071
4.0,907.75,-23.5,-0.07594361166959374
4.0,908.25,-23.0,-0.24944531807024894
4.0,908.75,-23.0,-0.41086018087590404
4.0,909.25,-23.0,-0.5522639174235122
4.0,909.75,-23.5,-0.6939759918179327
4.0,910.25,-23.5,-0.8284112930276075
4.0,910.75,-23.0,-0.993927049195853
4.0,911.25,-23.0,-1.1284856855442538
4.0,911.75,-23.0,-1.2641235043564931
4.0,912.25,-23.5,-1.3968629474087066
4.0,912.75,-23.5,-1.5361083190286378
4.0,913.25,-23.5,-1.6633593484076146
4.0,913.75,-23.5,-1.8166032582727727
4.0,914.25,-23.5,-1.9697238329992057
4.0,914.75,-23.5,-2.104004965285478
4.0,915.25,-24.0,-2.2396736178823984
4.0,915.75,-24.5,-2.3807073490138344
4.0,916.25,-24.5,-2.5395938414756376
4.0,916.75,-24.5,-2.681552586147506
4.0,917.25,-24.5,-2.8226479848483046
4.0,917.75,-24.5,-2.9572682887660675
4.0,918.25,-25.0,-3.1048079484652185
4.0,918.75,-25.00502512562814,-3.255770158263974
4.0,919.25,-25.0,-3.3870912472208583
4.0,919.75,-25.0,-3.5233149079420394
4.0,920.25,-25.0,-3.6462183736809775
4.0,920.75,-25.5,-3.7661001285211655
4.0,921.25,-25.5,-3.8955095228278185
4.0,921.75,-25.99497487437186,-4.0185054899208
4.0,922.25,-25.5,-4.15935421834415
4.0,922.75,-25.5,-4.276615101486442
4.0,923.25,-25.5,-4.3892046662495465
4.0,923.75,-26.0,-4.515931521288944
4.0,924.25,-26.0,-4.638757902566179
4.0,924.75,-26.5,-4.757837979004658
4.0,925.25,-26.5,-4.879600594710395
4.0,925.75,-26.50251256281407,-4.991835570949666
4.0,926.25,-26.5,-5.111116066988573
4.0,926.75,-26.5,-5.231074906290464
4.0,927.25,-27.0,-5.355150055847284
5.0,902.75,-24.5,0.9134508711781328
5.0,903.25,-25.0,0.7853673296127671
5.0,903.75,-24.5,0.6442102633426071
5.0,904.25,-24.5,0.4978422874613379
5.0,904.75,-24.5,0.3561302130669177
5.0,905.25,-24.5,0.21629899953804568
5.0,905.75,-25.0,0.05528497593324532
5.0,906.25,-25.0,-0.0858720903369159
5.0,906.75,-24.50251256281407,-0.251603682997926
5.0,907.25,-24.5,-0.3964299696451379
5.0,907.75,-24.5,-0.5392520602880797
5.0,908.25,-25.0,-0.6809949684671821
5.0,908.75,-25.0,-0.8263145956692917
5.0,909.25,-25.0,-0.9756426148799484
5.0,909.75,-24.5,-1.1106020904292038
5.0,910.25,-24.5,-1.252869172947885
5.0,910.75,-25.0,-1.3946737486963476
5.0,911.25,-25.49748743718593,-1.5325007662209478
5.0,911.75,-25.5,-1.6559900738688276
5.0,912.25,-25.0,-1.8059347687731044
5.0,912.75,-25.0,-1.9393833888729848
5.0,913.25,-25.5,-2.0889889121457728
5.0,913.75,-25.5,-2.225459243144403
5.0,914.25,-26.5,-2.3705938676384277
5.0,914.75,-26.0,-2.5283703438517104
5.0,915.25,-26.0,-2.669095737136334
5.0,915.75,-26.0,-2.8071385911537012
5.0,916.25,-26.5,-2.9454589492331995
5.0,916.75,-27.0,-3.091826925114469
5.0,917.25,-27.0,-3.23467984954209
5.0,917.75,-27.0,-3.3611600343040378
5.0,918.25,-27.0,-3.4977537004413928
5.0,918.75,-27.0,-3.6306164786323305
5.0,919.25,-27.0,-3.749018211807826
5.0,919.75,-27.5,-3.865785754395221
5.0,920.25,-28.0,-3.9889667241962896
5.0,920.75,-27.5,-4.13564303792437
5.0,921.25,-27.5,-4.242528352521467
5.0,921.75,-27.5,-4.368777283898306
5.0,922.25,-28.0,-4.479069731702666
5.0,922.75,-28.0,-4.59025635926278
5.0,923.25,-28.5,-4.71238898038469
5.0,923.75,-28.5,-4.830852381129547
5.0,924.25,-28.5,-4.960107606512795
5.0,924.75,-28.5,-5.045208852232682
5.0,925.25,-28.5,-5.179397483164909
5.0,925.75,-29.0,-5.301375935363414
5.0,926.25,-29.01005025125628,-5.413549244033322
5.0,926.75,-29.5,-5.5351885246003345
5.0,927.25,-29.5,-5.669007150116388
8.0,902.75,-29.5,-0.036445533493082216
8.0,903.25,-29.5,-0.1936670015821047
8.0,903.75,-29.0,-0.33100067855180537
8.0,904.25,-29.0,-0.47635113953859864
8.0,904.75,-29.5,-0.609183083944858
8.0,905.25,-30.0,-0.7406583418251449
8.0,905.75,-29.99497487437186,-0.8836346013914911
8.0,906.25,-29.5,-1.0325926151859743
8.0,906.75,-29.5,-1.1709438070501523
8.0,907.25,-29.5,-1.2949264552529298
8.0,907.75,-30.0,-1.4272650591042906
8.0,908.25,-30.5,-1.5586478156305352
8.0,908.75,-30.5,-1.6724244811038638
8.0,909.25,-30.5,-1.8188849583391749
8.0,909.75,-30.5,-1.9561261339548324
8.0,910.25,-30.5,-2.086923048572138
8.0,910.75,-31.0,-2.2190149821460476
8.0,911.25,-31.5,-2.3305099475529736
8.0,911.75,-31.5,-2.4911847995262812
8.0,912.25,-31.5,-2.620070019493355
