DISTANCE,CHANNEL,RSSI,PHASE
30.0,902.75,-41.99748743718593,3.3211686155726268
30.0,903.25,-42.0,3.164039648837647
30.0,903.75,-42.0,3.0470562697574834
30.0,904.25,-41.5,2.8829280338998906
30.0,904.75,-41.5,2.7748864523772507
30.0,905.25,-41.5,2.647203750012741
30.0,905.75,-41.5,2.5010824444089197
30.0,906.25,-41.50251256281407,2.374139752876756
30.0,906.75,-42.0,2.262367283407701
30.0,907.25,-41.5,2.109925051944252
30.0,907.75,-41.49748743718593,1.990999144429178
30.0,908.25,-41.5,1.8864417805755056
30.0,908.75,-41.5,1.737761270843153
30.0,909.25,-42.0,1.5961725315874569
30.0,909.75,-41.50251256281407,1.48239586611413
30.0,910.25,-41.5,1.3399129471026818
30.0,910.75,-41.5,1.201438420099779
30.0,911.25,-41.5,1.0756057448161347
30.0,911.75,-41.5,0.9590232049368259
30.0,912.25,-42.0,0.8203636752258365
30.0,912.75,-42.0,0.6848183577676401
30.0,913.25,-41.5,0.5544839499205524
30.0,913.75,-41.5,0.4153310796546649
30.0,914.25,-41.505025125628144,0.29372263287233397
30.0,914.75,-42.0,0.17670842000748962
30.0,915.25,-42.5,0.033978830718592486
30.0,915.75,-42.5,-0.07514193326788554
30.0,916.25,-42.0,-0.20658635736349407
30.0,916.75,-42.0,-0.3392024652769834
30.0,917.25,-42.0,-0.45535333217075635
30.0,917.75,-42.0,-0.5493347078788045
30.0,918.25,-42.0,-0.6830608320408169
30.0,918.75,-42.5,-0.7900232310996183
30.0,919.25,-42.0,-0.9328144879578746
30.0,919.75,-42.0,-1.038296865351981
30.0,920.25,-41.5,-1.1521351983946708
30.0,920.75,-42.0,-1.2651718530356497
30.0,921.25,-42.0,-1.37592680761023
30.0,921.75,-42.0,-1.5028078315730298
30.0,922.25,-42.49748743718593,-1.604960160221574
30.0,922.75,-42.0,-1.7225910487800418
30.0,923.25,-41.54522613065327,-1.8810767020409918
30.0,923.75,-41.994974874371856,-1.968552149181325
30.0,924.25,-41.5,-2.1050533139646346
30.0,924.75,-42.0,-2.2155615982617647
30.0,925.25,-42.00251256281407,-2.3693913500358623
30.0,925.75,-42.0,-2.4913081346650063
30.0,926.25,-42.0,-2.6283951413572577
30.0,926.75,-41.50251256281407,-2.7635087858299197
30.0,927.25,-41.5,-2.9040800101911377
33.0,902.75,-43.5,1.4739782428961845
33.0,903.25,-43.5,1.3458021999767755
33.0,903.75,-43.0,1.217317819210555
33.0,904.25,-43.0,1.096202712983122
33.0,904.75,-43.5,0.9849852516383276
33.0,905.25,-43.5,0.8705302429020163
33.0,905.75,-44.0,0.7560752341657047
33.0,906.25,-43.5,0.6219174370181584
33.0,906.75,-43.5,0.5014190064843476
33.0,907.25,-43.5,0.3708070945751301
33.0,907.75,-43.5,0.2392393353407978
33.0,908.25,-43.5,0.1374570121084259
33.0,908.75,-44.0,-0.006135923151542322
33.0,909.25,-43.5,-0.11701421286484504
33.0,909.75,-43.5,-0.25675292503967473
33.0,910.25,-43.5,-0.4009008684239017
33.0,910.75,-43.5,-0.5148625366053148
33.0,911.25,-43.5,-0.6429152443859989
33.0,911.75,-44.0,-0.763783680335985
33.0,912.25,-43.5,-0.8681560414815692
33.0,912.75,-43.5,-1.0267341960965606
33.0,913.25,-43.0,-1.1261423179084877
33.0,913.75,-43.5,-1.2619343056441332
33.0,914.25,-43.5,-1.3757418049021428
33.0,914.75,-43.5,-1.4964252381440382
33.0,915.25,-44.0,-1.6328955691426694
33.0,915.75,-43.5,-1.743588856147884
33.0,916.25,-43.5,-1.8572421864824857
33.0,916.75,-43.5,-1.9827665239193193
33.0,917.25,-43.5,-2.099564900291396
33.0,917.75,-43.5,-2.2152224266302696
33.0,918.25,-44.0,-2.32739573530018
33.0,918.75,-44.0,-2.4314289248142735
33.0,919.25,-44.0,-2.5726476586537963
33.0,919.75,-43.5,-2.7026428948693915
33.0,920.25,-43.5,-2.809173620942656
33.0,920.75,-43.5,-2.92040649917979
33.0,921.25,-44.0,-3.0552888902673425
33.0,921.75,-44.0,-3.1985118201111375
33.0,922.25,-43.502512562814076,-3.3241594926866953
33.0,922.75,-43.0,-3.4558197532750707
