DISTANCE,CHANNEL,RSSI,PHASE
30,902.75,-41.99748743718593,3.3211686155726268
30,903.25,-42.0,3.164039648837647
30,903.75,-42.0,3.0470562697574834
30,904.25,-41.5,2.8829280338998906
30,904.75,-41.5,2.774886452377251
30,905.25,-41.5,2.647203750012741
30,905.75,-41.5,2.50108244440892
30,906.25,-41.50251256281407,2.374139752876756
30,906.75,-42.0,2.2623672834077015
30,907.25,-41.5,2.109925051944252
30,907.75,-41.49748743718593,1.9909991444291781
30,908.25,-41.5,1.8864417805755058
30,908.75,-41.5,1.7377612708431527
30,909.25,-42.0,1.5961725315874569
30,909.75,-41.50251256281407,1.48239586611413
30,910.25,-41.5,1.3399129471026818
30,910.75,-41.5,1.201438420099779
30,911.25,-41.5,1.0756057448161347
30,911.75,-41.5,0.959023204936826
30,912.25,-42.0,0.8203636752258365
30,912.75,-42.0,0.68481835776764
30,913.25,-41.5,0.5544839499205524
30,913.75,-41.5,0.41533107965466504
30,914.25,-41.505025125628144,0.293722632872334
30,914.75,-42.0,0.17670842000748962
30,915.25,-42.5,0.03397883071859249
30,915.75,-42.5,6.2080433739117
30,916.25,-42.0,6.076598949816092
30,916.75,-42.0,5.943982841902603
30,917.25,-42.0,5.82783197500883
30,917.75,-42.0,5.733850599300781
30,918.25,-42.0,5.60012447513877
30,918.75,-42.5,5.493162076079969
30,919.25,-42.0,5.350370819221712
30,919.75,-42.0,5.244888441827605
30,920.25,-41.5,5.131050108784916
30,920.75,-42.0,5.018013454143936
30,921.25,-42.0,4.907258499569357
30,921.75,-42.0,4.780377475606556
30,922.25,-42.49748743718593,4.678225146958011
30,922.75,-42.0,4.5605942583995445
30,923.25,-41.54522613065327,4.4021086051385945
30,923.75,-41.994974874371856,4.314633157998261
30,924.25,-41.5,4.178131993214952
30,924.75,-42.0,4.0676237089178215
30,925.25,-42.00251256281407,3.9137939571437235
30,925.75,-42.0,3.7918771725145803
30,926.25,-42.0,3.654790165822328
30,926.75,-41.50251256281407,3.519676521349667
30,927.25,-41.5,3.3791052969884485
33,902.75,-43.5,1.4739782428961845
33,903.25,-43.5,1.3458021999767757
33,903.75,-43.0,1.217317819210555
33,904.25,-43.0,1.096202712983122
33,904.75,-43.5,0.9849852516383277
33,905.25,-43.5,0.8705302429020163
33,905.75,-44.0,0.7560752341657047
33,906.25,-43.5,0.6219174370181584
33,906.75,-43.5,0.5014190064843476
33,907.25,-43.5,0.37080709457513006
33,907.75,-43.5,0.2392393353407978
33,908.25,-43.5,0.1374570121084259
33,908.75,-44.0,6.277049384028044
33,909.25,-43.5,6.166171094314741
33,909.75,-43.5,6.026432382139912
33,910.25,-43.5,5.8822844387556845
33,910.75,-43.5,5.768322770574271
