DISTANCE,CHANNEL,RSSI,PHASE
30,902.75,-32.5,1.8543438107224617
30,903.25,-33.0,1.7361270802550535
30,903.75,-33.0,1.6147036361808091
30,904.25,-33.0,1.504781193792622
30,904.75,-32.994974874371856,1.3560081827062258
30,905.25,-32.5,1.2340605642924023
30,905.75,-32.5,1.1057303524495876
30,906.25,-32.5,0.9820868758783026
30,906.75,-33.0,0.8578267236133954
30,907.25,-33.0,0.7224664088632856
30,907.75,-32.5,0.5870444265438135
30,908.25,-32.5,0.45214661856392047
30,908.75,-32.5,0.32508059189303146
30,909.25,-32.5,0.19015195012845726
30,909.75,-33.0,0.048748213580848215
30,910.25,-33.0,6.215381814665806
30,910.75,-32.5,6.061027888552128
30,911.25,-32.5,5.92656175355777
30,911.75,-32.5,5.790769765822126
30,912.25,-32.5,5.661792044501007
30,912.75,-33.0,5.529977614989226
30,913.25,-33.0,5.4057482965090005
30,913.75,-32.5,5.259133650350282
30,914.25,-32.5,5.1406394158207425
30,914.75,-32.5,5.012802544532827
30,915.25,-32.99748743718593,4.880741444743596
30,915.75,-33.0,4.755402110014851
30,916.25,-33.5,4.654421465184186
30,916.75,-33.0,4.515885270611923
30,917.25,-33.0,4.395171003585343
30,917.75,-33.0,4.278002621797093
30,918.25,-33.0,4.160094229176496
30,918.75,-33.5,4.0439125284980415
30,919.25,-33.5,3.922119079007625
30,919.75,-33.5,3.7858954182864433
30,920.25,-33.0,3.6551910050231826
30,920.75,-33.0,3.53518591504427
30,921.25,-33.0,3.4108332614253194
30,921.75,-33.5,3.278001317019061
30,922.25,-33.5,3.1476977429566544
30,922.75,-33.5,3.028741001656899
30,923.25,-33.00251256281407,2.895477384265106
30,923.75,-33.0,2.755214497750698
30,924.25,-33.0,2.6453228891471925
30,924.75,-33.0,2.5174551840745942
30,925.25,-33.5,2.402815172630196
30,925.75,-33.5,2.285585123272584
30,926.25,-33.0,2.1536473586220777
30,926.75,-33.0,2.0255946508413927
30,927.25,-33.0,1.914654693558729
33,902.75,-34.5,0.44338982371448277
33,903.25,-34.5,0.33633492330163967
33,903.75,-34.5,0.207788874966057
33,904.25,-35.0,0.08436123488753998
33,904.75,-35.005025125628144,6.243964733065204
33,905.25,-35.0,6.1183478942743275
33,905.75,-34.56030150753769,6.0036153814758855
33,906.25,-34.5,5.878245212962457
33,906.75,-34.5,5.762032678499323
33,907.25,-34.5,5.633270793670972
33,907.75,-35.0,5.519802466044458
33,908.25,-34.5,5.399674040926819
33,908.75,-34.5,5.257900298963036
33,909.25,-34.0,5.1428594483177825
33,909.75,-34.0,5.024642717850376
33,910.25,-34.0,4.907751840124256
33,910.75,-34.5,4.7811174864389026
33,911.25,-34.5,4.670701703495817
33,911.75,-34.5,4.539904788878514
33,912.25,-34.0,4.406209498501185
33,912.75,-34.0,4.277694283950281
33,913.25,-34.0,4.161944256257364
33,913.75,-34.5,4.028156464525991
33,914.25,-34.505025125628144,3.907843036700267
33,914.75,-34.5,3.763818428454763
33,915.25,-34.5,3.630369808354882
33,915.75,-34.0,3.504629634425281
33,916.25,-34.5,3.3856112255561643
33,916.75,-34.5,3.257188512359306
33,917.25,-35.0,3.131232501936937
33,917.75,-34.5,3.007157352380117
33,918.25,-34.49748743718593,2.8899889705918667
33,918.75,-34.0,2.7483693975514902
33,919.25,-34.0,2.644582878314845
33,919.75,-34.0,2.5262736464933946
33,920.25,-34.0,2.4107702890779246
33,920.75,-34.0,2.2853076192104536
33,921.25,-34.0,2.157902420908072
33,921.75,-33.5,2.03102139694527
33,922.25,-33.5,1.9186322517825933
33,922.75,-33.5,1.7855844708835673
33,923.25,-33.5,1.6597209618152422
33,923.75,-34.0,1.5218014429365996
33,924.25,-33.5,1.3966162771312587
33,924.75,-33.5,1.2825312738111208
33,925.25,-33.01005025125628,1.1377974885179507
33,925.75,-33.494974874371856,0.9979971087737597
33,926.25,-33.5,0.8815995716025377
33,926.75,-33.5,0.743680052723895
33,927.25,-33.0,0.5846085575540052
36,902.75,-35.50251256281407,5.648564350872807
36,903.25,-36.0,5.526925070305795
36,903.75,-36.0,5.416262617085262
36,904.25,-35.5,5.282690661846656
36,904.75,-35.5,5.157289659548547
36,905.25,-35.5,5.049926421288893
36,905.75,-35.5,4.927300459612085
36,906.25,-35.5,4.815096317157495
36,906.75,-36.0,4.697033755613493
36,907.25,-35.5,4.5782003494524615
36,907.75,-35.5,4.453446856632658
36,908.25,-35.5,4.329433374645199
36,908.75,-35.5,4.209335783312243
36,909.25,-35.5,4.089392360902692
36,909.75,-35.5,3.965193876207147
36,910.25,-35.5,3.8317760898919486
36,910.75,-35.5,3.6883373235553845
36,911.25,-35.00251256281407,3.5671913835432707
36,911.75,-35.0,3.441944550168568
36,912.25,-35.5,3.3076942516669785
36,912.75,-35.5,3.1747698059066765
36,913.25,-35.5,3.045946253508964
36,913.75,-35.49748743718593,2.8970499072838436
36,914.25,-35.0,2.77704481730493
36,914.75,-35.0,2.6519521528536325
36,915.25,-35.0,2.5218027477146316
36,915.75,-35.5,2.40540521054341
36,916.25,-35.5,2.2960377762794826
36,916.75,-35.0,2.149608132828851
36,917.25,-35.0,2.027783849553752
36,917.75,-35.0,1.9096596204403877
36,918.25,-35.0,1.8013713686403001
36,918.75,-35.0,1.6736886662757886
36,919.25,-35.5,1.545235119294249
36,919.75,-35.0,1.4500203921989556
36,920.25,-35.0,1.3059649501687705
36,920.75,-34.5,1.1894440778588242
36,921.25,-34.5,1.069192317602462
36,921.75,-34.50251256281407,0.9451480018303228
36,922.25,-35.0,0.8249887429280043
36,922.75,-35.0,0.7011910974333139
36,923.25,-34.5,0.5584615081444166
36,923.75,-34.005025125628144,0.41853779326150137
36,924.25,-34.0,0.28400999069778177
36,924.75,-34.5,0.14362376904464957
36,925.25,-34.5,0.0
36,925.75,-34.0,6.139160698934082
36,926.25,-33.5,5.986749301255314
36,926.75,-33.5,5.854133193341823
36,927.25,-33.5,5.707210209336293
39,902.75,-36.5,4.700209635435647
39,903.25,-36.0,4.591458876865343
39,903.75,-36.0,4.449407630839431
39,904.25,-36.0,4.322403271737904
39,904.75,-36.0,4.19573808426787
39,905.25,-36.0,4.075023817241291
39,905.75,-36.5,3.9386768213813848
39,906.25,-36.0,3.792802186055014
39,906.75,-36.0,3.6712245730573647
39,907.25,-36.0,3.5354325853217183
39,907.75,-36.0,3.39954809623203
39,908.25,-36.0,3.270477873556868
39,908.75,-36.005025125628144,3.128056622114782
39,909.25,-36.0,2.987855403169737
39,909.75,-35.5,2.8437691273548706
39,910.25,-35.5,2.718183122348675
39,910.75,-35.5,2.5855670144351848
39,911.25,-35.5,2.4551401052340536
39,911.75,-36.0,2.350736910303787
39,912.25,-35.5,2.1957354747118045
39,912.75,-35.5,2.056305100383787
39,913.25,-35.5,1.9374100266533945
39,913.75,-35.5,1.809110648595261
39,914.25,-35.5,1.6739353365532375
39,914.75,-36.0,1.5407642205154872
39,915.25,-35.5,1.3961229365763608
39,915.75,-35.5,1.275593672257869
39,916.25,-35.5,1.1367799736234738
39,916.75,-35.5,1.0106389604930184
39,917.25,-36.0,0.8859471352425754
39,917.75,-36.0,0.7770422077488652
39,918.25,-36.0,0.6142089908478788
39,918.75,-35.5,0.48859215205700235
39,919.25,-35.5,0.3682170566619162
39,919.75,-35.5,0.25058616810344936
39,920.25,-36.0,0.11692171151080102
39,920.75,-36.0,6.245506422299259
39,921.25,-36.0,6.159171825192129
39,921.75,-35.5,6.017829756213881
39,922.25,-35.5,5.893816274226423
39,922.75,-35.0,5.763851871795509
39,923.25,-35.5,5.6357683302301425
39,923.75,-35.5,5.516441583514215
39,924.25,-35.0,5.374976179397243
39,924.75,-35.0,5.262556200449885
39,925.25,-34.5,5.105858906700441
39,925.75,-34.5,4.982893773392141
39,926.25,-34.5,4.847995965412249
39,926.75,-35.0,4.710168947887649
39,927.25,-34.5,4.586525471316364
42,902.75,-36.5,3.7582991809968425
42,903.25,-36.0,3.6246038906195133
42,903.75,-36.0,3.4894285785774897
42,904.25,-36.0,3.3512932232060795
42,904.75,-36.5,3.2229013437939025
42,905.25,-36.5,3.06928742851257
42,905.75,-36.0,2.9108017752516218
42,906.25,-36.0,2.78669579191012
42,906.75,-35.5,2.647327085151465
42,907.25,-36.0,2.5190277070933313
42,907.75,-36.0,2.3750339326325083
42,908.25,-36.0,2.2316876676499886
42,908.75,-35.5,2.080139615942292
42,909.25,-35.5,1.952395246008418
42,909.75,-35.5,1.8209816556974916
42,910.25,-36.0,1.6783445677626376
42,910.75,-36.005025125628144,1.5300340634464578
42,911.25,-36.0,1.3879211498511834
42,911.75,-35.5,1.2573092379419655
42,912.25,-35.5,1.122010590761218
42,912.75,-35.5,1.0002171412708
42,913.25,-36.0,0.8576417209053088
42,913.75,-36.0,0.7293731766318561
42,914.25,-36.0,0.5751117518722207
42,914.75,-35.99748743718593,0.4351263694199431
42,915.25,-36.0,0.30044439793281785
42,915.75,-36.0,0.14624464074254462
42,916.25,-36.5,0.014337709876720062
42,916.75,-36.5,6.180015463636564
42,917.25,-36.0,6.029777847777814
42,917.75,-36.0,5.890917898466397
42,918.25,-36.0,5.77294783827644
42,918.75,-36.005025125628144,5.639406716822514
42,919.25,-36.5,5.510305660362672
42,919.75,-36.5,5.396128155688491
42,920.25,-36.00251256281407,5.26431372617671
42,920.75,-36.0,5.141872767207987
42,921.25,-36.0,5.027849431457213
42,921.75,-36.5,4.908399349602559
42,922.25,-36.5,4.791200134029628
42,922.75,-36.5,4.680506847024413
42,923.25,-36.5,4.565095990962987
42,923.75,-36.0,4.422983077367713
42,924.25,-36.0,4.305537191517333
42,924.75,-36.0,4.1823562217162635
42,925.25,-36.005025125628144,4.046934239396793
42,925.75,-36.5,3.924123275011897
42,926.25,-36.0,3.760025872938985
42,926.75,-36.0,3.615785428200713
42,927.25,-36.0,3.4744125254377853
45,902.75,-36.5,2.6556830408000476
45,903.25,-36.5,2.520476894973344
45,903.75,-37.0,2.4004101374250686
45,904.25,-37.0,2.2754408081124957
45,904.75,-36.5,2.1344070769810597
45,905.25,-36.5,2.0060768651382452
45,905.75,-36.5,1.8626380988016824
45,906.25,-36.5,1.7236702312438816
45,906.75,-36.5,1.590499115206131
45,907.25,-36.5,1.4662081291565427
45,907.75,-36.0,1.283949627906452
45,908.25,-36.0,1.1777580734646802
45,908.75,-36.0,1.0356759936540867
45,909.25,-36.5,0.8902946988826131
45,909.75,-37.0,0.7590044437104108
45,910.25,-36.5,0.5932420172647184
45,910.75,-36.5,0.46475763649849783
45,911.25,-36.5,0.3199621836359658
45,911.75,-36.5,0.17821927545686445
45,912.25,-37.0,0.03678470512457427
45,912.75,-37.0,6.192688149140503
45,913.25,-36.5,6.046967682737538
45,913.75,-36.5,5.904978104280988
45,914.25,-36.5,5.768723609775125
45,914.75,-36.5,5.632623284192668
45,915.25,-37.0,5.498588822183847
45,915.75,-36.5,5.3516658381783175
45,916.25,-36.5,5.223212291196779
45,916.75,-36.5,5.091274526546273
45,917.25,-36.5,4.9645785052915565
45,917.75,-37.0,4.843062559863269
45,918.25,-37.0,4.712388980384691
45,918.75,-37.0,4.601788194733517
45,919.25,-37.0,4.466335378629364
45,919.75,-37.0,4.331252567941386
45,920.25,-37.0,4.211648317163326
45,920.75,-37.00251256281407,4.09044070958185
45,921.25,-37.5,3.974444011611482
45,921.75,-37.5,3.8404712171720226
45,922.25,-37.5,3.711215991788775
45,922.75,-37.0,3.57958656498508
45,923.25,-37.0,3.464144875138973
45,923.75,-37.00251256281407,3.3280445495565165
45,924.25,-37.5,3.2133428705427556
45,924.75,-37.5,3.0749300111092155
45,925.25,-37.005025125628144,2.9324162583130855
45,925.75,-37.0,2.807971103340092
45,926.25,-36.994974874371856,2.6731657967142426
45,926.75,-36.5,2.541258865848418
45,927.25,-37.0,2.4243988219069785
48,902.75,-37.5,1.239764814458409
48,903.25,-37.5,1.130582382902569
48,903.75,-37.5,1.0046263724802003
48,904.25,-38.0,0.8791020350433673
48,904.75,-38.00251256281407,0.7542560408695187
48,905.25,-38.0,0.6037255040562985
48,905.75,-37.5,0.4881296452867856
48,906.25,-37.5,0.3484834344660004
48,906.75,-37.5,0.21235227509886254
48,907.25,-38.0,0.07289106698616393
48,907.75,-38.0,6.233974586828523
48,908.25,-38.0,6.0672871468423955
48,908.75,-37.5,5.937538580904248
48,909.25,-37.5,5.796905688973668
48,909.75,-37.5,5.660527859329081
48,910.25,-38.0,5.537994399006316
48,910.75,-38.0,5.401431566653643
48,911.25,-37.5,5.276863076541925
48,911.75,-37.5,5.1489337038999645
48,912.25,-37.5,5.031302815341498
48,912.75,-37.5,4.8994883858297165
48,913.25,-38.0,4.765207253543446
48,913.75,-38.0,4.661420734306801
48,914.25,-38.0,4.497076661956441
48,914.75,-37.5,4.36501556216721
48,915.25,-37.5,4.224783509437484
48,915.75,-38.0,4.109650157438186
48,916.25,-38.0,3.9729023223774265
48,916.75,-38.5,3.8529280661831953
48,917.25,-38.0,3.7058200794695795
48,917.75,-38.0,3.572309791800336
48,918.25,-38.0,3.446477116516692
48,918.75,-38.0,3.3192877547070783
48,919.25,-38.5,3.1907417063714956
48,919.75,-38.5,3.051989675306463
48,920.25,-38.0,2.9221486080142736
48,920.75,-38.0,2.7899025055169564
48,921.25,-38.0,2.6787467117415247
48,921.75,-38.0,2.551033175592332
48,922.25,-38.0,2.4382123574441192
48,922.75,-38.49748743718593,2.330818285399784
48,923.25,-38.0,2.1948721287407333
48,923.75,-37.5,2.0693786250885813
48,924.25,-37.5,1.957852825896976
48,924.75,-37.5,1.8415169562951161
48,925.25,-37.5,1.7136800850071991
48,925.75,-37.994974874371856,1.6022159533849563
48,926.25,-37.5,1.4608122168373472
