DISTANCE,CHANNEL,RSSI,PHASE
30.0,902.75,-32.0,1.8346410223112268
30.0,903.25,-32.0,1.7053241293586159
30.0,903.75,-32.5,1.5647220712127163
30.0,904.25,-32.005025125628144,1.4499587246295933
30.0,904.75,-32.0,1.2909488970290657
30.0,905.25,-32.0,1.1614161675836876
30.0,905.75,-32.0,1.037032680180056
30.0,906.25,-32.5,0.9081474602129808
30.0,906.75,-33.0,0.7769188726101407
30.0,907.25,-32.5,0.6358234739093428
30.0,907.75,-32.5,0.4993839766953938
30.0,908.25,-32.5,0.36985124725001545
30.0,908.75,-32.5,0.2345834338539489
30.0,909.25,-33.0,0.1049890368392082
30.0,909.75,-33.00251256281407,-0.021521981707421034
30.0,910.25,-33.0,-0.15472393152985298
30.0,910.75,-32.99748743718593,-0.30032106279409376
30.0,911.25,-32.5,-0.42085032711258474
30.0,911.75,-33.0,-0.5461588280566518
30.0,912.25,-33.0,-0.6697098032738928
30.0,912.75,-33.5,-0.7905782392238763
30.0,913.25,-33.0,-0.925106041787596
30.0,913.75,-33.0,-1.036755176117926
30.0,914.25,-33.0,-1.1474176293384595
30.0,914.75,-33.0,-1.2585425893292106
30.0,915.25,-33.0,-1.3817852266996429
30.0,915.75,-33.5,-1.4909984920401618
30.0,916.25,-34.0,-1.5922566409329546
30.0,916.75,-33.5,-1.6995273778385647
30.0,917.25,-33.5,-1.8282892626669165
30.0,917.75,-33.5,-1.9338333076303842
30.0,918.25,-33.5,-2.0497991718160717
30.0,918.75,-33.5,-2.1558982249037992
30.0,919.25,-33.50251256281407,-2.2747007972801496
30.0,919.75,-34.0,-2.373893082599307
30.0,920.25,-33.5,-2.5212785733750533
30.0,920.75,-33.5,-2.6320643617343116
30.0,921.25,-33.5,-2.7492944110919235
30.0,921.75,-33.5,-2.8711186943670226
30.0,922.25,-33.5,-2.998523892669403
30.0,922.75,-33.5,-3.116987293414261
30.0,923.25,-33.5,-3.2287905966679964
30.0,923.75,-33.0,-3.373000207621587
30.0,924.25,-33.0,-3.4995112261682157
30.0,924.75,-32.5,-3.626854756901235
30.0,925.25,-32.5,-3.7565108214853375
30.0,925.75,-33.0,-3.874172543828485
30.0,926.25,-33.0,-3.999296042064464
30.0,926.75,-32.5,-4.135581370355007
30.0,927.25,-32.00251256281407,-4.266162448479545
33.0,902.75,-34.0,0.6025229864537349
33.0,903.25,-34.0,0.4857862776510206
33.0,903.75,-33.994974874371856,0.3693579066951175
33.0,904.25,-34.0,0.22471662275599105
33.0,904.75,-34.0,0.09592390414295937
33.0,905.25,-34.5,-0.030617948188350397
33.0,905.75,-34.0,-0.17800343896409476
33.0,906.25,-34.0,-0.28067994195222035
33.0,906.75,-34.0,-0.42578373266156344
33.0,907.25,-34.0,-0.5334861425527118
33.0,907.75,-34.0,-0.6686614545947345
33.0,908.25,-34.5,-0.7944016285243336
33.0,908.75,-34.0,-0.932506150111065
33.0,909.25,-34.0,-1.052202902243165
33.0,909.75,-33.5,-1.165486227161595
33.0,910.25,-33.994974874371856,-1.2915347389380072
33.0,910.75,-34.0,-1.409073126142431
33.0,911.25,-34.5,-1.5349058014260741
33.0,911.75,-34.01005025125628,-1.6665352282297698
33.0,912.25,-34.0,-1.7987196631577227
33.0,912.75,-34.0,-1.9149630314055388
33.0,913.25,-34.0,-2.0272288414294923
33.0,913.75,-34.0,-2.1472955989777667
33.0,914.25,-34.5,-2.2693357187456344
33.0,914.75,-35.0,-2.3853632505006823
33.0,915.25,-34.5,-2.5355237818977296
33.0,915.75,-34.5,-2.643442028281643
33.0,916.25,-34.07537688442211,-2.7648654723558876
33.0,916.75,-34.5,-2.8822805244215868
33.0,917.25,-34.5,-3.0163458202150895
33.0,917.75,-34.50251256281407,-3.128179957253506
33.0,918.25,-34.50251256281407,-3.2710637154658095
33.0,918.75,-34.5,-3.386906244512771
33.0,919.25,-34.0,-3.5233457417267204
33.0,919.75,-34.0,-3.6229388662467334
33.0,920.25,-34.0,-3.748370702329522
33.0,920.75,-34.0,-3.870965830221649
33.0,921.25,-34.5,-3.9890283917656517
33.0,921.75,-34.0,-4.123371191621285
33.0,922.25,-33.5,-4.239398723376333
33.0,922.75,-33.5,-4.357800456551828
33.0,923.25,-33.5,-4.479254734410754
33.0,923.75,-33.5,-4.598920652758173
33.0,924.25,-34.0,-4.72589417807502
33.0,924.75,-33.5,-4.842230047676879
33.0,925.25,-33.5,-4.981136247665318
33.0,925.75,-33.0,-5.117329074601818
33.0,926.25,-33.0,-5.244425935057388
33.0,926.75,-33.5,-5.375870359152996
33.0,927.25,-33.5,-5.5240575283304505
36.0,902.75,-35.0,-0.36712245730573745
36.0,903.25,-35.0,-0.48553960737357293
36.0,903.75,-35.0,-0.6023071499609669
36.0,904.25,-35.5,-0.7299281847561154
36.0,904.75,-35.5,-0.8467265611281922
36.0,905.25,-35.0,-0.9817168704621286
36.0,905.75,-35.0,-1.0928726642375626
36.0,906.25,-34.99748743718593,-1.220987039587608
36.0,906.75,-35.0,-1.3400054484567248
36.0,907.25,-35.0,-1.4544296234083554
36.0,907.75,-35.5,-1.5777339283481497
36.0,908.25,-35.0,-1.6958889912461945
36.0,908.75,-35.0,-1.8444153320551404
36.0,909.25,-34.5,-1.9656229396366172
36.0,909.75,-34.5,-2.0864297080172403
36.0,910.25,-35.0,-2.2235783822788537
36.0,910.75,-35.00251256281407,-2.343460137119043
36.0,911.25,-35.0,-2.489057268383284
36.0,911.75,-35.0,-2.61464327338948
36.0,912.25,-35.0,-2.748893571891069
36.0,912.75,-35.0,-2.8759287647772767
36.0,913.25,-35.0,-3.0064790091171325
36.0,913.75,-35.5,-3.129844981626286
36.0,914.25,-35.0,-3.248123379663057
36.0,914.75,-35.0,-3.393443006865168
36.0,915.25,-34.5,-3.5271382972424976
36.0,915.75,-34.5,-3.6381707558792056
36.0,916.25,-34.5,-3.759285862106638
36.0,916.75,-35.0,-3.8658782557492652
36.0,917.25,-35.0,-3.9771265508787406
36.0,917.75,-34.5,-4.11113017910288
36.0,918.25,-34.5,-4.233571138071602
36.0,918.75,-34.0,-4.350030342812186
36.0,919.25,-34.0,-4.466736217830219
36.0,919.75,-34.5,-4.590410528186185
36.0,920.25,-34.5,-4.706931400496131
36.0,920.75,-34.5,-4.832764075779776
36.0,921.25,-34.0,-4.9750311582984565
36.0,921.75,-34.0,-5.1082022743362065
36.0,922.25,-33.99748743718593,-5.246892637831877
36.0,922.75,-34.0,-5.3797862498074975
36.0,923.25,-34.5,-5.503460560163464
36.0,923.75,-34.0,-5.671782190737689
36.0,924.25,-33.5,-5.804336631081817
36.0,924.75,-33.5,-5.939604444477884
36.0,925.25,-33.5,-6.09004247993706
36.0,925.75,-33.99748743718593,-6.236687959880459
36.0,926.25,-33.5,-6.37503915174464
36.0,926.75,-33.0,-6.536299845626887
36.0,927.25,-33.0,-6.6899445946929
39.0,902.75,-36.0,-1.3863486268324463
39.0,903.25,-36.5,-1.5026844964343047
39.0,903.75,-36.5,-1.6055460021305175
39.0,904.25,-36.0,-1.7332287044950272
39.0,904.75,-36.0,-1.8591230473480351
39.0,905.25,-36.0,-1.981872344163568
39.0,905.75,-36.0,-2.098948224597774
39.0,906.25,-36.0,-2.2212658484277714
39.0,906.75,-36.5,-2.3380333910151663
39.0,907.25,-36.5,-2.4630952216817814
39.0,907.75,-36.0,-2.6012614108378744
39.0,908.25,-36.0,-2.7302699659436733
39.0,908.75,-36.0,-2.8590010169873428
39.0,909.25,-36.0,-2.9883487437246345
39.0,909.75,-36.5,-3.123123216565804
39.0,910.25,-36.0,-3.2472291999073053
39.0,910.75,-36.0,-3.3896812851340727
