DISTANCE,CHANNEL,RSSI,PHASE
30,902.75,-35.50251256281407,1.3724734237259428
30,903.25,-35.5,1.2439273753903601
30,903.75,-35.5,1.1166763460113844
30,904.25,-35.5,0.9812235299072313
30,904.75,-36.0,0.8440440218609355
30,905.25,-36.0,0.6946235012962356
30,905.75,-35.5,0.5383270467476464
30,906.25,-35.5,0.39951334811325134
30,906.75,-35.50251256281407,0.26125465760311634
30,907.25,-36.0,0.11596586418568636
30,907.75,-36.5,6.24550642229926
30,908.25,-36.0,6.0939583705915625
30,908.75,-35.50251256281407,5.952277129981825
30,909.25,-35.5,5.810780892080171
30,909.75,-36.0,5.673323879971745
30,910.25,-36.0,5.536946050327158
30,910.75,-36.0,5.408739173623068
30,911.25,-36.0,5.264128723468623
30,911.75,-35.5,5.136045181903257
30,912.25,-35.50251256281407,5.005895776764255
30,912.75,-36.0,4.875561368917169
30,913.25,-36.494974874371856,4.744394448883692
30,913.75,-36.0,4.63441033892614
30,914.25,-36.0,4.472224631503458
30,914.75,-35.5,4.3327017558213985
30,915.25,-35.99748743718593,4.196262258607448
30,915.75,-36.0,4.064046989894813
30,916.25,-36.5,3.930629203579614
30,916.75,-36.0,3.7594091972453625
30,917.25,-35.99748743718593,3.6261764136382504
30,917.75,-35.5,3.4795000999101697
30,918.25,-36.0,3.334766314617
30,918.75,-36.0,3.190741706371496
30,919.25,-36.0,3.0588347755056717
30,919.75,-36.0,2.8982832586710874
30,920.25,-35.5,2.762861276351616
30,920.75,-35.5,2.6307385089930233
30,921.25,-35.99748743718593,2.487762249426677
30,921.75,-36.0,2.3594320375838618
30,922.25,-36.0,2.220741674088192
30,922.75,-35.5,2.0911781108581318
30,923.25,-35.5,1.9627245638765927
30,923.75,-35.5,1.8358435399137905
30,924.25,-35.5,1.7075749956403379
30,924.75,-36.0,1.5721221795361848
30,925.25,-35.994974874371856,1.4536896125760088
30,925.75,-35.5,1.3005073702802126
30,926.25,-35.005025125628144,1.1510868497155127
30,926.75,-35.49748743718593,1.018162403955211
30,927.25,-35.5,0.884251277085114
33,902.75,-37.0,0.19477701783062504
33,903.25,-37.5,0.05528497593324532
33,903.75,-37.0,6.203017467008678
33,904.25,-37.0,6.045641829996249
33,904.75,-36.5,5.9022338974443675
33,905.25,-36.5,5.755773420209056
33,905.75,-36.5,5.605767057735414
33,906.25,-37.0,5.455729861477093
33,906.75,-36.5,5.2872540619794615
33,907.25,-36.0,5.148656199837834
33,907.75,-36.0,5.007622468706399
33,908.25,-36.5,4.864461206431965
33,908.75,-37.0,4.71072395601191
33,909.25,-36.5,4.568241037000461
33,909.75,-36.0,4.411759579743785
33,910.25,-36.0,4.270170840488089
33,910.75,-36.5,4.118961960411885
33,911.25,-36.50251256281407,3.9773732211561885
33,911.75,-37.0,3.8273360248978663
33,912.25,-36.5,3.6720570852437544
33,912.75,-36.5,3.531424193313173
33,913.25,-36.5,3.393134669018357
33,913.75,-37.0,3.2476608728928404
33,914.25,-37.0,3.1036054308626553
33,914.75,-37.0,2.941450557224653
33,915.25,-36.5,2.804086046470271
33,915.75,-36.5,2.660369776071578
33,916.25,-36.5,2.5342904305104845
33,916.75,-37.0,2.412126975603894
33,917.25,-37.0,2.282070071818936
33,917.75,-36.5,2.1104183924991506
33,918.25,-36.5,1.9824581860725083
33,918.75,-36.5,1.8618980879693356
33,919.25,-36.5,1.7113675511561153
33,919.75,-37.0,1.5740647079710952
33,920.25,-36.50251256281407,1.4306876092038945
33,920.75,-36.5,1.286817169881796
33,921.25,-36.5,1.1492059888499646
33,921.75,-36.5,1.0228491392267411
33,922.25,-36.5,0.8856387973957643
33,922.75,-37.0,0.7586961058635997
33,923.25,-36.5,0.5896344644570275
33,923.75,-36.5,0.45908422011717204
33,924.25,-36.5,0.3182354916938232
33,924.75,-36.5,0.17088083470275825
33,925.25,-37.0,0.018376935669946574
33,925.75,-36.5,6.153745079088251
33,926.25,-36.0,6.009011293795081
33,926.75,-36.0,5.86862507214195
33,927.25,-36.0,5.7106327594358985
36,902.75,-38.0,5.529885113635183
36,903.25,-38.0,5.4101575277183995
36,903.75,-37.5,5.260675339584337
36,904.25,-37.0,5.128120899240209
36,904.75,-37.0,4.991804737164985
36,905.25,-37.00251256281407,4.85271353446846
36,905.75,-37.5,4.698606278632229
36,906.25,-37.0,4.5576033812854755
36,906.75,-37.0,4.4102795580790914
36,907.25,-36.99748743718593,4.261352378069289
36,907.75,-37.0,4.098272490890855
36,908.25,-37.00251256281407,3.962727173432658
36,908.75,-37.0,3.773561904413996
36,909.25,-37.0,3.6206263323956485
36,909.75,-36.5,3.469910792874342
36,910.25,-37.0,3.3189794168602678
36,910.75,-37.494974874371856,3.153833666108198
36,911.25,-37.0,2.9904454410829504
36,911.75,-36.99748743718593,2.834858163582027
36,912.25,-36.5,2.681429251008782
36,912.75,-37.0,2.5377438143947706
36,913.25,-37.0,2.404726867280425
36,913.75,-37.0,2.2679481984349836
36,914.25,-37.0,2.1168626534975035
36,914.75,-36.50251256281407,1.9705255114009157
36,915.25,-36.50251256281407,1.8346718560959079
36,915.75,-37.0,1.692558942500633
36,916.25,-37.5,1.5453276206482927
36,916.75,-37.0,1.4198032832114598
36,917.25,-37.0,1.2685635693505741
36,917.75,-37.0,1.126111484123807
36,918.25,-37.0,0.9902886626034801
36,918.75,-37.5,0.8468190624822362
36,919.25,-37.5,0.7178721749457989
36,919.75,-37.0,0.5581223365129244
36,920.25,-37.0,0.4225461852700468
36,920.75,-37.0,0.27676405129771886
36,921.25,-37.5,0.12567850636023867
36,921.75,-37.505025125628144,6.233296243565536
36,922.25,-37.0,6.119334575384124
36,922.75,-37.0,5.970129891312191
36,923.25,-37.0,5.8237927492156025
36,923.75,-37.0,5.672953874555572
36,924.25,-37.0,5.550050408816634
36,924.75,-37.0,5.403034923457061
36,925.25,-36.5,5.258856146288152
36,925.75,-36.5,5.1199499462997125
36,926.25,-36.5,4.988598023558148
36,926.75,-36.5,4.847410123503307
36,927.25,-37.0,4.702306332793963
39,902.75,-39.0,4.5790020278541705
39,903.25,-38.5,4.44111334276021
39,903.75,-38.5,4.3021763089870895
39,904.25,-38.5,4.177885322937502
39,904.75,-38.5,4.0476434164444575
39,905.25,-39.0,3.9106797448909294
39,905.75,-38.5,3.7490798793771885
39,906.25,-38.0,3.6026194021418756
39,906.75,-38.0,3.454555568103145
39,907.25,-38.0,3.299615800080525
39,907.75,-38.5,3.1494244348987968
39,908.25,-38.0,2.9836003408837426
39,908.75,-37.5,2.8179920833614553
39,909.25,-37.5,2.669496576337189
39,909.75,-37.5,2.5156976583477704
39,910.25,-38.0,2.3863807653951596
39,910.75,-38.0,2.2191999848541357
39,911.25,-37.5,2.0867688796487323
39,911.75,-37.5,1.9425901024798224
39,912.25,-37.5,1.7932929170538467
39,912.75,-38.0,1.6330497380660747
39,913.25,-38.0,1.5056753735483743
39,913.75,-37.5,1.3347945388456164
39,914.25,-37.5,1.1909549333081988
39,914.75,-37.5,1.035799328792811
39,915.25,-38.0,0.9109841684036436
39,915.75,-38.0,0.7664970533879226
39,916.25,-38.0,0.6020913134681992
39,916.75,-38.0,0.45772753359120283
39,917.25,-38.0,0.3117603969107883
39,917.75,-38.0,0.16351156016397098
39,918.25,-38.5,0.012796020642664142
39,918.75,-38.00251256281407,6.165061078066222
39,919.25,-38.0,5.99384107173197
39,919.75,-37.994974874371856,5.853084844662666
39,920.25,-38.0,5.723120442231751
39,920.75,-38.0,5.577954983953045
39,921.25,-38.49748743718593,5.467508367225279
39,921.75,-38.0,5.307511858514956
39,922.25,-37.5,5.182480861633021
39,922.75,-37.5,5.052053952431891
39,923.25,-37.5,4.912161071333656
39,923.75,-38.0,4.783676690567436
39,924.25,-38.0,4.662962423540857
39,924.75,-37.5,4.503305086462027
39,925.25,-37.5,4.350215345520273
39,925.75,-37.5,4.207732426508825
39,926.25,-37.5,4.078723871403025
39,926.75,-38.0,3.933373410416233
39,927.25,-37.5,3.759378363460682
42,902.75,-39.994974874371856,3.4028781449775907
42,903.25,-40.0,3.2778779818803363
42,903.75,-40.00251256281407,3.146772729416221
42,904.25,-40.0,3.008051532135869
42,904.75,-39.5,2.863163577919294
42,905.25,-39.5,2.733445845765829
42,905.75,-39.5,2.601230577053193
42,906.25,-39.5,2.470587831359294
42,906.75,-40.0,2.350767744088468
42,907.25,-39.5,2.1904628975313334
42,907.75,-39.00251256281407,2.05556508955144
42,908.25,-39.0,1.9217772978200676
42,908.75,-39.0,1.7870028249788987
