DISTANCE,CHANNEL,RSSI,PHASE
50,902.75,-52.5,2.953537400819652
50,903.25,-52.0,2.8150937076014304
50,903.75,-52.0,2.705140431428562
50,904.25,-52.0,2.561701665091999
50,904.75,-52.005025125628144,2.4362389952245285
50,905.25,-52.5,2.3199031256226683
50,905.75,-52.5,2.186454505522788
50,906.25,-52.0,2.0788137632010035
50,906.75,-52.0,1.9672879640093983
50,907.25,-52.0,1.833870177694199
50,907.75,-52.0,1.718767659479584
50,908.25,-52.5,1.601136770921117
50,908.75,-52.5,1.475057425360024
50,909.25,-52.0,1.3457096986227322
50,909.75,-51.99748743718593,1.2113668987670994
50,910.25,-51.5,1.081094158489374
50,910.75,-52.0,0.9468438599877842
50,911.25,-52.0,0.799920875982255
50,911.75,-52.0,0.6717448330628458
50,912.25,-52.0,0.5359220115425192
50,912.75,-51.5,0.3941174357940556
50,913.25,-51.5,0.2551495682362549
50,913.75,-52.0,0.11830923182145137
50,914.25,-52.0,0.03154296172878414
50,914.75,-52.0,6.146714976180955
50,915.25,-51.5,6.014129702052147
50,915.75,-51.5,5.887803686213606
50,916.25,-51.5,5.762618520408264
50,916.75,-51.5,5.648286846810677
50,917.25,-52.0,5.529114269018154
50,917.75,-51.5,5.374822010473838
50,918.25,-51.0,5.224938983138921
50,918.75,-51.0,5.109281456800046
50,919.25,-51.0,4.970776096012462
50,919.75,-51.00251256281407,4.85465606290337
50,920.25,-51.5,4.72203995498988
50,920.75,-51.005025125628144,4.617081751935353
50,921.25,-51.0,4.463097831237848
50,921.75,-51.0,4.317593201327649
50,922.25,-51.0,4.177638652660053
50,922.75,-51.0,4.047520081305734
50,923.25,-51.5,3.9115739246466825
50,923.75,-51.0,3.7476923590665376
50,924.25,-51.0,3.621551345936082
50,924.75,-50.50251256281407,3.4661799049279267
50,925.25,-50.5,3.32456033188755
50,925.75,-51.0,3.1772365086811662
50,926.25,-51.0,3.010086561924823
50,926.75,-50.5,2.85671931692094
50,927.25,-50.0,2.718984800750384
60,902.75,-54.5,5.871030107347076
60,903.25,-54.5,5.724847134173894
60,903.75,-54.505025125628144,5.594266056049357
60,904.25,-55.0,5.479286872973467
60,904.75,-54.5,5.3258579604002225
60,905.25,-54.5,5.210909611109012
60,905.75,-54.0,5.07302092601505
60,906.25,-54.00251256281407,4.956623388843829
60,906.75,-54.5,4.816884676669
60,907.25,-54.5,4.680414345670369
60,907.75,-54.5,4.539473115892977
60,908.25,-54.0,4.4220580638272775
60,908.75,-54.0,4.256943146859889
60,909.25,-54.0,4.134594689245212
60,909.75,-54.5,3.9883808822873488
60,910.25,-54.5,3.8941220025171686
60,910.75,-54.5,3.73810305203071
60,911.25,-54.49748743718593,3.5981176695784325
60,911.75,-54.0,3.464422379201103
60,912.25,-54.49748743718593,3.325855350844157
60,912.75,-54.5,3.197247634939212
60,913.25,-54.5,3.0646623608104027
60,913.75,-54.00251256281407,2.9114801185146066
60,914.25,-54.0,2.8025135234515335
60,914.75,-53.99748743718593,2.649485450079143
60,915.25,-54.0,2.511072590645602
60,915.75,-54.0,2.3826190436640635
60,916.25,-54.0,2.2365594056296056
60,916.75,-53.5,2.0921647919679276
60,917.25,-53.5,1.9706796803243214
60,917.75,-53.5,1.8249592139213555
60,918.25,-53.5,1.7008223967951728
60,918.75,-54.0,1.547794323422782
60,919.25,-53.51005025125628,1.4294234240319685
60,919.75,-53.5,1.2965914796257103
60,920.25,-53.5,1.1489593185725155
60,920.75,-53.5,1.0197657607586292
60,921.25,-53.5,0.9166267510002883
60,921.75,-54.0,0.8007225543839641
60,922.25,-53.5,0.648126153997109
60,922.75,-53.5,0.5108233108120888
60,923.25,-53.00251256281407,0.35887441990353725
60,923.75,-53.0,0.22656664983685812
60,924.25,-53.5,0.08251120780667288
60,924.75,-53.5,6.25185818194357
60,925.25,-53.0,6.078263974188873
60,925.75,-52.5,5.929213459040347
60,926.25,-52.5,5.818396836896408
60,926.75,-52.5,5.637525855956967
60,927.25,-52.5,5.508640635989891
70,902.75,-57.5,2.1876878569100326
70,903.25,-57.0,2.039963194502794
70,903.75,-57.0,1.9411409145998098
70,904.25,-57.0,1.8080314661314216
70,904.75,-57.005025125628144,1.668076917463825
70,905.25,-57.50251256281407,1.5783197702570892
70,905.75,-57.5,1.4252300293153364
70,906.25,-57.49748743718593,1.2843196333226254
70,906.75,-57.00251256281407,1.1726088314229333
70,907.25,-57.0,1.0551937793572346
70,907.75,-57.0,0.9089491386146897
70,908.25,-57.5,0.8068584775355068
70,908.75,-57.0,0.6174465382393962
70,909.25,-57.0,0.4708935596500405
70,909.75,-57.0,0.3879198450731508
70,910.25,-57.0,0.23245590271095173
70,910.75,-57.0,0.0812161888500659
70,911.25,-57.0,6.239524668071122
70,911.75,-56.505025125628144,6.108542750745732
70,912.25,-56.5,5.962082273510418
70,912.75,-56.5,5.807666679827378
70,913.25,-56.5,5.675358909760699
70,913.75,-56.5,5.547614539826826
70,914.25,-56.5,5.380742097132612
70,914.75,-56.0,5.230859069797696
70,915.25,-56.0,5.109065620307279
70,915.75,-56.0,4.965996859386889
70,916.25,-56.0,4.8158054942051605
70,916.75,-56.5,4.694844556901132
70,917.25,-56.0,4.5434506741168414
70,917.75,-56.0,4.405531155238199
70,918.25,-56.0,4.272884213540027
70,918.75,-55.99748743718593,4.148038219366179
70,919.25,-56.0,3.9892442282584195
70,919.75,-56.0,3.881356815659186
70,920.25,-56.0,3.740908926436692
70,920.75,-55.5,3.5669138794811404
70,921.25,-55.5,3.436301967571923
70,921.75,-55.5,3.2764596277850058
70,922.25,-55.99748743718593,3.1420551603600098
70,922.75,-55.5,2.9417280612867835
70,923.25,-55.0,2.80738526143115
70,923.75,-55.0,2.6565772205558007
70,924.25,-54.99748743718593,2.509191729780054
70,924.75,-55.0,2.3654137918119993
70,925.25,-55.0,2.2100423508038434
70,925.75,-54.5,2.0641368816927916
70,926.25,-54.5,1.9225789762217764
70,926.75,-54.5,1.7857386398069728
70,927.25,-54.51005025125628,1.6648085362876268
80,902.75,-60.0,4.398686055038991
80,903.25,-60.0,4.264219920044633
80,903.75,-60.0,4.164811798232708
80,904.25,-60.005025125628144,4.029019810497062
80,904.75,-60.5,3.9109264151683782
80,905.25,-60.5,3.7803761708285237
80,905.75,-60.49748743718593,3.643412499274995
80,906.25,-60.49748743718593,3.5513736520018564
80,906.75,-60.00251256281407,3.437997825729384
80,907.25,-60.00251256281407,3.281485534688027
80,907.75,-60.5,3.1436893509481094
80,908.25,-60.5,3.0266751380832653
80,908.75,-59.540201005025125,2.849905050506413
80,909.25,-59.50251256281407,2.690001043150133
80,909.75,-59.5,2.489797279215631
80,910.25,-59.5,2.3902966560496615
80,910.75,-59.50251256281407,2.2089015007706423
80,911.25,-59.5,2.0965123556079654
80,911.75,-59.49246231155779,1.9859424037414743
80,912.25,-59.49748743718593,1.8692673625081229
80,912.75,-59.5,1.7074208267169322
80,913.25,-59.5,1.599749250610467
80,913.75,-59.97487437185929,1.4511920760168382
80,914.25,-59.5,1.3328828441953868
80,914.75,-59.5,1.2237620802089089
80,915.25,-59.5,1.0922251547592576
80,915.75,-59.5,0.9579131886883058
80,916.25,-59.5,0.8274554457024937
80,916.75,-59.5,0.7254881197620352
80,917.25,-59.0,0.5254076909662577
80,917.75,-59.0,0.3600152699367386
80,918.25,-59.0,0.23097588104625802
80,918.75,-59.0,0.07554277246874011
80,919.25,-59.0,6.2078892049882946
80,919.75,-58.50251256281407,6.088408289348962
80,920.25,-58.5,5.911052359863168
80,920.75,-58.5,5.7756303775436955
80,921.25,-58.5,5.631914107145003
80,921.75,-58.5,5.504724745335389
80,922.25,-58.5,5.357431755913687
80,922.75,-58.00251256281407,5.211310450309867
80,923.25,-58.0,5.067316675849044
80,923.75,-57.99748743718593,4.955914211796163
80,924.25,-58.0,4.848612641105871
80,924.75,-58.00251256281407,4.700672142205865
80,925.25,-58.0,4.539503949677659
80,925.75,-57.5,4.393937652198099
80,926.25,-57.5,4.240693742332941
80,926.75,-57.5,4.09016320551972
80,927.25,-57.5,3.9486361338333857
90,902.75,-59.50251256281407,1.2080368500215384
90,903.25,-59.50251256281407,1.0603121876143
90,903.75,-59.5,0.9076541196580827
90,904.25,-59.99748743718593,0.7767647036867352
90,904.75,-59.5,0.6242608046539234
90,905.25,-59.5,0.4617050918150672
90,905.75,-59.5,0.30013606008600663
90,906.25,-59.5,0.16548492238356252
90,906.75,-60.00251256281407,0.03151212794410302
90,907.25,-60.0,6.1790596163114495
90,907.75,-59.50251256281407,6.02553820238416
90,908.25,-59.5,5.881698596846743
90,908.75,-59.49748743718593,5.741744048179147
90,909.25,-59.5,5.649057691427705
90,909.75,-60.0,5.50361472908687
90,910.25,-59.50251256281407,5.36440019125162
90,910.75,-59.0,5.214547997701385
90,911.25,-58.99748743718593,5.091860368455214
90,911.75,-58.99748743718593,4.9430256897994544
90,912.25,-59.5,4.802238628945469
90,912.75,-59.5,4.661297399168077
90,913.25,-59.00251256281407,4.525012070877533
90,913.75,-58.50251256281407,4.35123286041475
90,914.25,-58.5,4.245072139757659
90,914.75,-58.99748743718593,4.032134022749855
90,915.25,-59.0,3.9160448234254437
90,915.75,-58.99748743718593,3.717598585217767
90,916.25,-58.5,3.5788465541527335
90,916.75,-58.5,3.4267743281054575
90,917.25,-58.5,3.2989066230328596
90,917.75,-59.0,3.1246957395845403
90,918.25,-59.0,2.978420265057314
90,918.75,-58.5,2.8502133883532235
90,919.25,-58.5,2.683371779443693
90,919.75,-58.5,2.5925662835577983
90,920.25,-58.5,2.4349748100526023
90,920.75,-58.5,2.272573266137152
90,921.25,-58.0,2.144181386724975
90,921.75,-58.0,1.985140725339766
90,922.25,-58.0,1.8514454349624363
90,922.75,-58.0,1.7202785149289586
90,923.25,-58.0,1.564197896873137
90,923.75,-57.50251256281407,1.4068222598607087
90,924.25,-57.49748743718593,1.2313163574557828
90,924.75,-57.5,1.0985769144035682
90,925.25,-57.50251256281407,0.9589307035827828
90,925.75,-58.0,0.7874948607557642
90,926.25,-57.50251256281407,0.6182482166411053
90,926.75,-57.5,0.46904353256917336
90,927.25,-57.49748743718593,0.31237707260441067
100,902.75,-62.5,2.526335314062756
100,903.25,-62.99246231155779,2.429424728810001
100,903.75,-63.017587939698494,2.394551718335656
100,904.25,-63.0,2.166628381972829
100,904.75,-62.99246231155779,2.068761949394959
100,905.25,-62.50251256281407,1.9446867998381385
100,905.75,-62.51005025125628,1.8812617047490778
100,906.25,-63.00251256281407,1.744822207535129
100,906.75,-63.00251256281407,1.6288563433494425
100,907.25,-63.0,1.5090362560786164
100,907.75,-62.99748743718593,1.334517034783486
100,908.25,-62.005025125628144,1.2011300822529678
100,908.75,-62.5,1.0551321117878723
100,909.25,-62.494974874371856,0.9131733671160029
100,909.75,-62.49748743718593,0.746794264976688
100,910.25,-61.984924623115575,0.5726142153130501
100,910.75,-61.5,0.41082934709122176
100,911.25,-61.5,0.24771862612810536
100,911.75,-61.82663316582914,0.11026161401967946
100,912.25,-61.99748743718593,6.245568089868621
100,912.75,-61.50251256281407,6.11261281032364
100,913.25,-61.5,5.9614655978167965
100,913.75,-61.00251256281407,5.805724151392468
100,914.25,-61.5,5.6654920986627415
100,914.75,-61.5,5.530532623113484
100,915.25,-61.005025125628144,5.378337061927485
100,915.75,-61.0,5.28142647667473
100,916.25,-60.99748743718593,5.10468722288256
100,916.75,-60.5,4.976634515101875
100,917.25,-61.0,4.858263615711061
100,917.75,-61.0,4.6692833494004855
100,918.25,-60.49748743718593,4.512216050234869
100,918.75,-60.01005025125628,4.377934917948599
100,919.25,-60.00251256281407,4.198266454611721
100,919.75,-60.0,4.090903216352067
100,920.25,-60.01005025125628,3.8909152889103327
100,920.75,-60.0,3.7475998577124945
100,921.25,-59.98994974874372,3.5108888927155486
100,921.75,-59.5,3.340933071553224
100,922.25,-59.994974874371856,3.137121754811031
100,922.75,-59.92462311557789,2.995563849340016
100,923.25,-59.5,2.851230903247701
100,923.75,-59.005025125628144,2.6850368038164727
100,924.25,-59.0,2.514279304252439
100,924.75,-59.005025125628144,2.3618370727889895
100,925.25,-59.0,2.216455778017516
100,925.75,-58.5,2.073171180604359
100,926.25,-58.5,1.9473076715360336
100,926.75,-58.5,1.7780918612060554
100,927.25,-58.56030150753769,1.6176020119408343
110,902.75,-64.0,5.9178049587083335
110,903.25,-64.28894472361809,5.7542625647596815
110,903.75,-64.00502512562814,5.6520177347570915
110,904.25,-64.49748743718592,5.500500516834077
110,904.75,-64.49748743718592,5.41817431173549
110,905.25,-64.0,5.249914348730628
110,905.75,-63.50753768844221,5.089177829187957
110,906.25,-63.55778894472362,4.948699106180781
