DISTANCE,CHANNEL,RSSI,PHASE
50.0,902.75,-52.5,2.953537400819652
50.0,903.25,-52.0,2.8150937076014304
50.0,903.75,-52.0,2.705140431428562
50.0,904.25,-52.0,2.561701665091999
50.0,904.75,-52.00502512562814,2.4362389952245285
50.0,905.25,-52.5,2.3199031256226683
50.0,905.75,-52.5,2.186454505522788
50.0,906.25,-52.0,2.0788137632010035
50.0,906.75,-52.0,1.9672879640093983
50.0,907.25,-52.0,1.833870177694199
50.0,907.75,-52.0,1.7187676594795842
50.0,908.25,-52.5,1.601136770921117
50.0,908.75,-52.5,1.4750574253600244
50.0,909.25,-52.0,1.3457096986227322
50.0,909.75,-51.997487437185924,1.2113668987670994
50.0,910.25,-51.5,1.081094158489374
50.0,910.75,-52.0,0.9468438599877842
50.0,911.25,-52.0,0.799920875982255
50.0,911.75,-52.0,0.6717448330628458
50.0,912.25,-52.0,0.5359220115425192
50.0,912.75,-51.5,0.3941174357940556
50.0,913.25,-51.5,0.2551495682362549
50.0,913.75,-52.0,0.11830923182145135
50.0,914.25,-52.0,0.03154296172878414
50.0,914.75,-52.0,-0.13647033099863126
50.0,915.25,-51.5,-0.26905560512743865
50.0,915.75,-51.5,-0.3953816209659795
50.0,916.25,-51.5,-0.5205667867713233
50.0,916.75,-51.5,-0.6348984603689081
50.0,917.25,-52.0,-0.7540710381614328
50.0,917.75,-51.5,-0.9083632967057484
50.0,918.25,-51.0,-1.0582463240406659
50.0,918.75,-51.0,-1.1739038503795403
50.0,919.25,-51.0,-1.3124092111671244
50.0,919.75,-51.002512562814076,-1.4285292442762163
50.0,920.25,-51.5,-1.5611453521897065
50.0,920.75,-51.00502512562814,-1.6661035552442334
50.0,921.25,-51.0,-1.8200874759417385
50.0,921.75,-51.0,-1.9655921058519379
50.0,922.25,-51.0,-2.105546654519533
50.0,922.75,-51.0,-2.235665225873852
50.0,923.25,-51.5,-2.3716113825329037
50.0,923.75,-51.0,-2.5354929481130486
50.0,924.25,-51.0,-2.661633961243504
50.0,924.75,-50.502512562814076,-2.8170054022516595
50.0,925.25,-50.5,-2.9586249752920364
50.0,925.75,-51.0,-3.10594879849842
50.0,926.25,-51.0,-3.273098745254763
50.0,926.75,-50.5,-3.4264659902586465
50.0,927.25,-50.0,-3.5642005064292017
60.0,902.75,-54.5,-0.4121551998325099
60.0,903.25,-54.5,-0.5583381730056924
60.0,903.75,-54.50502512562814,-0.6889192511302298
60.0,904.25,-55.0,-0.8038984342061193
60.0,904.75,-54.5,-0.9573273467793628
60.0,905.25,-54.5,-1.0722756960705748
60.0,905.75,-54.0,-1.2101643811645362
60.0,906.25,-54.002512562814076,-1.3265619183357575
60.0,906.75,-54.5,-1.4663006305105863
60.0,907.25,-54.5,-1.6027709615092167
60.0,907.75,-54.5,-1.74371219128661
60.0,908.25,-54.0,-1.8611272433523087
60.0,908.75,-54.0,-2.026242160319698
60.0,909.25,-54.0,-2.1485906179343743
60.0,909.75,-54.5,-2.2948044248922375
60.0,910.25,-54.5,-2.3890633046624172
60.0,910.75,-54.5,-2.545082255148876
60.0,911.25,-54.497487437185924,-2.6850676376011537
60.0,911.75,-54.0,-2.8187629279784834
60.0,912.25,-54.497487437185924,-2.9573299563354296
60.0,912.75,-54.5,-3.085937672240374
60.0,913.25,-54.5,-3.2185229463691836
60.0,913.75,-54.002512562814076,-3.37170518866498
60.0,914.25,-54.0,-3.480671783728053
60.0,914.75,-53.997487437185924,-3.633699857100443
60.0,915.25,-54.0,-3.772112716533984
60.0,915.75,-54.0,-3.9005662635155227
60.0,916.25,-54.0,-4.04662590154998
60.0,916.75,-53.5,-4.191020515211658
60.0,917.25,-53.5,-4.312505626855265
60.0,917.75,-53.5,-4.458226093258231
60.0,918.25,-53.5,-4.582362910384413
60.0,918.75,-54.0,-4.735390983756804
60.0,919.25,-53.51005025125628,-4.853761883147618
60.0,919.75,-53.5,-4.986593827553876
60.0,920.25,-53.5,-5.134225988607071
60.0,920.75,-53.5,-5.263419546420957
60.0,921.25,-53.5,-5.366558556179298
60.0,921.75,-54.0,-5.482462752795622
60.0,922.25,-53.5,-5.635059153182477
60.0,922.75,-53.5,-5.772361996367497
60.0,923.25,-53.002512562814076,-5.924310887276049
60.0,923.75,-53.0,-6.056618657342728
60.0,924.25,-53.5,-6.200674099372914
60.0,924.75,-53.5,-6.314512432415602
60.0,925.25,-53.0,-6.4881066401703
60.0,925.75,-52.5,-6.6371571553188256
60.0,926.25,-52.5,-6.747973777462765
60.0,926.75,-52.5,-6.928844758402205
60.0,927.25,-52.5,-7.057729978369281
70.0,902.75,-57.5,-4.095497450269553
70.0,903.25,-57.0,-4.243222112676792
70.0,903.75,-57.0,-4.342044392579776
70.0,904.25,-57.0,-4.475153841048165
70.0,904.75,-57.00502512562814,-4.615108389715761
70.0,905.25,-57.502512562814076,-4.704865536922497
70.0,905.75,-57.5,-4.857955277864249
70.0,906.25,-57.497487437185924,-4.998865673856961
70.0,906.75,-57.002512562814076,-5.110576475756653
70.0,907.25,-57.0,-5.227991527822351
70.0,907.75,-57.0,-5.374236168564897
70.0,908.25,-57.5,-5.47632682964408
70.0,908.75,-57.0,-5.66573876894019
70.0,909.25,-57.0,-5.812291747529546
70.0,909.75,-57.0,-5.895265462106435
70.0,910.25,-57.0,-6.050729404468634
70.0,910.75,-57.0,-6.2019691183295205
70.0,911.25,-57.0,-6.32684594628805
70.0,911.75,-56.50502512562814,-6.457827863613439
70.0,912.25,-56.5,-6.604288340848755
70.0,912.75,-56.5,-6.758703934531795
70.0,913.25,-56.5,-6.891011704598474
70.0,913.75,-56.5,-7.018756074532346
70.0,914.25,-56.5,-7.18562851722656
70.0,914.75,-56.0,-7.335511544561476
70.0,915.25,-56.0,-7.457304994051895
70.0,915.75,-56.0,-7.600373754972284
70.0,916.25,-56.0,-7.750565120154012
70.0,916.75,-56.5,-7.87152605745804
70.0,917.25,-56.0,-8.022919940242332
70.0,917.75,-56.0,-8.160839459120973
70.0,918.25,-56.0,-8.293486400819145
70.0,918.75,-55.997487437185924,-8.418332394992994
70.0,919.25,-56.0,-8.577126386100753
70.0,919.75,-56.0,-8.685013798699986
70.0,920.25,-56.0,-8.82546168792248
70.0,920.75,-55.5,-8.999456734878033
70.0,921.25,-55.5,-9.13006864678725
70.0,921.75,-55.5,-9.289910986574167
70.0,922.25,-55.997487437185924,-9.424315453999164
70.0,922.75,-55.5,-9.62464255307239
70.0,923.25,-55.0,-9.758985352928022
70.0,923.75,-55.0,-9.909793393803373
70.0,924.25,-54.997487437185924,-10.057178884579118
70.0,924.75,-55.0,-10.200956822547173
70.0,925.25,-55.0,-10.356328263555328
70.0,925.75,-54.5,-10.50223373266638
70.0,926.25,-54.5,-10.643791638137396
70.0,926.75,-54.5,-10.7806319745522
70.0,927.25,-54.51005025125628,-10.901562078071546
80.0,902.75,-60.0,-8.167684559320183
80.0,903.25,-60.0,-8.30215069431454
80.0,903.75,-60.0,-8.401558816126464
80.0,904.25,-60.00502512562814,-8.537350803862111
80.0,904.75,-60.5,-8.655444199190795
80.0,905.25,-60.5,-8.785994443530647
80.0,905.75,-60.497487437185924,-8.922958115084178
80.0,906.25,-60.497487437185924,-9.014996962357316
80.0,906.75,-60.002512562814076,-9.12837278862979
80.0,907.25,-60.002512562814076,-9.284885079671145
80.0,907.75,-60.5,-9.422681263411063
80.0,908.25,-60.5,-9.539695476275908
80.0,908.75,-59.54020100502513,-9.71646556385276
80.0,909.25,-59.502512562814076,-9.87636957120904
80.0,909.75,-59.5,-10.076573335143541
80.0,910.25,-59.5,-10.176073958309512
80.0,910.75,-59.502512562814076,-10.35746911358853
80.0,911.25,-59.5,-10.469858258751207
80.0,911.75,-59.49246231155779,-10.580428210617699
80.0,912.25,-59.497487437185924,-10.69710325185105
80.0,912.75,-59.5,-10.85894978764224
80.0,913.25,-59.5,-10.966621363748706
80.0,913.75,-59.97487437185929,-11.115178538342334
80.0,914.25,-59.5,-11.233487770163785
80.0,914.75,-59.5,-11.342608534150264
80.0,915.25,-59.5,-11.474145459599915
80.0,915.75,-59.5,-11.608457425670867
80.0,916.25,-59.5,-11.738915168656678
80.0,916.75,-59.5,-11.840882494597137
80.0,917.25,-59.0,-12.040962923392915
80.0,917.75,-59.0,-12.206355344422434
80.0,918.25,-59.0,-12.335394733312915
80.0,918.75,-59.0,-12.490827841890432
80.0,919.25,-59.0,-12.641666716550464
80.0,919.75,-58.502512562814076,-12.761147632189797
80.0,920.25,-58.5,-12.93850356167559
80.0,920.75,-58.5,-13.073925543995063
80.0,921.25,-58.5,-13.217641814393755
80.0,921.75,-58.5,-13.344831176203371
80.0,922.25,-58.5,-13.492124165625071
80.0,922.75,-58.002512562814076,-13.638245471228892
80.0,923.25,-58.0,-13.782239245689716
80.0,923.75,-57.997487437185924,-13.893641709742596
80.0,924.25,-58.0,-14.000943280432889
80.0,924.75,-58.002512562814076,-14.148883779332893
80.0,925.25,-58.0,-14.3100519718611
80.0,925.75,-57.5,-14.45561826934066
80.0,926.25,-57.5,-14.608862179205818
80.0,926.75,-57.5,-14.75939271601904
80.0,927.25,-57.5,-14.900919787705373
90.0,902.75,-59.502512562814076,-11.358333764337633
90.0,903.25,-59.502512562814076,-11.506058426744872
90.0,903.75,-59.5,-11.658716494701089
90.0,904.25,-59.997487437185924,-11.789605910672437
90.0,904.75,-59.5,-11.942109809705249
90.0,905.25,-59.5,-12.104665522544105
90.0,905.75,-59.5,-12.266234554273165
90.0,906.25,-59.5,-12.40088569197561
90.0,906.75,-60.002512562814076,-12.53485848641507
90.0,907.25,-60.0,-12.67049630522731
90.0,907.75,-59.502512562814076,-12.8240177191546
90.0,908.25,-59.5,-12.967857324692016
90.0,908.75,-59.497487437185924,-13.107811873359612
90.0,909.25,-59.5,-13.200498230111053
90.0,909.75,-60.0,-13.345941192451889
90.0,910.25,-59.502512562814076,-13.48515573028714
90.0,910.75,-59.0,-13.635007923837374
90.0,911.25,-58.997487437185924,-13.757695553083545
90.0,911.75,-58.997487437185924,-13.906530231739303
90.0,912.25,-59.5,-14.04731729259329
90.0,912.75,-59.5,-14.188258522370681
90.0,913.25,-59.002512562814076,-14.324543850661225
90.0,913.75,-58.502512562814076,-14.498323061124008
90.0,914.25,-58.5,-14.604483781781099
90.0,914.75,-58.997487437185924,-14.817421898788904
90.0,915.25,-59.0,-14.933511098113314
90.0,915.75,-58.997487437185924,-15.13195733632099
90.0,916.25,-58.5,-15.270709367386026
90.0,916.75,-58.5,-15.422781593433301
90.0,917.25,-58.5,-15.550649298505899
90.0,917.75,-59.0,-15.724860181954218
90.0,918.25,-59.0,-15.871135656481444
90.0,918.75,-58.5,-15.999342533185535
90.0,919.25,-58.5,-16.166184142095066
90.0,919.75,-58.5,-16.25698963798096
90.0,920.25,-58.5,-16.414581111486157
