DISTANCE,CHANNEL,RSSI,PHASE
50.0,902.75,-45.5,1.8855784346044344
50.0,903.25,-45.502512562814076,1.7600232633829205
50.0,903.75,-46.0,1.6371197976439824
50.0,904.25,-46.00502512562814,1.5053670357015632
50.0,904.75,-46.0,1.3751251292085191
50.0,905.25,-45.997487437185924,1.2539483554117237
50.0,905.75,-45.50502512562814,1.1343132708489845
50.0,906.25,-46.0,1.0303109151195715
50.0,906.75,-46.0,0.9125258576376996
50.0,907.25,-46.002512562814076,0.8032817585124971
50.0,907.75,-46.0,0.6568521150618656
50.0,908.25,-45.50502512562814,0.5304952654386423
50.0,908.75,-45.5,0.40774596862311
50.0,909.25,-45.5,0.2828074730952181
50.0,909.75,-45.5,0.14183540953314472
50.0,910.25,-46.0,-0.006135923151542322
50.0,910.75,-45.5,-0.14374710418337244
50.0,911.25,-45.497487437185924,-0.2904850854808183
50.0,911.75,-45.0,-0.41480690531508646
50.0,912.25,-45.0,-0.5444013023298266
50.0,912.75,-45.5,-0.6869767226953174
50.0,913.25,-45.5,-0.8142585858589753
50.0,913.75,-45.0,-0.9578823549036244
50.0,914.25,-45.0,-1.0849175477898338
50.0,914.75,-45.0,-1.2087460270692043
50.0,915.25,-45.0,-1.330693645483028
50.0,915.75,-45.0,-1.4370702026328859
50.0,916.25,-45.5,-1.5792139500128428
50.0,916.75,-45.0,-1.6817362840775596
50.0,917.25,-45.0,-1.8282892626669165
50.0,917.75,-44.505025125628144,-1.9552011204144
50.0,918.25,-44.5,-2.092966470369637
50.0,918.75,-45.0,-2.237607754308762
50.0,919.25,-45.0,-2.3586920267515166
50.0,919.75,-45.0,-2.5036108147527725
50.0,920.25,-44.5,-2.6309851792704726
50.0,920.75,-44.5,-2.773406430712558
50.0,921.25,-44.5,-2.927513686548788
50.0,921.75,-44.5,-3.0725558096887697
50.0,922.25,-45.0,-3.207391950099299
50.0,922.75,-44.5,-3.3690226493977224
50.0,923.25,-44.0,-3.5106730562227804
50.0,923.75,-44.0,-3.647544226422265
50.0,924.25,-44.0,-3.7687210002190605
50.0,924.75,-44.5,-3.9017687811180863
50.0,925.25,-44.0,-4.03611158097372
50.0,925.75,-44.0,-4.183990412304364
50.0,926.25,-43.5,-4.312135621439092
50.0,926.75,-43.5,-4.455851891837785
50.0,927.25,-44.0,-4.583472926632934
60.0,902.75,-47.5,-1.4035847124691916
60.0,903.25,-48.0,-1.5338574527469149
60.0,903.75,-48.0,-1.6529375291853947
60.0,904.25,-47.5,-1.796777134722813
60.0,904.75,-47.5,-1.9191872599068533
60.0,905.25,-47.5,-2.0541159016714277
60.0,905.75,-47.5,-2.185282821704906
60.0,906.25,-47.5,-2.333593326021084
60.0,906.75,-47.5,-2.5003115997918934
60.0,907.25,-47.5,-2.628210138649171
60.0,907.75,-47.5,-2.7531178003923826
60.0,908.25,-47.5,-2.8995166100583325
60.0,908.75,-47.5,-3.051126329335392
60.0,909.25,-48.0,-3.203321890521392
60.0,909.75,-47.5,-3.3357838295114774
60.0,910.25,-47.5,-3.453692222132073
60.0,910.75,-47.5,-3.5849516435195947
60.0,911.25,-47.5,-3.707084264641505
60.0,911.75,-47.5,-3.840995391511602
60.0,912.25,-47.5,-3.9533537028895975
60.0,912.75,-47.5,-4.0964841313793485
60.0,913.25,-47.0,-4.221761798538733
60.0,913.75,-47.0,-4.346515291358538
60.0,914.25,-47.0,-4.453631859340744
60.0,914.75,-47.0,-4.5990131541122174
60.0,915.25,-47.5,-4.752411232900782
60.0,915.75,-47.0,-4.877103058151224
60.0,916.25,-47.0,-5.016995939249458
60.0,916.75,-46.5,-5.152294586430206
60.0,917.25,-47.0,-5.285157364621146
60.0,917.75,-47.0,-5.415892611669087
60.0,918.25,-47.5,-5.5462886870855375
60.0,918.75,-47.0,-5.695678373865556
60.0,919.25,-47.0,-5.8319945359407805
60.0,919.75,-47.0,-5.967879025030469
60.0,920.25,-47.0,-6.103917683043564
60.0,920.75,-47.0,-6.234313758460013
60.0,921.25,-47.0,-6.341646162934985
60.0,921.75,-47.0,-6.500779325674239
60.0,922.25,-46.5,-6.625625319848087
60.0,922.75,-46.5,-6.761941481923312
60.0,923.25,-46.5,-6.890425862689533
60.0,923.75,-46.5,-7.012126810825905
60.0,924.25,-46.5,-7.14927548508752
60.0,924.75,-46.0,-7.297709324542425
60.0,925.25,-46.0,-7.422246980869462
60.0,925.75,-45.5,-7.56858412296605
60.0,926.25,-46.0,-7.708415336494924
60.0,926.75,-46.0,-7.842110626872253
60.0,927.25,-46.0,-8.0033713207545
70.0,902.75,-51.0,-5.436520413620755
70.0,903.25,-51.0,-5.561212238871199
70.0,903.75,-50.997487437185924,-5.721023744873436
70.0,904.25,-50.5,-5.828448650702452
70.0,904.75,-50.5,-5.951876290780969
70.0,905.25,-50.5,-6.104719361445273
70.0,905.75,-51.0,-6.240203011334107
70.0,906.25,-51.0,-6.34947794424399
70.0,906.75,-50.5,-6.489617495619675
70.0,907.25,-50.5,-6.615388503333957
70.0,907.75,-50.5,-6.743749548961453
70.0,908.25,-50.5,-6.882193242179674
70.0,908.75,-50.5,-7.011047628362065
70.0,909.25,-50.5,-7.111565766422514
70.0,909.75,-50.00502512562814,-7.261757131604241
70.0,910.25,-50.0,-7.389994842093012
70.0,910.75,-50.0,-7.526434339306962
70.0,911.25,-50.0,-7.670027274566931
70.0,911.75,-50.0,-7.803290891958724
70.0,912.25,-50.0,-7.899923973149349
70.0,912.75,-49.5,-8.075491543123636
70.0,913.25,-49.5,-8.205825950970727
70.0,913.75,-49.5,-8.36754915162319
70.0,914.25,-49.5,-8.49631103645154
70.0,914.75,-50.0,-8.63216469175655
70.0,915.25,-49.5,-8.802768022397178
70.0,915.75,-49.5,-8.95089352400527
70.0,916.25,-49.5,-9.078267888522971
70.0,916.75,-49.5,-9.228212583427249
70.0,917.25,-49.5,-9.359071165613916
70.0,917.75,-50.0,-9.502386596811753
70.0,918.25,-49.5,-9.655661340461595
70.0,918.75,-49.0,-9.787722440250825
70.0,919.25,-49.0,-9.928416999750768
70.0,919.75,-49.0,-10.062574796898314
70.0,920.25,-49.0,-10.174470601506092
70.0,920.75,-49.0,-10.329071197897221
70.0,921.25,-48.5,-10.456661398907688
70.0,921.75,-48.5,-10.604848568085144
70.0,922.25,-48.5,-10.740609722036108
70.0,922.75,-48.5,-10.888272716873985
70.0,923.25,-49.0,-11.027209750647103
70.0,923.75,-48.5,-11.176599437427122
70.0,924.25,-48.00502512562814,-11.321271555150929
70.0,924.75,-48.0,-11.46794786887901
70.0,925.25,-48.5,-11.615271692085393
70.0,925.75,-48.51005025125628,-11.750076998711243
70.0,926.25,-48.5,-11.920464492859104
70.0,926.75,-48.5,-12.058661515799876
70.0,927.25,-48.002512562814076,-12.202439453767932
80.0,902.75,-53.5,-9.41238277932757
80.0,903.25,-53.5,-9.543827203423177
80.0,903.75,-53.0,-9.670615726031937
