DISTANCE,CHANNEL,RSSI,PHASE
50,902.75,-53.0,4.297088734514706
50,903.25,-53.0,4.183034564979248
50,903.75,-53.0,4.058527742436892
50,904.25,-53.5,3.9235682668876373
50,904.75,-53.5,3.7559249795763963
50,905.25,-53.005025125628144,3.6493325859337697
50,905.75,-53.0,3.5237465809275745
50,906.25,-53.0,3.409322405975945
50,906.75,-53.5,3.257003509651219
50,907.25,-53.5,3.105640460651609
50,907.75,-53.5,2.986776220705898
50,908.25,-53.0,2.8371398636484297
50,908.75,-53.0,2.6880893484999033
50,909.25,-53.0,2.5557815784332245
50,909.75,-53.0,2.413606997268587
50,910.25,-53.5,2.3110846632038684
50,910.75,-53.0,2.1381687987121563
50,911.25,-53.0,2.0198904006753864
50,911.75,-53.0,1.8866576170682734
50,912.25,-53.01005025125628,1.7738984664894237
50,912.75,-53.5,1.6479116222823738
50,913.25,-53.5,1.5043803545917673
50,913.75,-53.5,1.3878594822818209
50,914.25,-53.5,1.2583575866211236
50,914.75,-53.494974874371856,1.1450742617026946
50,915.25,-53.49748743718593,1.0260558528335775
50,915.75,-53.5,0.8958756139098956
50,916.25,-54.0,0.7665895547419659
50,916.75,-53.5,0.60983059342316
50,917.25,-53.00251256281407,0.48976383587488487
50,917.75,-53.0,0.3528618318907192
50,918.25,-53.494974874371856,0.19548619487829078
50,918.75,-53.5,0.06206840856309137
50,919.25,-53.5,6.2256186311799375
50,919.75,-53.49748743718593,6.0755197673522545
50,920.25,-53.0,5.930539311781635
50,920.75,-53.0,5.794562321337903
50,921.25,-53.00251256281407,5.666756283834667
50,921.75,-53.5,5.544315324865945
50,922.25,-53.5,5.4249269105806555
50,922.75,-53.0,5.274581376475522
50,923.25,-53.0,5.1495812133782675
50,923.75,-53.0,5.038086247971344
50,924.25,-53.0,4.890700757195598
50,924.75,-53.00251256281407,4.756388791124645
50,925.25,-53.01005025125628,4.622200160192418
50,925.75,-53.0,4.483787300758878
50,926.25,-52.51005025125628,4.343647749383194
50,926.75,-52.5,4.212758333411847
50,927.25,-53.0,4.075640492934913
60,902.75,-55.5,0.9625690901751547
60,903.25,-55.5,0.8182053102981582
60,903.75,-55.50251256281407,0.7091770476657235
60,904.25,-55.5,0.5542372796431035
60,904.75,-55.5,0.4295762881773418
60,905.25,-55.5,0.27253982279640565
60,905.75,-55.5,0.13381862551605392
60,906.25,-56.0,6.182420498841691
60,906.75,-56.0,6.11347615629471
60,907.25,-55.5,6.007654607269112
60,907.75,-55.5,5.878522717024588
60,908.25,-55.5,5.7616935068678305
60,908.75,-56.0,5.608264594294585
60,909.25,-56.0,5.501733868221322
60,909.75,-55.98994974874372,5.406519141126028
60,910.25,-55.50251256281407,5.241250055235232
60,910.75,-55.5,5.105458067499587
60,911.25,-55.5,4.998464834656106
60,911.75,-55.5,4.837666647544074
60,912.25,-56.0,4.721361611726894
60,912.75,-56.0,4.588529667320637
60,913.25,-55.50251256281407,4.451103488996893
60,913.75,-55.5,4.30880557269353
