DISTANCE,CHANNEL,RSSI,PHASE
50,902.75,-46.5,3.648037566977163
50,903.25,-46.5,3.499881231584389
50,903.75,-47.0,3.350090705603516
50,904.25,-47.0,3.210691165060179
50,904.75,-47.5,3.0520821766605066
50,905.25,-47.0,2.9031549966507044
50,905.75,-47.0,2.7783706700462183
50,906.25,-47.0,2.624479250702757
50,906.75,-47.0,2.4904756224786153
50,907.25,-47.49748743718593,2.363964603931987
50,907.75,-47.0,2.201316389739087
50,908.25,-47.0,2.070303638629015
50,908.75,-46.5,1.9287457331580007
50,909.25,-46.99748743718593,1.7808669018273562
50,909.75,-47.0,1.6441807343359585
50,910.25,-47.5,1.4921701758580446
50,910.75,-47.0,1.3249585615323394
50,911.25,-47.0,1.1973683605218717
50,911.75,-47.0,1.0441861182260754
50,912.25,-47.5,0.9298236108438069
50,912.75,-48.0,0.7901157324536594
50,913.25,-47.5,0.6302117250973793
50,913.75,-47.5,0.47946535179139127
50,914.25,-47.5,0.3583194117792771
50,914.75,-47.5,0.20189962209196338
50,915.25,-48.0,0.07017769393422552
50,915.75,-48.0,6.219051035042861
50,916.25,-47.5,6.059455365533392
50,916.75,-47.5,5.935534384899976
50,917.25,-47.5,5.77408868830964
50,917.75,-47.5,5.639437550607196
50,918.25,-48.0,5.48018105272922
50,918.75,-47.5,5.326320467170438
50,919.25,-47.5,5.18269669812579
50,919.75,-47.5,5.055106497115321
50,920.25,-47.5,4.910650215884281
50,920.75,-48.0,4.763542229170666
50,921.25,-48.0,4.636383701145733
50,921.75,-47.99748743718593,4.4710837814702575
50,922.25,-47.505025125628144,4.328785865166895
50,922.75,-47.505025125628144,4.188738815145256
50,923.25,-48.0,4.051158467898105
50,923.75,-48.5,3.896773707999745
50,924.25,-48.005025125628144,3.7328613086349196
50,924.75,-48.0,3.599073516903547
50,925.25,-48.0,3.4330335863957244
50,925.75,-48.0,3.273592085809661
50,926.25,-48.5,3.1054554579435223
50,926.75,-48.0,2.9399705355599597
50,927.25,-48.0,2.7800356944189986
60,902.75,-49.0,0.08130869020410926
60,903.25,-49.0,6.213624288938984
60,903.75,-49.0,6.058098679007422
60,904.25,-48.994974874371856,5.9207033344683575
60,904.75,-48.50251256281407,5.774767031572624
60,905.25,-49.0,5.628399055691356
60,905.75,-49.005025125628144,5.47965687838964
60,906.25,-49.0,5.3072960220221885
60,906.75,-49.0,5.168297320679707
60,907.25,-49.0,5.040306280468385
60,907.75,-49.0,4.891101596396452
60,908.25,-49.5,4.756882131679543
60,908.75,-49.5,4.627657740080975
60,909.25,-49.0,4.459613613568881
60,909.75,-49.0,4.328385025966041
60,910.25,-49.00251256281407,4.207763260293506
60,910.75,-49.5,4.054673519351753
60,911.25,-50.0,3.9129614449573324
60,911.75,-49.5,3.724289516493569
60,912.25,-49.5,3.597716830377578
60,912.75,-49.5,3.4606298236853252
60,913.25,-49.5,3.3100992868721053
60,913.75,-50.0,3.148622756497088
60,914.25,-50.0,3.0017306062762397
60,914.75,-49.5,2.833809814902869
60,915.25,-49.5,2.684450961907532
60,915.75,-49.5,2.546870614660381
60,916.25,-50.0,2.427944707145307
60,916.75,-50.0,2.263723969933671
60,917.25,-50.0,2.1263286253946068
60,917.75,-49.50251256281407,1.990752474151729
60,918.25,-50.0,1.8721040706987857
60,918.75,-50.0,1.7380387749052828
60,919.25,-50.5,1.5933974909661563
60,919.75,-50.5,1.4497120543521445
60,920.25,-50.0,1.2968381499031594
60,920.75,-50.00251256281407,1.1752297031208283
60,921.25,-50.0,1.020536605375657
60,921.75,-50.49748743718593,0.8917130529779446
60,922.25,-50.5,0.7354165984293553
60,922.75,-50.00251256281407,0.5757592613505241
60,923.25,-50.0,0.4222378474232356
60,923.75,-50.0,0.27337233498279584
60,924.25,-50.5,0.12077593459594083
60,924.75,-50.5,6.251642345450802
60,925.25,-50.49748743718593,6.081254851302942
60,925.75,-50.0,5.935996891670193
60,926.25,-50.0,5.759165136523979
60,926.75,-50.5,5.611810479532913
60,927.25,-50.5,5.454064837104312
70,902.75,-50.5,2.126451960533332
70,903.25,-50.5,1.9884399403006454
70,903.75,-50.5,1.8577971946067466
70,904.25,-50.5,1.717996814862556
70,904.75,-51.0,1.5874157367380195
70,905.25,-51.0,1.439259401345245
70,905.75,-51.0,1.2878963523456353
70,906.25,-51.0,1.148866817218472
70,906.75,-51.0,1.0344118084821605
70,907.25,-51.00251256281407,0.9039540654963486
70,907.75,-51.5,0.7605152991597857
70,908.25,-51.5,0.604897187874181
70,908.75,-51.0,0.45917672147121547
70,909.25,-51.0,0.30932452792098
70,909.75,-51.0,0.15416892340559207
70,910.25,-51.5,0.03764805109564559
70,910.75,-51.5,6.104626860091229
70,911.25,-51.0,5.963531461390433
70,911.75,-51.0,5.82783197500883
70,912.25,-51.0,5.669469656886605
70,912.75,-51.5,5.526986737875157
70,913.25,-51.5,5.383116298553058
70,913.75,-51.0,5.216459692351613
70,914.25,-51.0,5.0741309422635705
70,914.75,-51.5,4.925111260899725
70,915.25,-51.5,4.799648591032255
70,915.75,-52.0,4.664195774928102
70,916.25,-51.5,4.488319867107002
70,916.75,-51.5,4.332455085543948
70,917.25,-51.5,4.191236351704427
70,917.75,-52.0,4.039842468920135
70,918.25,-52.49748743718593,3.9095080610730473
70,918.75,-52.0,3.7118018336977157
70,919.25,-52.0,3.5333358879634025
70,919.75,-52.0,3.410771593855957
70,920.25,-52.5,3.2604568935355043
70,920.75,-52.51005025125628,3.087571862828474
70,921.25,-52.5,2.937503832785471
70,921.75,-52.005025125628144,2.758976219481795
70,922.25,-52.49748743718593,2.627809299448317
70,922.75,-52.5,2.4619543716485808
70,923.25,-53.0,2.340777597851786
70,923.75,-52.5,2.188643704235147
70,924.25,-52.5,2.0216787601868917
70,924.75,-52.5,1.8975727768453894
70,925.25,-52.5,1.764833333793175
70,925.75,-53.0,1.6230287580447111
70,926.25,-53.0,1.480823343095393
70,926.75,-53.0,1.319624316782506
70,927.25,-53.0,1.178991424851925
80,902.75,-51.5,4.5790945292082155
80,903.25,-51.00251256281407,4.441637517099788
80,903.75,-51.49748743718593,4.2919703262576405
80,904.25,-51.5,4.139836432641002
80,904.75,-51.99748743718593,3.993807628391225
80,905.25,-52.0,3.8397620401243575
80,905.75,-51.5,3.6667536742786018
80,906.25,-51.5,3.544651886941373
80,906.75,-51.5,3.3835453619825295
80,907.25,-52.0,3.214637889499363
80,907.75,-52.49748743718593,3.0847968222071733
80,908.25,-52.0,2.9070400535205256
80,908.75,-51.5,2.7508052665412985
80,909.25,-51.50251256281407,2.603943950105132
80,909.75,-52.0,2.426248848987846
80,910.25,-52.5,2.308802963137466
80,910.75,-52.0,2.1327112188235984
80,911.25,-52.0,2.009622750376573
80,911.75,-52.0,1.8585063716544123
80,912.25,-52.0,1.7102883686922763
80,912.75,-52.505025125628144,1.5648145725667597
80,913.25,-52.5,1.4428052865835739
