DISTANCE,CHANNEL,RSSI,PHASE
50.0,902.75,-46.5,3.648037566977163
50.0,903.25,-46.5,3.499881231584389
50.0,903.75,-47.0,3.3500907056035163
50.0,904.25,-47.0,3.2106911650601786
50.0,904.75,-47.5,3.052082176660506
50.0,905.25,-47.0,2.9031549966507044
50.0,905.75,-47.0,2.7783706700462183
50.0,906.25,-47.0,2.624479250702757
50.0,906.75,-47.0,2.4904756224786158
50.0,907.25,-47.497487437185924,2.363964603931987
50.0,907.75,-47.0,2.201316389739087
50.0,908.25,-47.0,2.070303638629015
50.0,908.75,-46.5,1.928745733158001
50.0,909.25,-46.997487437185924,1.7808669018273562
50.0,909.75,-47.0,1.6441807343359585
50.0,910.25,-47.5,1.4921701758580446
50.0,910.75,-47.0,1.3249585615323394
50.0,911.25,-47.0,1.1973683605218717
50.0,911.75,-47.0,1.0441861182260754
50.0,912.25,-47.5,0.9298236108438068
50.0,912.75,-48.0,0.7901157324536594
50.0,913.25,-47.5,0.6302117250973793
50.0,913.75,-47.5,0.4794653517913913
50.0,914.25,-47.5,0.3583194117792771
50.0,914.75,-47.5,0.20189962209196335
50.0,915.25,-48.0,0.07017769393422553
50.0,915.75,-48.0,-0.06413427213672485
50.0,916.25,-47.5,-0.22372994164619353
50.0,916.75,-47.5,-0.3476509222796098
50.0,917.25,-47.5,-0.5090966188699468
50.0,917.75,-47.5,-0.6437477565723899
50.0,918.25,-48.0,-0.803004254450367
50.0,918.75,-47.5,-0.9568648400091471
50.0,919.25,-47.5,-1.1004886090537962
50.0,919.75,-47.5,-1.2280788100642654
50.0,920.25,-47.5,-1.3725350912953047
50.0,920.75,-48.0,-1.5196430780089205
50.0,921.25,-48.0,-1.6468016060338524
50.0,921.75,-47.997487437185924,-1.8121015257093287
50.0,922.25,-47.50502512562814,-1.9543994420126918
50.0,922.75,-47.50502512562814,-2.0944464920343293
50.0,923.25,-48.0,-2.232026839281481
50.0,923.75,-48.5,-2.386411599179841
50.0,924.25,-48.00502512562814,-2.550323998544666
50.0,924.75,-48.0,-2.684111790276039
50.0,925.25,-48.0,-2.850151720783862
50.0,925.75,-48.0,-3.0095932213699252
50.0,926.25,-48.5,-3.177729849236064
50.0,926.75,-48.0,-3.343214771619626
50.0,927.25,-48.0,-3.5031496127605877
60.0,902.75,-49.0,0.08130869020410926
60.0,903.25,-49.0,-0.06956101824060212
60.0,903.75,-49.0,-0.2250866281721633
60.0,904.25,-48.99497487437186,-0.36248197271122873
60.0,904.75,-48.502512562814076,-0.508418275606962
60.0,905.25,-49.0,-0.6547862514882299
60.0,905.75,-49.00502512562814,-0.8035284287899467
60.0,906.25,-49.0,-0.9758892851573977
60.0,906.75,-49.0,-1.1148879864998795
60.0,907.25,-49.0,-1.2428790267112015
60.0,907.75,-49.0,-1.392083710783134
60.0,908.25,-49.5,-1.5263031755000434
60.0,908.75,-49.5,-1.6555275670986118
60.0,909.25,-49.0,-1.8235716936107051
60.0,909.75,-49.0,-1.9548002812135454
60.0,910.25,-49.002512562814076,-2.0754220468860796
60.0,910.75,-49.5,-2.2285117878278333
60.0,911.25,-50.0,-2.3702238622222533
60.0,911.75,-49.5,-2.5588957906860172
60.0,912.25,-49.5,-2.6854684768020083
60.0,912.75,-49.5,-2.8225554834942614
60.0,913.25,-49.5,-2.973086020307481
60.0,913.75,-50.0,-3.134562550682498
60.0,914.25,-50.0,-3.281454700903346
60.0,914.75,-49.5,-3.4493754922767175
60.0,915.25,-49.5,-3.598734345272055
60.0,915.75,-49.5,-3.7363146925192057
60.0,916.25,-50.0,-3.8552406000342794
60.0,916.75,-50.0,-4.019461337245915
60.0,917.25,-50.0,-4.15685668178498
60.0,917.75,-49.502512562814076,-4.292432833027857
60.0,918.25,-50.0,-4.4110812364808005
60.0,918.75,-50.0,-4.545146532274304
60.0,919.25,-50.5,-4.68978781621343
60.0,919.75,-50.5,-4.833473252827442
60.0,920.25,-50.0,-4.986347157276427
60.0,920.75,-50.002512562814076,-5.107955604058758
60.0,921.25,-50.0,-5.262648701803929
60.0,921.75,-50.497487437185924,-5.391472254201641
60.0,922.25,-50.5,-5.547768708750231
60.0,922.75,-50.002512562814076,-5.707426045829062
60.0,923.25,-50.0,-5.860947459756351
60.0,923.75,-50.0,-6.009812972196791
60.0,924.25,-50.5,-6.162409372583645
60.0,924.75,-50.5,-6.314728268908369
60.0,925.25,-50.497487437185924,-6.48511576305623
60.0,925.75,-50.0,-6.63037372268898
60.0,926.25,-50.0,-6.807205477835193
60.0,926.75,-50.5,-6.954560134826259
60.0,927.25,-50.5,-7.1123057772548615
70.0,902.75,-50.5,-4.156733346646254
70.0,903.25,-50.5,-4.294745366878941
70.0,903.75,-50.5,-4.42538811257284
70.0,904.25,-50.5,-4.565188492317031
70.0,904.75,-51.0,-4.695769570441566
70.0,905.25,-51.0,-4.843925905834341
70.0,905.75,-51.0,-4.995288954833951
70.0,906.25,-51.0,-5.134318489961114
70.0,906.75,-51.0,-5.248773498697426
70.0,907.25,-51.002512562814076,-5.379231241683238
70.0,907.75,-51.5,-5.522670008019801
70.0,908.25,-51.5,-5.678288119305405
70.0,908.75,-51.0,-5.824008585708371
70.0,909.25,-51.0,-5.973860779258606
70.0,909.75,-51.0,-6.129016383773994
70.0,910.25,-51.5,-6.24553725608394
70.0,910.75,-51.5,-6.461743754267944
70.0,911.25,-51.0,-6.60283915296874
70.0,911.75,-51.0,-6.738538639350343
70.0,912.25,-51.0,-6.8969009574725675
70.0,912.75,-51.5,-7.039383876484015
70.0,913.25,-51.5,-7.1832543158061135
70.0,913.75,-51.0,-7.34991092200756
70.0,914.25,-51.0,-7.492239672095602
70.0,914.75,-51.5,-7.641259353459448
70.0,915.25,-51.5,-7.766722023326918
70.0,915.75,-52.0,-7.902174839431071
70.0,916.25,-51.5,-8.07805074725217
70.0,916.75,-51.5,-8.233915528815224
70.0,917.25,-51.5,-8.375134262654745
70.0,917.75,-52.0,-8.526528145439038
70.0,918.25,-52.497487437185924,-8.656862553286125
70.0,918.75,-52.0,-8.854568780661456
70.0,919.25,-52.0,-9.033034726395769
70.0,919.75,-52.0,-9.155599020503216
70.0,920.25,-52.5,-9.305913720823668
70.0,920.75,-52.51005025125628,-9.478798751530698
70.0,921.25,-52.5,-9.628866781573702
70.0,921.75,-52.00502512562814,-9.807394394877377
70.0,922.25,-52.497487437185924,-9.938561314910856
70.0,922.75,-52.5,-10.104416242710592
70.0,923.25,-53.0,-10.225593016507386
70.0,923.75,-52.5,-10.377726910124025
70.0,924.25,-52.5,-10.54469185417228
70.0,924.75,-52.5,-10.668797837513782
70.0,925.25,-52.5,-10.801537280565997
70.0,925.75,-53.0,-10.943341856314461
70.0,926.25,-53.0,-11.08554727126378
70.0,926.75,-53.0,-11.246746297576667
70.0,927.25,-53.0,-11.387379189507246
80.0,902.75,-51.5,-7.987276085150956
80.0,903.25,-51.002512562814076,-8.124733097259384
80.0,903.75,-51.497487437185924,-8.274400288101532
80.0,904.25,-51.5,-8.426534181718171
80.0,904.75,-51.997487437185924,-8.572562985967947
80.0,905.25,-52.0,-8.726608574234815
80.0,905.75,-51.5,-8.89961694008057
80.0,906.25,-51.5,-9.021718727417799
80.0,906.75,-51.5,-9.182825252376643
80.0,907.25,-52.0,-9.35173272485981
80.0,907.75,-52.497487437185924,-9.481573792151998
80.0,908.25,-52.0,-9.659330560838647
80.0,908.75,-51.5,-9.815565347817873
80.0,909.25,-51.502512562814076,-9.96242666425404
80.0,909.75,-52.0,-10.140121765371326
80.0,910.25,-52.5,-10.257567651221706
80.0,910.75,-52.0,-10.433659395535575
80.0,911.25,-52.0,-10.556747863982599
80.0,911.75,-52.0,-10.70786424270476
80.0,912.25,-52.0,-10.856082245666896
80.0,912.75,-52.50502512562814,-11.001556041792412
80.0,913.25,-52.5,-11.123565327775598
80.0,913.75,-52.5,-11.289543590714059
80.0,914.25,-52.5,-11.426784766329718
80.0,914.75,-52.5,-11.584684577681724
80.0,915.25,-52.5,-11.698831248571224
80.0,915.75,-53.0,-11.894101606956747
80.0,916.25,-52.5,-12.04302878696655
80.0,916.75,-52.5,-12.188286746599298
80.0,917.25,-52.5,-12.345261544410873
80.0,917.75,-53.0,-12.506121399092267
80.0,918.25,-53.0,-12.655757756149734
80.0,918.75,-52.5,-12.830461980152952
80.0,919.25,-52.5,-12.965359788132844
80.0,919.75,-53.0,-13.137412306653486
80.0,920.25,-53.0,-13.258373243957514
80.0,920.75,-53.0,-13.456017803763482
80.0,921.25,-52.997487437185924,-13.595109006460007
80.0,921.75,-52.5,-13.732103511798217
80.0,922.25,-53.0,-13.882603214826755
80.0,922.75,-53.0,-14.010655922607441
80.0,923.25,-53.5,-14.151072978045253
80.0,923.75,-53.0,-14.314399535501138
80.0,924.25,-53.0,-14.470017646786742
80.0,924.75,-53.0,-14.615121437496086
80.0,925.25,-53.002512562814076,-14.766361151356971
80.0,925.75,-53.502512562814076,-14.926141823574527
80.0,926.25,-53.5,-15.155545181602047
80.0,926.75,-53.0,-15.29152217204578
80.0,927.25,-53.497487437185924,-15.48756337504833
90.0,902.75,-51.5,-11.267004094112162
90.0,903.25,-51.497487437185924,-11.412878729438532
90.0,903.75,-51.5,-11.565875969026242
90.0,904.25,-52.0,-11.706539694741505
90.0,904.75,-52.0,-11.853370177392991
90.0,905.25,-52.0,-12.032976973160505
90.0,905.75,-52.0,-12.187176730350778
90.0,906.25,-52.0,-12.33141717508905
90.0,906.75,-52.5,-12.479912682113316
90.0,907.25,-52.5,-12.606392866875265
90.0,907.75,-52.5,-12.751095818383753
90.0,908.25,-52.0,-12.902520534952727
90.0,908.75,-52.0,-13.045342625595666
90.0,909.25,-52.0,-13.175707867227434
90.0,909.75,-52.5,-13.31264070499628
90.0,910.25,-52.0,-13.488547446602063
90.0,910.75,-52.0,-13.641729688897858
90.0,911.25,-52.0,-13.807862120759722
90.0,911.75,-52.0,-13.951609224943098
90.0,912.25,-52.5,-14.094492983155401
90.0,912.75,-52.01005025125628,-14.251406113397612
90.0,913.25,-52.0,-14.406500050343638
90.0,913.75,-52.0,-14.576455871505964
90.0,914.25,-52.0,-14.733369001748175
90.0,914.75,-52.5,-14.88599623591971
90.0,915.25,-52.5,-15.068902246648106
90.0,915.75,-52.002512562814076,-15.226401218799257
90.0,916.25,-52.0,-15.368945805380068
90.0,916.75,-52.5,-15.516608800217945
90.0,917.25,-53.0,-15.680274529305322
90.0,917.75,-52.5,-15.858740475039635
90.0,918.25,-52.5,-16.00106922512768
90.0,918.75,-52.0,-16.175465111284083
90.0,919.25,-52.5,-16.3098387449244
90.0,919.75,-52.5,-16.461109292569965
90.0,920.25,-52.5,-16.65184708460736
90.0,920.75,-52.0,-16.773887204375228
90.0,921.25,-52.0,-16.93107783867957
90.0,921.75,-52.002512562814076,-17.10390120181724
90.0,922.25,-52.5,-17.250115008775104
90.0,922.75,-52.5,-17.404623103812188
90.0,923.25,-52.5,-17.589132471344
90.0,923.75,-52.5,-17.730197036260115
90.0,924.25,-52.5,-17.89262941396025
90.0,924.75,-53.0,-18.047230010351377
90.0,925.25,-53.0,-18.218789188317118
90.0,925.75,-53.0,-18.38809750000114
90.0,926.25,-53.0,-18.53335545963389
90.0,926.75,-53.0,-18.705500479508572
90.0,927.25,-53.5,-18.855691844690302
100.0,902.75,-54.5,-15.879923285115563
100.0,903.25,-54.5,-16.023886225791706
100.0,903.75,-54.0,-16.159493210819264
100.0,904.25,-54.5,-16.295439367478316
100.0,904.75,-54.5,-16.43456140395952
100.0,905.25,-55.0,-16.59061118823066
100.0,905.75,-54.49497487437186,-16.726989017875248
100.0,906.25,-54.0,-16.857415927076378
100.0,906.75,-54.0,-17.02317835352207
100.0,907.25,-54.5,-17.167110460413532
100.0,907.75,-54.5,-17.314403449835236
100.0,908.25,-54.5,-17.473197440942997
100.0,908.75,-53.997487437185924,-17.631374756357133
100.0,909.25,-54.0,-17.769016771173646
100.0,909.75,-54.5,-17.93456336112657
100.0,910.25,-54.50502512562814,-18.077323784200146
100.0,910.75,-54.5,-18.234791922566618
100.0,911.25,-54.5,-18.38038905383086
100.0,911.75,-54.5,-18.55706664005367
100.0,912.25,-54.5,-18.704637133537503
100.0,912.75,-54.99497487437186,-18.78646999808119
100.0,913.25,-54.5,-18.973538569741535
100.0,913.75,-54.5,-19.146855273434102
100.0,914.25,-54.002512562814076,-19.27552465690841
100.0,914.75,-54.0,-19.409219947285738
100.0,915.25,-54.5,-19.54273023495498
100.0,915.75,-54.00502512562814,-19.719191984685022
100.0,916.25,-53.5,-19.883659392174106
100.0,916.75,-53.99497487437186,-20.02870151531409
100.0,917.25,-53.5,-20.204269085288377
100.0,917.75,-53.997487437185924,-20.376814944363915
100.0,918.25,-54.0,-20.53739729498318
100.0,918.75,-53.502512562814076,-20.711361508154052
100.0,919.25,-53.5,-20.869723826276275
100.0,919.75,-53.99497487437186,-21.040111320424135
100.0,920.25,-54.00502512562814,-21.207107098257072
100.0,920.75,-54.0,-21.375552063970023
100.0,921.25,-54.0,-21.545045378362133
100.0,921.75,-54.0,-21.71571037657212
100.0,922.25,-54.49497487437186,-21.880208617845888
100.0,922.75,-54.5,-22.026268255880346
100.0,923.25,-54.0,-22.218732739859888
100.0,923.75,-54.0,-22.366457402267127
100.0,924.25,-54.0,-22.52700891910171
100.0,924.75,-54.0,-22.662585070344587
100.0,925.25,-54.00502512562814,-22.843147713437215
100.0,925.75,-53.50502512562814,-22.99682329628791
100.0,926.25,-53.5,-23.17297670817114
100.0,926.75,-53.5,-23.33016734247548
100.0,927.25,-54.0,-23.481160386058917
110.00000000000001,902.75,-55.50502512562814,-19.263869486298947
110.00000000000001,903.25,-56.0,-19.430896097916566
110.00000000000001,903.75,-56.5,-19.568753949225847
110.00000000000001,904.25,-56.0,-19.792329721948633
110.00000000000001,904.75,-56.0,-19.915634026888426
110.00000000000001,905.25,-56.14824120603015,-20.05657525666582
110.00000000000001,905.75,-56.49246231155779,-20.23220449420947
110.00000000000001,906.25,-56.5,-20.421246428089407
110.00000000000001,906.75,-56.502512562814076,-20.563205172761275
110.00000000000001,907.25,-56.51005025125628,-20.696037117167535
110.00000000000001,907.75,-56.5,-20.815980539577083
110.00000000000001,908.25,-56.997487437185924,-20.983037984979383
110.00000000000001,908.75,-57.5,-21.14207864636459
110.00000000000001,909.25,-57.5,-21.256286984823458
110.00000000000001,909.75,-57.5,-21.409900900104788
110.00000000000001,910.25,-57.49497487437186,-21.554788854321366
110.00000000000001,910.75,-57.497487437185924,-21.688792482545505
110.00000000000001,911.25,-57.497487437185924,-21.839138016650637
110.00000000000001,911.75,-57.50502512562814,-22.0598154136134
110.00000000000001,912.25,-57.5,-22.155955154249128
110.00000000000001,912.75,-57.49497487437186,-22.332571072902574
110.00000000000001,913.25,-57.0,-22.44212350987459
110.00000000000001,913.75,-57.0,-22.599591648241063
110.00000000000001,914.25,-57.5,-22.77574506012429
110.00000000000001,914.75,-57.502512562814076,-22.946995900243223
110.00000000000001,915.25,-57.0,-23.07517194316263
110.00000000000001,915.75,-57.49497487437186,-23.239331012804907
110.00000000000001,916.25,-57.5,-23.375770510018857
110.00000000000001,916.75,-57.50502512562814,-23.527411063080596
110.00000000000001,917.25,-58.0,-23.67772576340105
110.00000000000001,917.75,-57.50502512562814,-23.829643820524918
110.00000000000001,918.25,-57.542713567839186,-23.943605488706332
110.00000000000001,918.75,-57.5,-24.09077514298931
110.00000000000001,919.25,-57.5,-24.201684266487295
110.00000000000001,919.75,-58.002512562814076,-24.34577054230216
110.00000000000001,920.25,-57.502512562814076,-24.528954057092683
110.00000000000001,920.75,-57.50502512562814,-24.68327714942168
110.00000000000001,921.25,-57.934673366834176,-24.817959120908807
110.00000000000001,921.75,-57.502512562814076,-25.00333183441169
110.00000000000001,922.25,-58.002512562814076,-25.17038927981399
110.00000000000001,922.75,-57.5,-25.318268111144633
110.00000000000001,923.25,-57.002512562814076,-25.444933298614668
110.00000000000001,923.75,-57.0,-25.615166623839123
110.00000000000001,924.25,-57.002512562814076,-25.7572795374344
110.00000000000001,924.75,-57.0,-25.942960588784093
110.00000000000001,925.25,-57.0,-26.130244996937208
110.00000000000001,925.75,-57.0,-26.30621340611235
110.00000000000001,926.25,-57.0,-26.46062899979539
110.00000000000001,926.75,-57.5,-26.61997799902741
110.00000000000001,927.25,-57.5,-26.793448871643385
120.0,902.75,-58.0,-22.830505861717956
120.0,903.25,-58.0,-22.98686398383591
120.0,903.75,-57.997487437185924,-23.139830389638938
120.0,904.25,-58.0,-23.30121441865991
120.0,904.75,-58.00502512562814,-23.43870226455302
120.0,905.25,-58.5,-23.571657544098002
120.0,905.75,-58.502512562814076,-23.71494214151116
120.0,906.25,-58.5,-23.859336755172833
120.0,906.75,-58.497487437185924,-23.99543708075529
120.0,907.25,-58.997487437185924,-24.1076103894252
120.0,907.75,-59.0,-24.242600698759137
120.0,908.25,-59.002512562814076,-24.42374918376071
120.0,908.75,-58.502512562814076,-24.598638410472013
120.0,909.25,-58.5,-24.75758657050318
120.0,909.75,-58.997487437185924,-24.897016944831194
120.0,910.25,-59.0,-25.10119826698956
120.0,910.75,-59.0,-25.24676456446912
120.0,911.25,-59.0,-25.416751219416128
120.0,911.75,-59.0,-25.571875990146836
120.0,912.25,-59.0,-25.71580809703829
120.0,912.75,-59.00502512562814,-25.870871200199637
120.0,913.25,-59.49497487437186,-26.020908396457962
120.0,913.75,-59.0,-26.156330378777433
120.0,914.25,-59.002512562814076,-26.296439096368434
120.0,914.75,-59.457286432160814,-26.466271582392036
