DISTANCE,CHANNEL,RSSI,PHASE
50,902.75,-53.99748743718593,0.4480457252013317
50,903.25,-53.50251256281407,0.3310931799058496
50,903.75,-54.0,0.19101529609952858
50,904.25,-54.00251256281407,0.057104169229431304
50,904.75,-54.5,6.208505880681917
50,905.25,-54.0,6.082704039182953
50,905.75,-53.5,5.932697676709313
50,906.25,-53.99748743718593,5.805014974344802
50,906.75,-54.0,5.667712131159782
50,907.25,-54.0,5.554243803533265
50,907.75,-54.0,5.434824555463294
50,908.25,-54.0,5.279422280670458
50,908.75,-53.5,5.134935165654736
50,909.25,-53.50251256281407,5.043173822443728
50,909.75,-54.0,4.931401352974673
50,910.25,-54.0,4.814602976602597
50,910.75,-54.005025125628144,4.688893636457677
50,911.25,-54.0,4.539411448323616
50,911.75,-53.50251256281407,4.412992931131029
50,912.25,-53.5,4.298106249409183
50,912.75,-53.5,4.162160092750131
50,913.25,-54.0,4.039626632427367
50,913.75,-54.0,3.913454785512231
50,914.25,-53.99748743718593,3.7388430628630567
50,914.75,-53.5,3.5921050815656144
50,915.25,-53.5,3.4612773331636286
50,915.75,-53.5,3.3413647445387595
50,916.25,-54.0,3.2010401904549894
50,916.75,-54.0,3.051835506383058
50,917.25,-53.5,2.906238375118816
50,917.75,-53.5,2.770878060368706
50,918.25,-53.5,2.6451378864391053
50,918.75,-53.5,2.5354004467590054
50,919.25,-53.5,2.4211304407307805
50,919.75,-53.5,2.27087740797969
50,920.25,-53.5,2.1444588907871043
50,920.75,-53.0,2.0271363400754496
50,921.25,-53.0,1.9076245906514344
50,921.75,-53.0,1.7927995764989493
50,922.25,-53.00251256281407,1.6616018226807903
50,922.75,-53.5,1.531359916187746
50,923.25,-53.0,1.3862252916937219
50,923.75,-52.99748743718593,1.2633218259547838
50,924.25,-52.5,1.1240147867654906
50,924.75,-52.5,0.9996004655771776
50,925.25,-53.0,0.8375997608625817
50,925.75,-53.0,0.7068028462452773
50,926.25,-52.5,0.55855400949846
50,926.75,-52.5,0.3900782100008291
50,927.25,-52.494974874371856,0.24642360717149836
60,902.75,-56.49748743718593,3.281362199549303
60,903.25,-56.5,3.135919237208468
60,903.75,-56.5,3.0085140389060863
60,904.25,-56.005025125628144,2.890482311146765
60,904.75,-56.0,2.7445460082510316
60,905.25,-56.0,2.5974071877527343
60,905.75,-56.00251256281407,2.4952548591041888
60,906.25,-56.5,2.3861649289023923
60,906.75,-56.5,2.2266925945316474
60,907.25,-56.0,2.0797696105261183
60,907.75,-56.0,1.9646979260961843
60,908.25,-56.0,1.8336543412014312
60,908.75,-56.0,1.715653447226791
60,909.25,-56.494974874371856,1.5849490339635297
60,909.75,-56.0,1.446937013730844
60,910.25,-56.0,1.2945564498367566
60,910.75,-55.994974874371856,1.1625570176168887
60,911.25,-56.0,1.0275975420676333
60,911.75,-56.0,0.9207276443628771
60,912.25,-56.5,0.8018325706324844
60,912.75,-56.0,0.617354036885353
60,913.25,-56.0,0.47314442593176204
60,913.75,-55.505025125628144,0.3670145390593525
60,914.25,-56.0,0.23063670941476574
60,914.75,-56.0,0.0863962646764938
60,915.25,-56.5,6.256483249645737
60,915.75,-56.0,6.156026779154654
60,916.25,-55.50251256281407,5.9865642985472265
60,916.75,-55.5,5.864123339578506
60,917.25,-55.5,5.731414730310973
60,917.75,-55.505025125628144,5.590504334318261
60,918.25,-56.0,5.467446699655918
60,918.75,-55.5,5.313339443819689
60,919.25,-55.01005025125628,5.177547456084041
60,919.75,-55.0,5.0548289930531904
60,920.25,-55.0,4.908091011755747
60,920.75,-55.5,4.782936679735089
60,921.25,-55.5,4.658491524762094
60,921.75,-55.00251256281407,4.48387980211292
60,922.25,-55.0,4.360421328249723
60,922.75,-55.0,4.234218647549906
60,923.25,-55.0,4.093801592112092
60,923.75,-55.5,3.9533845366742786
60,924.25,-55.5,3.7619992351585765
60,924.75,-55.0,3.646310875035021
60,925.25,-55.0,3.532750046054461
60,925.75,-55.0,3.37996864295952
60,926.25,-55.0,3.2355740292978417
60,926.75,-55.49748743718593,3.0781983922854135
60,927.25,-55.0,2.9348521273028942
70,902.75,-58.5,5.579743343464551
70,903.25,-58.5,5.426314430891305
70,903.75,-58.5,5.270542150682297
70,904.25,-58.00251256281407,5.180507499413428
70,904.75,-58.0,5.038826258803691
70,905.25,-58.5,4.949099945381636
70,905.75,-58.50251256281407,4.8136162954928015
70,906.25,-58.50251256281407,4.666045802008968
70,906.75,-58.49748743718593,4.513480235406796
70,907.25,-58.01005025125628,4.440064994081051
70,907.75,-58.49748743718593,4.308589736200763
70,908.25,-58.00251256281407,4.107090953309654
70,908.75,-58.5,3.9675989114122743
70,909.25,-58.5,3.8184250611250232
70,909.75,-58.50251256281407,3.675818806974851
70,910.25,-58.5,3.5201081943352026
70,910.75,-58.50251256281407,3.4566830992461424
70,911.25,-58.5,3.319349422276441
70,911.75,-59.0,3.1599387554750593
70,912.25,-59.0,3.0190283594823475
70,912.75,-58.5,2.900133285751955
70,913.25,-58.5,2.803962711331546
70,913.75,-58.494974874371856,2.667831551964409
70,914.25,-58.5,2.5478264619854953
70,914.75,-58.5,2.396401745416523
70,915.25,-58.5,2.245532036971811
70,915.75,-58.0,2.0912706122121754
70,916.25,-58.00251256281407,1.9672262964400362
70,916.75,-58.0,1.861774752830611
70,917.25,-58.0,1.7046766198803127
70,917.75,-58.49748743718593,1.5762539066834544
70,918.25,-58.49748743718593,1.4235650049425563
70,918.75,-58.00251256281407,1.288358859115852
70,919.25,-58.0,1.1541085606142623
70,919.75,-58.0,1.0263333568957074
70,920.25,-58.0,0.9047249101133765
70,920.75,-58.5,0.7735271562952177
70,921.25,-58.5,0.6340659481825192
70,921.75,-58.0,0.5161883893466034
70,922.25,-58.0,0.41015100382823716
70,922.75,-58.0,0.23812931909227752
70,923.25,-58.0,0.1125124803014011
70,923.75,-58.0,6.213963460570476
70,924.25,-58.0,6.135429810987667
70,924.75,-57.5,5.978701683453543
70,925.25,-57.0,5.8297745034437405
70,925.75,-57.0,5.674927236775163
70,926.25,-57.0,5.551191258849835
70,926.75,-57.0,5.365448539930778
70,927.25,-56.5,5.242175068775666
80,902.75,-59.5,1.6299971933826438
80,903.25,-59.50251256281407,1.4650364453386604
80,903.75,-59.5,1.3298919670813185
80,904.25,-59.0,1.1744280247191192
80,904.75,-59.0,1.0786891232842466
80,905.25,-59.5,0.9206659767935148
80,905.75,-59.5,0.8021409084792955
80,906.25,-60.0,0.6361934793255163
80,906.75,-59.5,0.542643776603003
80,907.25,-59.5,0.4086093145941812
80,907.75,-59.5,0.2775965634841091
80,908.25,-60.0,0.13865952971098952
80,908.75,-60.0,6.245506422299259
