DISTANCE,CHANNEL,RSSI,PHASE
50,902.75,-44.0,5.346886601552744
50,903.25,-43.50251256281407,5.227714023760222
50,903.75,-43.5,5.098705468654423
50,904.25,-43.5,4.968556063515421
50,904.75,-44.0,4.855241904812312
50,905.25,-44.0,4.730457578207826
50,905.75,-44.0,4.61372086940511
50,906.25,-43.5,4.448605952437722
50,906.75,-43.5,4.321262421704702
50,907.25,-43.5,4.204063206131773
50,907.75,-44.0,4.0802655606370815
50,908.25,-44.0,3.9632821815569175
50,908.75,-44.0,3.828785212777879
50,909.25,-44.0,3.6946274156303334
50,909.75,-43.50251256281407,3.570798936350961
50,910.25,-43.5,3.4584714587576473
50,910.75,-44.0,3.320181934462831
50,911.25,-44.0,3.1783773587143673
50,911.75,-44.0,3.059112279567801
50,912.25,-43.994974874371856,2.9014591384932427
50,912.75,-43.5,2.782440729624126
50,913.25,-43.5,2.661109786903925
50,913.75,-43.5,2.5323787358602554
50,914.25,-43.5,2.395137560244598
50,914.75,-43.5,2.258389725183837
50,915.25,-43.0,2.138292133850881
50,915.75,-43.0,2.0062927016310126
50,916.25,-43.0,1.8824950561363225
50,916.75,-43.0,1.7437121912866087
50,917.25,-43.5,1.615135309166345
50,917.75,-43.5,1.4983060990095871
50,918.25,-43.0,1.354219823194721
50,918.75,-43.0,1.23372139266091
50,919.25,-43.0,1.1061311916504422
50,919.75,-43.0,0.9843069083753432
50,920.25,-43.5,0.8546508437912402
50,920.75,-43.5,0.743155878384316
50,921.25,-43.0,0.6003646215260566
50,921.75,-43.0,0.47715281794030745
50,922.25,-42.5,0.3318640245228775
50,922.75,-42.994974874371856,0.20297880455580253
50,923.25,-43.0,0.06351759644310394
50,923.75,-43.0,6.216245160636879
50,924.25,-42.5,6.0658379589623825
50,924.75,-42.0,5.91993248985133
50,925.25,-42.0,5.785281352148886
50,925.75,-42.0,5.636354172139084
50,926.25,-42.0,5.511816515812047
50,926.75,-42.0,5.35752425726773
50,927.25,-41.5,5.208658744827291
60,902.75,-46.0,1.5765005769609033
60,903.25,-46.0,1.4490953786585221
60,903.75,-46.0,1.324372719623398
60,904.25,-45.5,1.1924657887575738
60,904.75,-45.5,1.071474017668865
60,905.25,-46.0,0.9372237191672754
60,905.75,-46.0,0.8198086671015765
60,906.25,-46.0,0.7049836529490915
60,906.75,-46.0,0.5542372796431035
60,907.25,-45.5,0.43392385181737947
60,907.75,-45.5,0.2907625895429467
60,908.25,-46.0,0.1577456424286018
60,908.75,-46.0,0.02509870073043039
60,909.25,-46.0,6.18433219349192
60,909.75,-45.5,6.0406159230932275
60,910.25,-45.5,5.896097974292826
60,910.75,-45.5,5.767706094880649
60,911.25,-45.5,5.640054226300818
60,911.75,-46.0,5.51715076056188
60,912.25,-45.5,5.377350380817689
60,912.75,-45.5,5.235360802361138
60,913.25,-45.494974874371856,5.109713129785582
60,913.75,-45.49748743718593,4.985514645090037
60,914.25,-45.5,4.842353382815604
60,914.75,-45.994974874371856,4.728730886265683
60,915.25,-45.5,4.611562504477432
60,915.75,-45.5,4.466366212414047
60,916.25,-45.005025125628144,4.343061907474254
60,916.75,-45.5,4.220775117428937
60,917.25,-45.5,4.087141494620972
60,917.75,-45.5,3.9700039466174015
60,918.25,-45.5,3.8176542165079956
60,918.75,-45.00251256281407,3.6805363760310614
60,919.25,-45.0,3.538824301636642
60,919.75,-45.0,3.4010897854660858
60,920.25,-45.49748743718593,3.274856270981587
60,920.75,-45.5,3.143011007685125
