DISTANCE,CHANNEL,RSSI,PHASE
50.0,902.75,-47.0,4.25666564279776
50.0,903.25,-47.0,4.113442712953964
50.0,903.75,-47.5,3.981936621288993
50.0,904.25,-47.5,3.8450654510895084
50.0,904.75,-47.497487437185924,3.683681422068536
50.0,905.25,-47.0,3.5513119844324947
50.0,905.75,-47.5,3.4123749506593755
50.0,906.25,-47.5,3.278741327851408
50.0,906.75,-48.0,3.1220132003172827
50.0,907.25,-47.5,2.9666417593091268
50.0,907.75,-47.5,2.8332239729939284
50.0,908.25,-47.5,2.695797794670183
50.0,908.75,-47.5,2.5514956823625488
50.0,909.25,-47.5,2.4190645771571453
50.0,909.75,-48.0,2.2728816039839628
50.0,910.25,-47.5,2.122721072586916
50.0,910.75,-47.5,1.9950075364377235
50.0,911.25,-47.5,1.8646731285906364
50.0,911.75,-47.5,1.725088585339213
50.0,912.25,-48.0,1.5969125424198036
50.0,912.75,-48.0,1.4718507117531876
50.0,913.25,-48.0,1.3131492219994714
50.0,913.75,-48.0,1.1802556100238506
50.0,914.25,-48.0,1.0525420738746585
50.0,914.75,-48.0,0.9160409090913472
50.0,915.25,-48.5,0.7938774541847559
50.0,915.75,-48.5,0.6431310808787679
50.0,916.25,-48.0,0.4976572847532512
50.0,916.75,-48.0,0.3776521947743384
50.0,917.25,-48.0,0.2271524917457993
50.0,917.75,-48.5,0.08383706054796097
50.0,918.25,-48.5,-0.05852252332476216
50.0,918.75,-48.0,-0.19166280557783202
50.0,919.25,-48.0,-0.34524588707448256
50.0,919.75,-48.0,-0.4742236083956009
50.0,920.25,-48.0,-0.6122047948436062
50.0,920.75,-48.5,-0.74078167696387
50.0,921.25,-48.0,-0.8923297286715677
50.0,921.75,-48.0,-1.0422127560064824
50.0,922.25,-48.0,-1.1690937799692858
50.0,922.75,-48.0,-1.2925214200478026
50.0,923.25,-48.0,-1.430502606495808
50.0,923.75,-48.5,-1.5631187144092982
50.0,924.25,-48.0,-1.6790537448103031
50.0,924.75,-48.0,-1.8412394522329867
50.0,925.25,-48.0,-1.98029982114483
50.0,925.75,-48.0,-2.118805181932414
