DISTANCE,CHANNEL,RSSI,PHASE
55.00000000000001,902.75,-50.5,4.475153841048165
55.00000000000001,903.25,-50.0,4.3303583881856325
55.00000000000001,903.75,-50.5,4.1890779867767485
55.00000000000001,904.25,-50.5,4.044621705545709
55.00000000000001,904.75,-51.0,3.9126531071105215
55.00000000000001,905.25,-50.5,3.7414331007762702
55.00000000000001,905.75,-50.002512562814076,3.58923753959027
55.00000000000001,906.25,-50.5,3.438522000068964
55.00000000000001,906.75,-50.5,3.278186319727148
55.00000000000001,907.25,-51.0,3.15223030930478
55.00000000000001,907.75,-51.0,3.020600882501084
55.00000000000001,908.25,-50.5,2.8549001236247538
55.00000000000001,908.75,-50.5,2.6890760296097
55.00000000000001,909.25,-50.5,2.564045032727764
55.00000000000001,909.75,-50.5,2.455170939018735
55.00000000000001,910.25,-51.0,2.3231715067988667
55.00000000000001,910.75,-50.5,2.160307456113199
55.00000000000001,911.25,-50.0,2.0239912940379754
55.00000000000001,911.75,-50.0,1.8882918076563728
55.00000000000001,912.25,-50.002512562814076,1.75974575932079
55.00000000000001,912.75,-50.5,1.6297196893205141
55.00000000000001,913.25,-50.5,1.5108862831594831
55.00000000000001,913.75,-50.0,1.3457405324074132
55.00000000000001,914.25,-50.0,1.1875632169932755
55.00000000000001,914.75,-50.0,1.0602505200449377
55.00000000000001,915.25,-50.0,0.9060199290699836
55.00000000000001,915.75,-50.5,0.7732188184484066
55.00000000000001,916.25,-50.0,0.5876919360221171
55.00000000000001,916.75,-49.5,0.4355272086207976
55.00000000000001,917.25,-49.5,0.2904850854808166
55.00000000000001,917.75,-50.0,0.13835119186417832
55.00000000000001,918.25,-50.0,-0.07523443462192958
55.00000000000001,918.75,-49.99497487437186,-0.17858928087303827
55.00000000000001,919.25,-49.5,-0.316046292981464
55.00000000000001,919.75,-49.5,-0.47061605558791086
55.00000000000001,920.25,-49.5,-0.6047121851660933
55.00000000000001,920.75,-50.0,-0.7584186018014689
55.00000000000001,921.25,-49.5,-0.9203576389467036
55.00000000000001,921.75,-49.5,-1.034627644974928
