DISTANCE,CHANNEL,RSSI,PHASE
55,902.75,-53.99748743718593,3.368220970996014
55,903.25,-54.0,3.235604863082523
55,903.75,-54.0,3.051095495550711
55,904.25,-53.99748743718593,2.8855180718131046
55,904.75,-53.93969849246231,2.7335075133351907
55,905.25,-53.505025125628144,2.595217989040375
55,905.75,-53.98994974874372,2.4274513665904096
55,906.25,-54.0,2.288205994970479
55,906.75,-53.5,2.109246708681267
55,907.25,-53.5,1.9471843363973094
55,907.75,-53.5,1.8031905619364863
55,908.25,-54.0,1.6315697164013812
55,908.75,-54.0,1.4647897750612113
55,909.25,-53.50251256281407,1.2923672511243973
55,909.75,-53.5,1.1410658696941491
55,910.25,-53.99748743718593,0.9811310285531878
55,910.75,-54.5,0.8121310547159779
55,911.25,-54.49748743718593,0.6475094783034867
55,911.75,-54.0,0.5169284001789503
55,912.25,-54.0,0.37426047845941535
55,912.75,-54.01005025125628,0.20652468979413116
55,913.25,-54.49748743718593,0.03323881988624565
55,913.75,-54.5,6.189697272026435
55,914.25,-54.0,6.034294997233599
55,914.75,-54.0,5.876857692651807
55,915.25,-53.99748743718593,5.732185574928
55,915.75,-54.0,5.569044020180203
55,916.25,-54.0,5.41071253584266
55,916.75,-53.5,5.223705631751677
55,917.25,-53.5,5.073051759799733
55,917.75,-53.5,4.927732132597621
55,918.25,-54.0,4.744610285376458
55,918.75,-54.0,4.562475119265092
55,919.25,-53.5,4.407689520165878
55,919.75,-53.5,4.2416187558733744
55,920.25,-54.0,4.052977661194292
55,920.75,-54.5,3.8838235184336756
55,921.25,-54.0,3.705049234852551
55,921.75,-54.0,3.5130164238585455
55,922.25,-54.0,3.3587549990989105
55,922.75,-54.5,3.196137618690692
55,923.25,-54.5,3.0345377531769495
55,923.75,-54.0,2.843399121938697
55,924.25,-54.0,2.678253371186627
55,924.75,-54.0,2.5126451136643393
55,925.25,-54.5,2.3583836889047043
55,925.75,-54.005025125628144,2.1889520420819584
55,926.25,-54.0,2.024700471085641
55,926.75,-54.0,1.856594677004183
55,927.25,-54.0,1.6933297871176611
65,902.75,-56.5,5.61529469720188
65,903.25,-56.5,5.444537197637847
65,903.75,-56.5,5.262587034234568
65,904.25,-56.49748743718593,5.118346589496296
65,904.75,-56.005025125628144,4.975524498853354
65,905.25,-56.994974874371856,4.797459392319896
65,905.75,-56.99748743718593,4.646651351444544
65,906.25,-57.0,4.480518919582679
65,906.75,-56.99748743718593,4.340286866852953
65,907.25,-57.0,4.228051890613681
65,907.75,-57.0,4.054858522059839
65,908.25,-57.5,3.9192207032476
65,908.75,-57.5,3.7390280655711434
65,909.25,-57.5,3.6193929810084042
65,909.75,-57.5,3.479993440465068
65,910.25,-57.5,3.341703916170252
65,910.75,-57.5,3.1830949277705782
65,911.25,-57.50251256281407,3.0208475527785335
65,911.75,-57.00251256281407,2.839668233992281
65,912.25,-56.99748743718593,2.694934448699112
65,912.75,-57.0,2.5578474420068593
65,913.25,-57.00753768844221,2.4270813611742357
65,913.75,-57.0,2.230454316262744
65,914.25,-56.99748743718593,2.0711978183847677
65,914.75,-56.5,1.9198964369545193
65,915.25,-56.51005025125628,1.7743609732596404
65,915.75,-57.0,1.616522829476995
65,916.25,-57.0,1.4445628123103977
65,916.75,-56.994974874371856,1.2970231526112461
65,917.25,-57.0,1.1307982193953368
65,917.75,-57.0,0.9935570437796788
65,918.25,-57.5,0.8581658952448877
65,918.75,-57.03517587939699,0.7205238804283751
65,919.25,-56.99748743718593,0.5369703602216772
65,919.75,-57.0,0.3396958058318816
65,920.25,-57.494974874371856,0.1754442348355638
65,920.75,-57.49748743718593,0.025653708854690524
65,921.25,-57.5,6.189203931471538
65,921.75,-57.0,6.007716274838474
65,922.25,-56.994974874371856,5.846948921511123
65,922.75,-57.0,5.698484248271537
65,923.25,-57.0,5.567070657960611
65,923.75,-56.99748743718593,5.371091122527423
65,924.25,-56.50753768844221,5.2207147546376085
65,924.75,-56.5,5.047243882021636
65,925.25,-56.5,4.878243908184426
65,925.75,-57.0,4.702090496301197
65,926.25,-56.5,4.559915915136559
65,926.75,-56.5,4.398100213130049
65,927.25,-56.5,4.212511663134398
75,902.75,-58.03517587939699,2.6831867767356057
75,903.25,-58.00753768844221,2.509222563564735
75,903.75,-58.5,2.3633170944536834
75,904.25,-58.50251256281407,2.188212031249612
75,904.75,-58.0,2.0515875313275758
75,905.25,-58.0,1.9015195012845727
75,905.75,-58.48994974874372,1.7288503070703094
75,906.25,-58.49246231155779,1.6053301656377492
75,906.75,-58.472361809045225,1.4517470841410984
75,907.25,-58.0,1.2869713388052015
75,907.75,-58.03517587939699,1.1195130542020475
75,908.25,-58.5,0.964758288887514
75,908.75,-58.50251256281407,0.8013392300775865
75,909.25,-58.5,0.6200674099372913
75,909.75,-58.0,0.452023283425196
75,910.25,-58.5,0.2929826220399872
75,910.75,-59.0,0.13736451075438255
75,911.25,-59.0,6.239401332932398
75,911.75,-59.0,6.077308126863757
75,912.25,-59.0,5.912655716666587
75,912.75,-59.0,5.769309451684067
75,913.25,-59.01256281407035,5.620567274382353
75,913.75,-59.49246231155779,5.5085789684205295
75,914.25,-59.005025125628144,5.3508641597766085
75,914.75,-59.0,5.229255712994279
75,915.25,-58.505025125628144,5.063431618979223
75,915.75,-58.57537688442211,4.931493854328717
75,916.25,-59.0,4.742760258295591
75,916.75,-58.994974874371856,4.602805709627995
75,917.25,-58.517587939698494,4.454371870173091
75,917.75,-58.51005025125628,4.299832941351325
75,918.25,-58.527638190954775,4.099968349048315
75,918.75,-59.005025125628144,3.94431940397803
75,919.25,-59.0,3.740908926436692
75,919.75,-58.50251256281407,3.579524897415718
75,920.25,-58.51005025125628,3.4431779015558126
75,920.75,-58.50251256281407,3.244454159286004
