CHANNEL,RSSI,PHASE
902.75,-32.0,4.8535768804395305
903.25,-32.0,4.785989224418519
903.75,-32.5,4.712265645245966
904.25,-32.0,4.660834892397859
904.75,-32.0,4.569813560019199
905.25,-32.0,4.47805221680819
905.75,-31.5,4.405284484960751
906.25,-31.5,4.325671652914103
906.75,-31.5,4.244948804618934
907.25,-31.5,4.154852485780707
907.75,-31.5,4.079001375465155
908.25,-31.5,3.9982168596006247
908.75,-31.997487437185928,3.9221499127923054
909.25,-31.5,3.8265651802808387
909.75,-31.0,3.7344954992230193
910.25,-30.997487437185928,3.6390341018502763
910.75,-30.5,3.558403754909152
911.25,-30.5,3.4606298236853252
911.75,-30.0,3.3621467154138336
912.25,-30.0,3.270015366786651
912.75,-30.5,3.175201478892212
913.25,-30.0,3.060900639079306
913.75,-29.5,2.9523965507864505
914.25,-29.0,2.849843382937051
914.75,-29.0,2.748461898905534
915.25,-28.5,2.640605320090981
915.75,-28.5,2.529172022253419
916.25,-28.5,2.4295172301640444
916.75,-28.5,2.3196256215605384
917.25,-28.0,2.1909870718709126
917.75,-27.5,2.073972859006068
918.25,-27.0,1.9629712341540417
918.75,-27.0,1.8407769454627692
919.25,-27.0,1.7250269177698507
919.75,-27.0,1.6051143291449814
920.25,-27.0,1.4848625688886194
920.75,-26.5,1.3429038242167504
921.25,-26.0,1.2133402609866908
921.75,-26.0,1.0866134059472943
922.25,-26.0,0.9527947804312402
922.75,-26.0,0.8201324218407282
923.25,-25.502512562814072,0.6903376052255602
923.75,-25.0,0.5216151354504802
924.25,-25.0,0.37367463655047406
924.75,-25.0,0.2268749876836693
925.25,-25.0,0.06135923151542565
925.75,-25.0,6.197189881703946
926.25,-24.5,6.025445701030117
926.75,-24.0,5.876179349388824
927.25,-23.99497487437186,5.706439364719267
