CHANNEL,RSSI,PHASE
902.75,-45.0,3.9906009147843893
903.25,-45.5,3.839916209047763
903.75,-45.0,3.700424167150383
904.25,-45.0,3.582700777237873
904.75,-45.5,3.4592423033746753
905.25,-45.5,3.3334404618757123
905.75,-45.5,3.2119861840167863
906.25,-46.0,3.0822992856480025
906.75,-46.0,2.976231066344955
907.25,-45.5,2.8597410278196893
907.75,-45.5,2.759623728960098
908.25,-45.5,2.6569163921872927
908.75,-45.5,2.542646386159068
909.25,-45.5,2.4490658496518734
909.75,-45.50251256281407,2.35909286595237
910.25,-45.5,2.2380394272942996
910.75,-45.0,2.137089616248317
911.25,-44.5,2.0341972767674252
911.75,-44.5,1.9304415913154616
912.25,-44.5,1.8300776221784214
912.75,-44.5,1.7312553422754369
913.25,-44.5,1.6246937824174916
913.75,-44.5,1.5181630563442277
914.25,-44.0,1.3990829799057483
914.75,-43.494974874371856,1.284473802246031
915.25,-43.0,1.1646537149752048
915.75,-43.0,1.039468549169864
916.25,-42.99748743718593,0.9266477310216519
916.75,-43.0,0.8133952398879039
917.25,-42.5,0.6827833279786862
917.75,-42.0,0.5242976747177376
918.25,-41.5,0.39525828582725697
918.75,-41.5,0.25900379132139467
919.25,-41.5,0.11297498707161788
919.75,-41.5,6.252906530622727
920.25,-41.0,6.095685062533706
920.75,-40.5,5.956347189559731
921.25,-40.0,5.810380052879317
921.75,-40.0,5.657475314645651
922.25,-40.0,5.525969222980681
922.75,-39.5,5.360915973582653
923.25,-39.0,5.228361533238526
923.75,-38.5,5.083257742529183
924.25,-38.5,4.941730670842849
924.75,-38.5,4.798538574783735
925.25,-38.5,4.67489509821245
925.75,-38.0,4.506912639269717
926.25,-38.0,4.340379368206997
926.75,-37.5,4.193857223402321
927.25,-38.0,4.049154271893832
