CHANNEL,RSSI,PHASE
902.75,-65.49497487437186,0.7756855212228959
903.25,-65.5,0.6603980003001942
903.75,-65.99497487437186,0.5967570687183658
904.25,-66.0,0.48754380337784436
904.75,-66.0,0.4339546856020606
905.25,-66.0,0.33266570292458664
905.75,-66.5,0.2423227138089096
906.25,-66.5,0.17174418067382957
906.75,-66.5,0.10119648132343063
907.25,-66.5,6.243193888448175
907.75,-66.5,6.170302821462011
908.25,-66.5,6.084677401402546
908.75,-66.5,5.982370903830596
909.25,-66.5,5.8956663013072905
909.75,-66.47989949748744,5.837698786106787
910.25,-66.0,5.7328639181909855
910.75,-66.0,5.649643533336647
911.25,-65.55527638190955,5.588438470744626
911.75,-64.54020100502512,5.575642450101962
912.25,-64.7964824120603,5.403898269428132
912.75,-64.65577889447236,5.218217218078437
913.25,-64.49497487437186,5.167187304431186
913.75,-64.93467336683418,5.088006145370074
914.25,-64.0251256281407,5.019277639315861
914.75,-63.653266331658294,4.8891282341768605
915.25,-63.45477386934673,4.84694761673309
915.75,-63.163316582914575,4.727990875433335
916.25,-63.414572864321606,4.5998148325139265
916.75,-62.982412060301506,4.467969569217464
917.25,-62.84170854271357,4.30547552394797
917.75,-62.67336683417086,4.210353298206719
918.25,-62.50251256281407,4.017395473672281
918.75,-62.01256281407035,3.9174940113054575
919.25,-61.37688442211055,3.7170127433088247
919.75,-61.11055276381909,3.5863391638302455
920.25,-61.38442211055276,3.4593964722980806
920.75,-61.005025125628144,3.34386228109793
921.25,-60.82663316582914,3.1869183170710365
921.75,-60.49748743718593,3.050972160411986
922.25,-59.97487437185929,2.8491033721047034
922.75,-59.61557788944724,2.638046115962448
923.25,-59.50251256281407,2.544650582163341
923.75,-59.49246231155779,2.4169678797988294
924.25,-59.02010050251256,2.259777245494487
924.75,-58.97487437185929,2.0858130323236175
925.25,-58.47738693467337,1.9420967619249245
925.75,-58.017587939698494,1.8062122728352357
926.25,-58.00251256281407,1.6522900197070924
926.75,-57.99748743718593,1.5092829263560652
927.25,-57.49748743718593,1.3210426708778376
