DISTANCE,CHANNEL,RSSI,PHASE
1,902.75,-35.0,5.896591314847724
1,903.25,-35.0,5.780008774968415
1,903.75,-35.0,5.647731838686417
1,904.25,-35.5,5.519463294412965
1,904.75,-35.5,5.401030727452788
1,905.25,-35.49748743718593,5.268568788462703
1,905.75,-35.0,5.145387818661636
1,906.25,-35.494974874371856,5.037623741201127
1,906.75,-35.5,4.912222738903018
1,907.25,-35.99748743718593,4.804674497935277
1,907.75,-36.0,4.6730142373469015
1,908.25,-36.0,4.560100917844646
1,908.75,-36.0,4.456036894545872
1,909.25,-36.0,4.341859389871691
1,909.75,-36.0,4.220035106596591
1,910.25,-36.5,4.108971814175202
1,910.75,-37.0,3.982121623997081
1,911.25,-37.0,3.876300074971483
1,911.75,-37.0,3.7348346708545113
1,912.25,-37.0,3.6197321526398962
1,912.75,-37.0,3.5047529695640054
1,913.25,-37.0,3.3867520755893663
1,913.75,-37.5,3.261782746276793
1,914.25,-38.0,3.1373684250884804
1,914.75,-38.0,3.01936753111384
1,915.25,-37.5,2.8959707248200037
1,915.75,-37.5,2.777784828137277
1,916.25,-37.5,2.667122374916743
1,916.75,-37.5,2.558834123116655
1,917.25,-38.0,2.4486958442357003
1,917.75,-38.0,2.3420109492390306
1,918.25,-38.0,2.2165174455868786
1,918.75,-37.50251256281407,2.1167084845740987
1,919.25,-37.5,2.0082352300659236
1,919.75,-37.5,1.898189452539012
1,920.25,-37.994974874371856,1.7973629766317545
1,920.75,-38.0,1.6842338206367313
1,921.25,-38.00251256281407,1.57640807560686
1,921.75,-38.0,1.4718507117531876
1,922.25,-38.0,1.338402091653307
1,922.75,-38.0,1.243279865912057
1,923.25,-38.0,1.1350841154660123
1,923.75,-38.0,1.0310817597365998
1,924.25,-38.0,0.8969547963737348
1,924.75,-38.5,0.7969916664375488
1,925.25,-38.49748743718593,0.650685358125642
1,925.75,-38.0,0.5340103168922898
1,926.25,-38.0,0.4170577715968077
1,926.75,-38.0,0.2940309707191452
1,927.25,-38.0,0.15666645996476267
2,902.75,-25.0,0.10881242613966688
2,903.25,-25.5,-0.027812073782368607
2,903.75,-25.0,-0.17470422400321617
2,904.25,-25.0,-0.2970218478332134
2,904.75,-25.0,-0.43691472893144656
2,905.25,-25.0,-0.5591706851920808
2,905.75,-25.5,-0.7045519799635551
2,906.25,-25.5,-0.829459641706765
2,906.75,-25.5,-0.961952414481531
2,907.25,-25.002512562814072,-1.0755749110314525
2,907.75,-25.0,-1.1954874996563225
2,908.25,-25.49748743718593,-1.310497516516894
2,908.75,-25.5,-1.4335551511792373
2,909.25,-26.0,-1.5432309232899755
2,909.75,-26.0,-1.6705436202383135
2,910.25,-26.0,-1.7911345521261675
2,910.75,-26.0,-1.930749929162272
2,911.25,-26.0,-2.031268067222718
2,911.75,-26.0,-2.1470180949156363
2,912.25,-26.5,-2.276365821652928
2,912.75,-27.0,-2.412435313450704
2,913.25,-26.5,-2.5437564024075874
2,913.75,-26.502512562814072,-2.6667523695005686
2,914.25,-26.997487437185928,-2.8133978494439678
2,914.75,-26.99748743718593,-2.911757622576735
2,915.25,-27.002512562814072,-3.0398103303574207
2,915.75,-28.0,-3.166228847550006
2,916.25,-27.5,-3.3113326382593486
2,916.75,-27.5,-3.436116964863835
2,917.25,-27.0,-3.5475194289167167
2,917.75,-27.497487437185928,-3.672581259583332
2,918.25,-27.5,-3.784692900683879
2,918.75,-28.0,-3.889126929398827
2,919.25,-28.0,-4.027508955047686
2,919.75,-27.5,-4.157596692617325
2,920.25,-27.997487437185928,-4.279790981308597
2,920.75,-27.5,-4.379908280168189
2,921.25,-28.0,-4.503428421600749
2,921.75,-28.0,-4.611624172046794
2,922.25,-28.5,-4.72731253217035
2,922.75,-28.5,-4.838560827299825
2,923.25,-28.0,-4.965133513415816
2,923.75,-28.0,-5.0784785059036075
2,924.25,-28.0,-5.192871847070557
2,924.75,-28.002512562814072,-5.282998999693467
2,925.25,-28.5,-5.433498702722005
2,925.75,-29.0,-5.548292883089809
2,926.25,-28.5,-5.682974854576934
2,926.75,-28.5,-5.799711563379649
2,927.25,-28.5,-5.90120096565755
4,902.75,-22.002512562814072,0.39969835082133803
4,903.25,-22.344221105527637,0.24614610310936832
4,903.75,-23.082914572864322,0.08377539297859873
4,904.25,-23.035175879396984,-0.07927366041515516
4,904.75,-22.530150753768844,-0.2664038996448639
4,905.25,-22.160804020100503,-0.41123018629207575
4,905.75,-22.0,-0.5737858991309324
4,906.25,-21.5,-0.6484344918439202
4,906.75,-22.002512562814072,-0.7678229061292114
4,907.25,-22.0,-0.8794412066748594
4,907.75,-21.5,-0.9891478125702786
4,908.25,-21.5,-1.1214247488522764
4,908.75,-21.5,-1.2310696871783335
4,909.25,-21.5,-1.34839223788999
4,909.75,-22.0,-1.4597022005888265
4,910.25,-22.5,-1.5765930783149473
4,910.75,-22.5,-1.6811196083839386
4,911.25,-22.0,-1.8282892626669165
4,911.75,-22.5,-1.9428984403266343
4,912.25,-22.5,-2.071444488662216
4,912.75,-22.5,-2.173350147033312
4,913.25,-23.0,-2.29375607621308
4,913.75,-23.5,-2.410431117446432
4,914.25,-23.0,-2.5600058069345377
4,914.75,-23.0,-2.6868251633279776
4,915.25,-23.0,-2.810992814238842
4,915.75,-23.5,-2.9383980125412226
4,916.25,-23.5,-3.0649398648725326
4,916.75,-24.0,-3.1742764653517788
4,917.25,-24.0,-3.3039325299358815
4,917.75,-23.5,-3.4226426009581874
4,918.25,-23.51005025125628,-3.5273541337352654
4,918.75,-23.50502512562814,-3.653510563758061
4,919.25,-24.0,-3.766963474492237
4,919.75,-24.0,-3.888417752351162
4,920.25,-24.5,-3.9848349970490196
4,920.75,-24.0,-4.124080368668951
4,921.25,-24.0,-4.229994419048591
4,921.75,-24.0,-4.348858658994304
4,922.25,-24.0,-4.449962638963691
4,922.75,-24.5,-4.561473021262955
4,923.25,-24.5,-4.6596323747952955
4,923.75,-24.997487437185928,-4.76338806024726
4,924.25,-24.5,-4.877103058151224
4,924.75,-24.5,-4.993562262891809
4,925.25,-24.5,-5.124297509939751
4,925.75,-24.502512562814072,-5.220838089776333
4,926.25,-24.5,-5.345283244749327
4,926.75,-24.997487437185928,-5.46531916851292
4,927.25,-25.0,-5.57172655944746
5,902.75,-21.51005025125628,0.4343863585875962
